year,age_gr,quintil_oecd,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,1st Quintile,Yes,0.44756,393,857,0.41425,0.48088
2002,17-29 y.,1st Quintile,No,0.55244,464,857,0.51912,0.58575
2002,17-29 y.,2nd Quintile,Yes,0.42272,312,775,0.38792,0.45752
2002,17-29 y.,2nd Quintile,No,0.57728,463,775,0.54248,0.61208
2002,17-29 y.,3rd Quintile,Yes,0.37534,275,754,0.34075,0.40993
2002,17-29 y.,3rd Quintile,No,0.62466,479,754,0.59007,0.65925
2002,17-29 y.,4th Quintile,Yes,0.36484,262,725,0.32978,0.39991
2002,17-29 y.,4th Quintile,No,0.63516,463,725,0.60009,0.67022
2002,17-29 y.,5th Quintile,Yes,0.32749,227,689,0.29242,0.36256
2002,17-29 y.,5th Quintile,No,0.67251,462,689,0.63744,0.70758
2002,30-45 y.,1st Quintile,Yes,0.51519,562,1054,0.48500,0.54537
2002,30-45 y.,1st Quintile,No,0.48481,492,1054,0.45463,0.51500
2002,30-45 y.,2nd Quintile,Yes,0.40557,487,1239,0.37822,0.43292
2002,30-45 y.,2nd Quintile,No,0.59443,752,1239,0.56708,0.62178
2002,30-45 y.,3rd Quintile,Yes,0.41186,585,1421,0.38626,0.43746
2002,30-45 y.,3rd Quintile,No,0.58814,836,1421,0.56254,0.61374
2002,30-45 y.,4th Quintile,Yes,0.37728,541,1510,0.35282,0.40173
2002,30-45 y.,4th Quintile,No,0.62272,969,1510,0.59827,0.64718
2002,30-45 y.,5th Quintile,Yes,0.31962,517,1631,0.29698,0.34226
2002,30-45 y.,5th Quintile,No,0.68038,1114,1631,0.65774,0.70302
2002,46-65 y.,1st Quintile,Yes,0.37235,337,910,0.34092,0.40377
2002,46-65 y.,1st Quintile,No,0.62765,573,910,0.59623,0.65908
2002,46-65 y.,2nd Quintile,Yes,0.29415,286,1021,0.26619,0.32211
2002,46-65 y.,2nd Quintile,No,0.70585,735,1021,0.67789,0.73381
2002,46-65 y.,3rd Quintile,Yes,0.31664,346,1164,0.28990,0.34337
2002,46-65 y.,3rd Quintile,No,0.68336,818,1164,0.65663,0.71010
2002,46-65 y.,4th Quintile,Yes,0.29677,402,1496,0.27362,0.31993
2002,46-65 y.,4th Quintile,No,0.70323,1094,1496,0.68007,0.72638
2002,46-65 y.,5th Quintile,Yes,0.26598,546,2124,0.24719,0.28478
2002,46-65 y.,5th Quintile,No,0.73402,1578,2124,0.71522,0.75281
2002,66 and older,1st Quintile,Yes,0.10346,68,647,0.07997,0.12695
2002,66 and older,1st Quintile,No,0.89654,579,647,0.87305,0.92003
2002,66 and older,2nd Quintile,Yes,0.09795,86,884,0.07834,0.11756
2002,66 and older,2nd Quintile,No,0.90205,798,884,0.88244,0.92166
2002,66 and older,3rd Quintile,Yes,0.10815,80,700,0.08513,0.13117
2002,66 and older,3rd Quintile,No,0.89185,620,700,0.86883,0.91487
2002,66 and older,4th Quintile,Yes,0.09254,64,635,0.06998,0.11509
2002,66 and older,4th Quintile,No,0.90746,571,635,0.88491,0.93002
2002,66 and older,5th Quintile,Yes,0.11194,64,554,0.08566,0.13822
2002,66 and older,5th Quintile,No,0.88806,490,554,0.86178,0.91434
2004,17-29 y.,1st Quintile,Yes,0.44776,396,893,0.41513,0.48039
2004,17-29 y.,1st Quintile,No,0.55224,497,893,0.51961,0.58487
2004,17-29 y.,2nd Quintile,Yes,0.41528,303,735,0.37963,0.45093
2004,17-29 y.,2nd Quintile,No,0.58472,432,735,0.54907,0.62037
2004,17-29 y.,3rd Quintile,Yes,0.37322,286,757,0.33874,0.40769
2004,17-29 y.,3rd Quintile,No,0.62678,471,757,0.59231,0.66126
2004,17-29 y.,4th Quintile,Yes,0.34226,258,730,0.30782,0.37670
2004,17-29 y.,4th Quintile,No,0.65774,472,730,0.62330,0.69218
2004,17-29 y.,5th Quintile,Yes,0.32480,249,838,0.29308,0.35653
2004,17-29 y.,5th Quintile,No,0.67520,589,838,0.64347,0.70692
2004,30-45 y.,1st Quintile,Yes,0.52915,470,926,0.49698,0.56132
2004,30-45 y.,1st Quintile,No,0.47085,456,926,0.43868,0.50302
2004,30-45 y.,2nd Quintile,Yes,0.39711,480,1180,0.36918,0.42504
2004,30-45 y.,2nd Quintile,No,0.60289,700,1180,0.57496,0.63082
2004,30-45 y.,3rd Quintile,Yes,0.38299,488,1243,0.35595,0.41002
2004,30-45 y.,3rd Quintile,No,0.61701,755,1243,0.58998,0.64405
2004,30-45 y.,4th Quintile,Yes,0.34074,484,1444,0.31628,0.36519
2004,30-45 y.,4th Quintile,No,0.65926,960,1444,0.63481,0.68372
2004,30-45 y.,5th Quintile,Yes,0.33304,498,1717,0.31074,0.35534
2004,30-45 y.,5th Quintile,No,0.66696,1219,1717,0.64466,0.68926
2004,46-65 y.,1st Quintile,Yes,0.37427,307,833,0.34139,0.40715
2004,46-65 y.,1st Quintile,No,0.62573,526,833,0.59285,0.65861
2004,46-65 y.,2nd Quintile,Yes,0.32049,303,977,0.29121,0.34977
2004,46-65 y.,2nd Quintile,No,0.67951,674,977,0.65023,0.70879
2004,46-65 y.,3rd Quintile,Yes,0.30294,328,1183,0.27675,0.32914
2004,46-65 y.,3rd Quintile,No,0.69706,855,1183,0.67086,0.72325
2004,46-65 y.,4th Quintile,Yes,0.27930,400,1474,0.25639,0.30222
2004,46-65 y.,4th Quintile,No,0.72070,1074,1474,0.69778,0.74361
2004,46-65 y.,5th Quintile,Yes,0.27751,709,2882,0.26116,0.29386
2004,46-65 y.,5th Quintile,No,0.72249,2173,2882,0.70614,0.73884
2004,66 and older,1st Quintile,Yes,0.14561,87,596,0.11727,0.17395
2004,66 and older,1st Quintile,No,0.85439,509,596,0.82605,0.88273
2004,66 and older,2nd Quintile,Yes,0.08381,77,886,0.06556,0.10207
2004,66 and older,2nd Quintile,No,0.91619,809,886,0.89793,0.93444
2004,66 and older,3rd Quintile,Yes,0.12439,98,821,0.10180,0.14697
2004,66 and older,3rd Quintile,No,0.87561,723,821,0.85303,0.89820
2004,66 and older,4th Quintile,Yes,0.08254,64,694,0.06205,0.10302
2004,66 and older,4th Quintile,No,0.91746,630,694,0.89698,0.93795
2004,66 and older,5th Quintile,Yes,0.10564,90,749,0.08361,0.12767
2004,66 and older,5th Quintile,No,0.89436,659,749,0.87233,0.91639
2006,17-29 y.,1st Quintile,Yes,0.44434,372,787,0.40960,0.47908
2006,17-29 y.,1st Quintile,No,0.55566,415,787,0.52092,0.59040
2006,17-29 y.,2nd Quintile,Yes,0.44862,241,585,0.40828,0.48895
2006,17-29 y.,2nd Quintile,No,0.55138,344,585,0.51105,0.59172
2006,17-29 y.,3rd Quintile,Yes,0.34499,229,616,0.30742,0.38256
2006,17-29 y.,3rd Quintile,No,0.65501,387,616,0.61744,0.69258
2006,17-29 y.,4th Quintile,Yes,0.37905,228,669,0.34226,0.41584
2006,17-29 y.,4th Quintile,No,0.62095,441,669,0.58416,0.65774
2006,17-29 y.,5th Quintile,Yes,0.33324,201,632,0.29646,0.37002
2006,17-29 y.,5th Quintile,No,0.66676,431,632,0.62998,0.70354
2006,30-45 y.,1st Quintile,Yes,0.55264,433,810,0.51837,0.58690
2006,30-45 y.,1st Quintile,No,0.44736,377,810,0.41310,0.48163
2006,30-45 y.,2nd Quintile,Yes,0.42784,412,975,0.39677,0.45891
2006,30-45 y.,2nd Quintile,No,0.57216,563,975,0.54109,0.60323
2006,30-45 y.,3rd Quintile,Yes,0.34437,369,1083,0.31606,0.37269
2006,30-45 y.,3rd Quintile,No,0.65563,714,1083,0.62731,0.68394
2006,30-45 y.,4th Quintile,Yes,0.31475,379,1236,0.28885,0.34066
2006,30-45 y.,4th Quintile,No,0.68525,857,1236,0.65934,0.71115
2006,30-45 y.,5th Quintile,Yes,0.33326,414,1452,0.30900,0.35751
2006,30-45 y.,5th Quintile,No,0.66674,1038,1452,0.64249,0.69100
2006,46-65 y.,1st Quintile,Yes,0.41674,324,781,0.38214,0.45134
2006,46-65 y.,1st Quintile,No,0.58326,457,781,0.54866,0.61786
2006,46-65 y.,2nd Quintile,Yes,0.33185,261,830,0.29980,0.36391
2006,46-65 y.,2nd Quintile,No,0.66815,569,830,0.63609,0.70020
2006,46-65 y.,3rd Quintile,Yes,0.30927,310,1039,0.28115,0.33738
2006,46-65 y.,3rd Quintile,No,0.69073,729,1039,0.66262,0.71885
2006,46-65 y.,4th Quintile,Yes,0.27031,341,1383,0.24690,0.29373
2006,46-65 y.,4th Quintile,No,0.72969,1042,1383,0.70627,0.75310
2006,46-65 y.,5th Quintile,Yes,0.28417,644,2625,0.26691,0.30143
2006,46-65 y.,5th Quintile,No,0.71583,1981,2625,0.69857,0.73309
2006,66 and older,1st Quintile,Yes,0.13149,80,567,0.10365,0.15933
2006,66 and older,1st Quintile,No,0.86851,487,567,0.84067,0.89635
2006,66 and older,2nd Quintile,Yes,0.10468,98,927,0.08497,0.12440
2006,66 and older,2nd Quintile,No,0.89532,829,927,0.87560,0.91503
2006,66 and older,3rd Quintile,Yes,0.08931,82,838,0.06999,0.10863
2006,66 and older,3rd Quintile,No,0.91069,756,838,0.89137,0.93001
2006,66 and older,4th Quintile,Yes,0.10854,70,681,0.08516,0.13192
2006,66 and older,4th Quintile,No,0.89146,611,681,0.86808,0.91484
