year,quintil_oecd,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,1st Quintile,Yes,0.28346,1360,3468,0.26846,0.29846
2002,1st Quintile,No,0.49245,2108,3468,0.47581,0.50909
2002,2nd Quintile,Yes,0.23584,1171,3919,0.22255,0.24914
2002,2nd Quintile,No,0.56436,2748,3919,0.54883,0.57988
2002,3rd Quintile,Yes,0.25643,1286,4039,0.24296,0.26990
2002,3rd Quintile,No,0.55857,2753,4039,0.54325,0.57389
2002,4th Quintile,Yes,0.25218,1269,4366,0.23930,0.26506
2002,4th Quintile,No,0.60716,3097,4366,0.59267,0.62165
2002,5th Quintile,Yes,0.24255,1354,4998,0.23066,0.25443
2002,5th Quintile,No,0.67377,3644,4998,0.66077,0.68677
2004,1st Quintile,Yes,0.29839,1260,3248,0.28265,0.31412
2004,1st Quintile,No,0.48314,1988,3248,0.46596,0.50033
2004,2nd Quintile,Yes,0.23542,1163,3778,0.22189,0.24895
2004,2nd Quintile,No,0.56742,2615,3778,0.55162,0.58322
2004,3rd Quintile,Yes,0.24466,1200,4004,0.23134,0.25797
2004,3rd Quintile,No,0.58251,2804,4004,0.56723,0.59779
2004,4th Quintile,Yes,0.22902,1206,4342,0.21652,0.24152
2004,4th Quintile,No,0.62756,3136,4342,0.61318,0.64194
2004,5th Quintile,Yes,0.24449,1546,6186,0.23377,0.25520
2004,5th Quintile,No,0.65792,4640,6186,0.64610,0.66975
2006,1st Quintile,Yes,0.31395,1209,2945,0.29719,0.33072
2006,1st Quintile,No,0.47654,1736,2945,0.45850,0.49458
2006,2nd Quintile,Yes,0.24757,1012,3317,0.23288,0.26226
2006,2nd Quintile,No,0.55411,2305,3317,0.53719,0.57102
2006,3rd Quintile,Yes,0.22214,990,3576,0.20851,0.23576
2006,3rd Quintile,No,0.59626,2586,3576,0.58018,0.61235
2006,4th Quintile,Yes,0.22867,1018,3969,0.21560,0.24173
2006,4th Quintile,No,0.62147,2951,3969,0.60638,0.63656
2006,5th Quintile,Yes,0.24649,1350,5518,0.23511,0.25786
2006,5th Quintile,No,0.65583,4168,5518,0.64330,0.66837
2008,1st Quintile,Yes,0.29469,1126,2969,0.27828,0.31109
2008,1st Quintile,No,0.50081,1843,2969,0.48282,0.51880
2008,2nd Quintile,Yes,0.23839,941,3367,0.22399,0.25278
2008,2nd Quintile,No,0.57060,2426,3367,0.55388,0.58732
2008,3rd Quintile,Yes,0.23064,999,3815,0.21728,0.24401
2008,3rd Quintile,No,0.60772,2816,3815,0.59222,0.62321
2008,4th Quintile,Yes,0.23123,998,3874,0.21796,0.24451
2008,4th Quintile,No,0.62079,2876,3874,0.60551,0.63607
