year,age_gr,sampreg,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,West,Yes,0.38458,1129,3065,0.36736,0.40181
2002,17-29 y.,West,No,0.61542,1936,3065,0.59819,0.63264
2002,17-29 y.,East,Yes,0.43744,450,1076,0.40779,0.46710
2002,17-29 y.,East,No,0.56256,626,1076,0.53290,0.59221
2002,30-45 y.,West,Yes,0.39626,2256,5853,0.38373,0.40879
2002,30-45 y.,West,No,0.60374,3597,5853,0.59121,0.61627
2002,30-45 y.,East,Yes,0.40896,598,1583,0.38474,0.43319
2002,30-45 y.,East,No,0.59104,985,1583,0.56681,0.61526
2002,46-65 y.,West,Yes,0.30830,1720,5971,0.29659,0.32002
2002,46-65 y.,West,No,0.69170,4251,5971,0.67998,0.70341
2002,46-65 y.,East,Yes,0.27406,484,1880,0.25389,0.29423
2002,46-65 y.,East,No,0.72594,1396,1880,0.70577,0.74611
2002,66 and older,West,Yes,0.11064,320,2703,0.09882,0.12247
2002,66 and older,West,No,0.88936,2383,2703,0.87753,0.90118
2002,66 and older,East,Yes,0.07387,70,886,0.05664,0.09110
2002,66 and older,East,No,0.92613,816,886,0.90890,0.94336
2004,17-29 y.,West,Yes,0.37817,1029,2882,0.36046,0.39588
2004,17-29 y.,West,No,0.62183,1853,2882,0.60412,0.63954
2004,17-29 y.,East,Yes,0.44024,464,1072,0.41051,0.46997
2004,17-29 y.,East,No,0.55976,608,1072,0.53003,0.58949
2004,30-45 y.,West,Yes,0.38840,1910,5139,0.37507,0.40173
2004,30-45 y.,West,No,0.61160,3229,5139,0.59827,0.62493
2004,30-45 y.,East,Yes,0.39946,510,1371,0.37353,0.42540
2004,30-45 y.,East,No,0.60054,861,1371,0.57460,0.62647
2004,46-65 y.,West,Yes,0.31251,1600,5529,0.30029,0.32473
2004,46-65 y.,West,No,0.68749,3929,5529,0.67527,0.69971
2004,46-65 y.,East,Yes,0.26627,447,1821,0.24596,0.28658
2004,46-65 y.,East,No,0.73373,1374,1821,0.71342,0.75404
2004,66 and older,West,Yes,0.10827,322,2801,0.09676,0.11978
2004,66 and older,West,No,0.89173,2479,2801,0.88022,0.90324
2004,66 and older,East,Yes,0.10459,94,946,0.08508,0.12410
