year,age_gr,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,Yes,0.39522,1579,4141,0.38032,0.41011
2002,17-29 y.,No,0.60478,2562,4141,0.58989,0.61968
2002,30-45 y.,Yes,0.39847,2854,7436,0.38734,0.40960
2002,30-45 y.,No,0.60153,4582,7436,0.59040,0.61266
2002,46-65 y.,Yes,0.30180,2204,7851,0.29165,0.31196
2002,46-65 y.,No,0.69820,5647,7851,0.68804,0.70835
2002,66 and older,Yes,0.10320,390,3589,0.09325,0.11316
2002,66 and older,No,0.89680,3199,3589,0.88684,0.90675
2004,17-29 y.,Yes,0.39099,1493,3954,0.37578,0.40620
2004,17-29 y.,No,0.60901,2461,3954,0.59380,0.62422
2004,30-45 y.,Yes,0.39020,2420,6510,0.37835,0.40205
2004,30-45 y.,No,0.60980,4090,6510,0.59795,0.62165
2004,46-65 y.,Yes,0.30379,2047,7350,0.29327,0.31430
2004,46-65 y.,No,0.69621,5303,7350,0.68570,0.70673
2004,66 and older,Yes,0.10754,416,3747,0.09762,0.11746
2004,66 and older,No,0.89246,3331,3747,0.88254,0.90238
2006,17-29 y.,Yes,0.40238,1418,3672,0.38652,0.41824
2006,17-29 y.,No,0.59762,2254,3672,0.58176,0.61348
2006,30-45 y.,Yes,0.38365,2249,6271,0.37161,0.39569
2006,30-45 y.,No,0.61635,4022,6271,0.60431,0.62839
2006,46-65 y.,Yes,0.31195,2123,7574,0.30152,0.32238
2006,46-65 y.,No,0.68805,5451,7574,0.67762,0.69848
2006,66 and older,Yes,0.10890,482,4425,0.09972,0.11808
2006,66 and older,No,0.89110,3943,4425,0.88192,0.90028
2008,17-29 y.,Yes,0.36335,1075,3151,0.34655,0.38014
2008,17-29 y.,No,0.63665,2076,3151,0.61986,0.65345
2008,30-45 y.,Yes,0.35681,1754,5166,0.34374,0.36987
2008,30-45 y.,No,0.64319,3412,5166,0.63013,0.65626
2008,46-65 y.,Yes,0.31222,1882,6685,0.30111,0.32333
2008,46-65 y.,No,0.68778,4803,6685,0.67667,0.69889
2008,66 and older,Yes,0.11302,478,4289,0.10355,0.12250
2008,66 and older,No,0.88698,3811,4289,0.87750,0.89645
2010,17-29 y.,Yes,0.33189,815,2508,0.31346,0.35033
2010,17-29 y.,No,0.66811,1693,2508,0.64967,0.68654
2010,30-45 y.,Yes,0.35259,1357,4101,0.33797,0.36722
2010,30-45 y.,No,0.64741,2744,4101,0.63278,0.66203
2010,46-65 y.,Yes,0.32009,1731,6003,0.30829,0.33190
2010,46-65 y.,No,0.67991,4272,6003,0.66810,0.69171
2010,66 and older,Yes,0.10850,434,4009,0.09887,0.11812
2010,66 and older,No,0.89150,3575,4009,0.88188,0.90113
2012,17-29 y.,Yes,0.31146,889,2877,0.29454,0.32839
2012,17-29 y.,No,0.68854,1988,2877,0.67161,0.70546
2012,30-45 y.,Yes,0.33633,1501,4577,0.32264,0.35002
2012,30-45 y.,No,0.66367,3076,4577,0.64998,0.67736
2012,46-65 y.,Yes,0.31618,2320,7808,0.30587,0.32650
2012,46-65 y.,No,0.68382,5488,7808,0.67350,0.69413
2012,66 and older,Yes,0.11449,554,5160,0.10580,0.12318
2012,66 and older,No,0.88551,4606,5160,0.87682,0.89420
2014,17-29 y.,Yes,0.30094,1382,4285,0.28720,0.31467
2014,17-29 y.,No,0.69906,2903,4285,0.68533,0.71280
2014,30-45 y.,Yes,0.32484,2697,8512,0.31489,0.33479
2014,30-45 y.,No,0.67516,5815,8512,0.66521,0.68511
2014,46-65 y.,Yes,0.32341,2763,9290,0.31390,0.33292
2014,46-65 y.,No,0.67659,6527,9290,0.66708,0.68610
2014,66 and older,Yes,0.11375,565,4944,0.10489,0.12260
2014,66 and older,No,0.88625,4379,4944,0.87740,0.89511
2016,17-29 y.,Yes,0.26435,1071,3791,0.25031,0.27839
2016,17-29 y.,No,0.73565,2720,3791,0.72161,0.74969
2016,30-45 y.,Yes,0.31229,2218,7040,0.30146,0.32311
2016,30-45 y.,No,0.68771,4822,7040,0.67689,0.69854
2016,46-65 y.,Yes,0.30832,2484,8584,0.29855,0.31809
2016,46-65 y.,No,0.69168,6100,8584,0.68191,0.70145
2016,66 and older,Yes,0.11502,519,4707,0.10590,0.12413
2016,66 and older,No,0.88498,4188,4707,0.87587,0.89410
2018,17-29 y.,Yes,0.25936,1106,4226,0.24614,0.27257
2018,17-29 y.,No,0.74064,3120,4226,0.72743,0.75386
2018,30-45 y.,Yes,0.29242,2051,6704,0.28153,0.30331
2018,30-45 y.,No,0.70758,4653,6704,0.69669,0.71847
2018,46-65 y.,Yes,0.31084,2739,9617,0.30159,0.32009
2018,46-65 y.,No,0.68916,6878,9617,0.67991,0.69841
2018,66 and older,Yes,0.11009,581,4984,0.10140,0.11878
2018,66 and older,No,0.88991,4403,4984,0.88122,0.89860
2020,17-29 y.,Yes,0.22476,1211,5064,0.21326,0.23626
2020,17-29 y.,No,0.77524,3853,5064,0.76374,0.78674
2020,30-45 y.,Yes,0.27391,2360,8034,0.26416,0.28366
2020,30-45 y.,No,0.72609,5674,8034,0.71634,0.73584
2020,46-65 y.,Yes,0.28133,2771,10381,0.27268,0.28999
2020,46-65 y.,No,0.71867,7610,10381,0.71001,0.72732
2020,66 and older,Yes,0.12626,621,4901,0.11696,0.13556
2020,66 and older,No,0.87374,4280,4901,0.86444,0.88304
2022,17-29 y.,Yes,0.20531,968,5245,0.19437,0.21624
2022,17-29 y.,No,0.79469,4277,5245,0.78376,0.80563
2022,30-45 y.,Yes,0.24503,1787,8019,0.23561,0.25444
2022,30-45 y.,No,0.75497,6232,8019,0.74556,0.76439
2022,46-65 y.,Yes,0.24341,1979,8730,0.23441,0.25241
2022,46-65 y.,No,0.75659,6751,8730,0.74759,0.76559
2022,66 and older,Yes,0.12553,541,4111,0.11540,0.13566
2022,66 and older,No,0.87447,3570,4111,0.86434,0.88460
