year,migback,quintil_oecd,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No migration background,1st Quintile,Yes,0.30107,981,2434,0.28284,0.31930
2002,No migration background,1st Quintile,No,0.50727,1453,2434,0.48740,0.52713
2002,No migration background,2nd Quintile,Yes,0.23231,888,3057,0.21733,0.24728
2002,No migration background,2nd Quintile,No,0.59357,2169,3057,0.57615,0.61098
2002,No migration background,3rd Quintile,Yes,0.25322,1074,3475,0.23876,0.26768
2002,No migration background,3rd Quintile,No,0.56872,2401,3475,0.55225,0.58519
2002,No migration background,4th Quintile,Yes,0.25121,1093,3857,0.23752,0.26490
2002,No migration background,4th Quintile,No,0.61294,2764,3857,0.59756,0.62831
2002,No migration background,5th Quintile,Yes,0.24210,1220,4545,0.22965,0.25456
2002,No migration background,5th Quintile,No,0.67659,3325,4545,0.66299,0.69020
2002,Direct migration background,1st Quintile,Yes,0.29456,287,850,0.26390,0.32522
2002,Direct migration background,1st Quintile,No,0.61817,563,850,0.58549,0.65085
2002,Direct migration background,2nd Quintile,Yes,0.29642,209,702,0.26261,0.33023
2002,Direct migration background,2nd Quintile,No,0.65146,493,702,0.61618,0.68673
2002,Direct migration background,3rd Quintile,Yes,0.34163,159,433,0.29691,0.38635
2002,Direct migration background,3rd Quintile,No,0.61945,274,433,0.57366,0.66523
2002,Direct migration background,4th Quintile,Yes,0.27281,119,374,0.22761,0.31801
2002,Direct migration background,4th Quintile,No,0.70217,255,374,0.65576,0.74858
2002,Direct migration background,5th Quintile,Yes,0.25149,90,333,0.20482,0.29816
2002,Direct migration background,5th Quintile,No,0.73651,243,333,0.68912,0.78390
2002,Indirect migration background,1st Quintile,Yes,0.14527,92,184,0.09422,0.19633
2002,Indirect migration background,1st Quintile,No,0.15086,92,184,0.09900,0.20271
2002,Indirect migration background,2nd Quintile,Yes,0.16703,74,160,0.10905,0.22501
2002,Indirect migration background,2nd Quintile,No,0.15020,86,160,0.09466,0.20573
2002,Indirect migration background,3rd Quintile,Yes,0.15625,53,131,0.09383,0.21866
2002,Indirect migration background,3rd Quintile,No,0.26034,78,131,0.18490,0.33577
2002,Indirect migration background,4th Quintile,Yes,0.23489,57,135,0.16311,0.30667
2002,Indirect migration background,4th Quintile,No,0.28991,78,135,0.21309,0.36673
2002,Indirect migration background,5th Quintile,Yes,0.23601,44,120,0.15972,0.31230
2002,Indirect migration background,5th Quintile,No,0.42676,76,120,0.33790,0.51563
2004,No migration background,1st Quintile,Yes,0.32244,938,2313,0.30339,0.34149
2004,No migration background,1st Quintile,No,0.48661,1375,2313,0.46623,0.50698
2004,No migration background,2nd Quintile,Yes,0.23516,919,2995,0.21997,0.25036
2004,No migration background,2nd Quintile,No,0.58558,2076,2995,0.56794,0.60323
2004,No migration background,3rd Quintile,Yes,0.24451,990,3375,0.23000,0.25901
2004,No migration background,3rd Quintile,No,0.58965,2385,3375,0.57306,0.60625
2004,No migration background,4th Quintile,Yes,0.23023,1051,3860,0.21694,0.24351
2004,No migration background,4th Quintile,No,0.63258,2809,3860,0.61737,0.64779
2004,No migration background,5th Quintile,Yes,0.24148,1399,5694,0.23036,0.25260
2004,No migration background,5th Quintile,No,0.66538,4295,5694,0.65312,0.67764
2004,Direct migration background,1st Quintile,Yes,0.28743,236,752,0.25507,0.31980
2004,Direct migration background,1st Quintile,No,0.65159,516,752,0.61751,0.68567
2004,Direct migration background,2nd Quintile,Yes,0.27500,178,623,0.23991,0.31009
2004,Direct migration background,2nd Quintile,No,0.66355,445,623,0.62641,0.70068
2004,Direct migration background,3rd Quintile,Yes,0.28411,139,452,0.24249,0.32573
2004,Direct migration background,3rd Quintile,No,0.69339,313,452,0.65083,0.73594
2004,Direct migration background,4th Quintile,Yes,0.24375,103,353,0.19890,0.28860
2004,Direct migration background,4th Quintile,No,0.73903,250,353,0.69315,0.78491
