year,sex,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,male,Yes,0.29611,3930,11123,0.28762,0.30459
2002,male,No,0.52611,7193,11123,0.51683,0.53539
2002,female,Yes,0.21256,3097,11894,0.20520,0.21991
2002,female,No,0.62649,8797,11894,0.61779,0.63518
2004,male,Yes,0.28883,3504,10358,0.28010,0.29756
2004,male,No,0.53849,6854,10358,0.52889,0.54809
2004,female,Yes,0.21338,2872,11203,0.20580,0.22097
2004,female,No,0.62729,8331,11203,0.61833,0.63624
2006,male,Yes,0.28150,3366,10456,0.27288,0.29012
2006,male,No,0.54286,7090,10456,0.53331,0.55241
2006,female,Yes,0.22284,2906,11486,0.21523,0.23045
2006,female,No,0.61855,8580,11486,0.60967,0.62743
2008,male,Yes,0.27309,2813,9197,0.26398,0.28219
2008,male,No,0.55754,6384,9197,0.54739,0.56769
2008,female,Yes,0.20839,2376,10094,0.20046,0.21631
2008,female,No,0.63780,7718,10094,0.62842,0.64718
2010,male,Yes,0.24003,2349,7916,0.23063,0.24944
2010,male,No,0.52299,5567,7916,0.51199,0.53399
2010,female,Yes,0.17702,1988,8705,0.16900,0.18504
2010,female,No,0.58304,6717,8705,0.57269,0.59340
2012,male,Yes,0.23470,2782,9618,0.22623,0.24317
2012,male,No,0.53260,6836,9618,0.52263,0.54257
2012,female,Yes,0.17590,2482,10804,0.16872,0.18308
2012,female,No,0.59155,8322,10804,0.58228,0.60082
2014,male,Yes,0.25691,3848,12417,0.24922,0.26460
2014,male,No,0.57898,8569,12417,0.57030,0.58767
2014,female,Yes,0.19613,3559,14614,0.18970,0.20257
2014,female,No,0.64952,11055,14614,0.64179,0.65726
2016,male,Yes,0.23960,3235,11039,0.23164,0.24756
2016,male,No,0.58500,7804,11039,0.57581,0.59419
2016,female,Yes,0.18646,3057,13083,0.17978,0.19313
2016,female,No,0.65513,10026,13083,0.64698,0.66327
2018,male,Yes,0.22806,3263,11742,0.22047,0.23564
2018,male,No,0.59486,8479,11742,0.58598,0.60374
2018,female,Yes,0.18609,3214,13789,0.17959,0.19258
2018,female,No,0.65736,10575,13789,0.64944,0.66528
2020,male,Yes,0.21046,3948,13945,0.20369,0.21722
2020,male,No,0.61485,9997,13945,0.60678,0.62293
2020,female,Yes,0.17639,3013,14428,0.17017,0.18261
2020,female,No,0.66277,11415,14428,0.65506,0.67049
2022,male,Yes,0.18405,2797,12555,0.17727,0.19083
2022,male,No,0.62600,9758,12555,0.61754,0.63446
2022,female,Yes,0.15818,2473,13531,0.15204,0.16433
2022,female,No,0.67083,11058,13531,0.66291,0.67875
