year,migback,sampreg,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No migration background,West,Yes,0.25246,4223,14165,0.24530,0.25961
2002,No migration background,West,No,0.59139,9942,14165,0.58329,0.59949
2002,No migration background,East,Yes,0.25861,1575,5287,0.24681,0.27042
2002,No migration background,East,No,0.60434,3712,5287,0.59116,0.61753
2002,Direct migration background,West,Yes,0.30064,880,2681,0.28328,0.31800
2002,Direct migration background,West,No,0.64131,1801,2681,0.62315,0.65947
2002,Direct migration background,East,No,0.83974,97,97,0.76636,0.91313
2002,Indirect migration background,West,Yes,0.17277,322,746,0.14562,0.19991
2002,Indirect migration background,West,No,0.20825,424,746,0.17909,0.23741
2004,No migration background,West,Yes,0.25056,3811,13163,0.24316,0.25796
2004,No migration background,West,No,0.59382,9352,13163,0.58543,0.60221
2004,No migration background,East,Yes,0.25763,1487,5076,0.24560,0.26967
2004,No migration background,East,No,0.61204,3589,5076,0.59863,0.62545
2004,Direct migration background,West,Yes,0.28358,734,2426,0.26564,0.30152
2004,Direct migration background,West,No,0.67177,1692,2426,0.65308,0.69046
2004,Direct migration background,East,No,0.82704,84,84,0.74568,0.90841
2004,Indirect migration background,West,Yes,0.17659,316,762,0.14950,0.20369
2004,Indirect migration background,West,No,0.24680,446,762,0.21617,0.27743
2006,No migration background,West,Yes,0.24921,3787,13634,0.24195,0.25647
2006,No migration background,West,No,0.59373,9847,13634,0.58548,0.60197
2006,No migration background,East,Yes,0.24914,1440,5119,0.23729,0.26099
2006,No migration background,East,No,0.61889,3679,5119,0.60558,0.63219
2006,Direct migration background,West,Yes,0.30869,691,2267,0.28967,0.32771
2006,Direct migration background,West,No,0.65072,1576,2267,0.63109,0.67035
2006,Direct migration background,East,No,0.76958,93,93,0.68353,0.85563
2006,Indirect migration background,West,Yes,0.19641,321,773,0.16839,0.22444
2006,Indirect migration background,West,No,0.26561,452,773,0.23445,0.29676
2008,No migration background,West,Yes,0.23413,3120,11980,0.22655,0.24171
2008,No migration background,West,No,0.61180,8860,11980,0.60308,0.62053
2008,No migration background,East,Yes,0.25046,1254,4640,0.23799,0.26293
2008,No migration background,East,No,0.62497,3386,4640,0.61104,0.63891
2008,Direct migration background,West,Yes,0.29293,504,1827,0.27205,0.31380
2008,Direct migration background,West,No,0.68233,1323,1827,0.66097,0.70368
2008,Direct migration background,East,No,0.74071,63,63,0.63162,0.84980
2008,Indirect migration background,West,Yes,0.19268,277,723,0.16391,0.22145
2008,Indirect migration background,West,No,0.30466,446,723,0.27108,0.33823
2010,No migration background,West,Yes,0.21158,2671,10479,0.20376,0.21940
2010,No migration background,West,No,0.57465,7808,10479,0.56518,0.58412
2010,No migration background,East,Yes,0.21276,1063,4019,0.20011,0.22542
2010,No migration background,East,No,0.59921,2956,4019,0.58406,0.61437
2010,Direct migration background,West,Yes,0.21820,355,1406,0.19660,0.23979
2010,Direct migration background,West,No,0.57438,1051,1406,0.54852,0.60023
2010,Direct migration background,East,No,0.50380,48,48,0.36085,0.64674
2010,Indirect migration background,West,Yes,0.15030,221,618,0.12210,0.17850
2010,Indirect migration background,West,No,0.24609,397,618,0.21210,0.28007
2012,No migration background,West,Yes,0.20432,3235,12979,0.19738,0.21125
2012,No migration background,West,No,0.58650,9744,12979,0.57803,0.59498
2012,No migration background,East,Yes,0.22308,1290,4675,0.21115,0.23502
2012,No migration background,East,No,0.57741,3385,4675,0.56325,0.59157
2012,Direct migration background,West,Yes,0.23028,466,1882,0.21126,0.24931
2012,Direct migration background,West,No,0.60400,1416,1882,0.58190,0.62610
2012,Direct migration background,East,No,0.63887,83,83,0.53491,0.74284
2012,Indirect migration background,West,Yes,0.12949,231,736,0.10522,0.15377
2012,Indirect migration background,West,No,0.26812,505,736,0.23609,0.30014
2014,No migration background,West,Yes,0.21697,3754,14947,0.21036,0.22357
2014,No migration background,West,No,0.64222,11193,14947,0.63454,0.64991
2014,No migration background,East,Yes,0.25045,1493,5109,0.23857,0.26233
2014,No migration background,East,No,0.60823,3616,5109,0.59484,0.62161
2014,Direct migration background,West,Yes,0.27424,1469,4911,0.26176,0.28672
2014,Direct migration background,West,No,0.68808,3442,4911,0.67512,0.70103
2014,Direct migration background,East,Yes,0.23465,91,367,0.19124,0.27807
2014,Direct migration background,East,No,0.71164,276,367,0.66523,0.75805
2014,Indirect migration background,West,Yes,0.17431,564,1608,0.15576,0.19286
2014,Indirect migration background,West,No,0.31605,1044,1608,0.29332,0.33879
2014,Indirect migration background,East,Yes,0.22822,36,89,0.14053,0.31590
2014,Indirect migration background,East,No,0.25303,53,89,0.16220,0.34387
2016,No migration background,West,Yes,0.20525,3104,13181,0.19836,0.21215
2016,No migration background,West,No,0.65363,10077,13181,0.64550,0.66175
2016,No migration background,East,Yes,0.24198,1268,4544,0.22952,0.25443
2016,No migration background,East,No,0.61168,3276,4544,0.59751,0.62585
2016,Direct migration background,West,Yes,0.25124,1352,4568,0.23866,0.26382
2016,Direct migration background,West,No,0.65935,3216,4568,0.64560,0.67309
2016,Direct migration background,East,Yes,0.23999,105,370,0.19642,0.28357
2016,Direct migration background,East,No,0.56566,265,370,0.51509,0.61624
2016,Indirect migration background,West,Yes,0.15161,422,1361,0.13255,0.17067
2016,Indirect migration background,West,No,0.35035,939,1361,0.32499,0.37571
2016,Indirect migration background,East,Yes,0.16253,41,98,0.08911,0.23595
2016,Indirect migration background,East,No,0.36818,57,98,0.27219,0.46416
2018,No migration background,West,Yes,0.19735,3299,14379,0.19084,0.20386
2018,No migration background,West,No,0.66717,11080,14379,0.65946,0.67487
2018,No migration background,East,Yes,0.22540,1392,4995,0.21381,0.23699
2018,No migration background,East,No,0.62471,3603,4995,0.61128,0.63814
2018,Direct migration background,West,Yes,0.25742,1192,4191,0.24419,0.27066
2018,Direct migration background,West,No,0.64010,2999,4191,0.62556,0.65463
2018,Direct migration background,East,Yes,0.24405,114,367,0.20004,0.28805
2018,Direct migration background,East,No,0.52101,253,367,0.46983,0.57219
2018,Indirect migration background,West,Yes,0.16113,438,1485,0.14243,0.17984
2018,Indirect migration background,West,No,0.35448,1047,1485,0.33014,0.37881
2018,Indirect migration background,East,Yes,0.16764,42,114,0.09876,0.23651
2018,Indirect migration background,East,No,0.32991,72,114,0.24321,0.41660
2020,No migration background,West,Yes,0.18079,2914,13793,0.17437,0.18722
2020,No migration background,West,No,0.67409,10879,13793,0.66627,0.68192
2020,No migration background,East,Yes,0.22173,1235,4701,0.20986,0.23361
2020,No migration background,East,No,0.63034,3466,4701,0.61654,0.64414
2020,Direct migration background,West,Yes,0.24751,2130,7464,0.23772,0.25730
2020,Direct migration background,West,No,0.68752,5334,7464,0.67700,0.69803
2020,Direct migration background,East,Yes,0.25806,267,892,0.22933,0.28679
2020,Direct migration background,East,No,0.58740,625,892,0.55507,0.61972
2020,Indirect migration background,West,Yes,0.14748,378,1415,0.12900,0.16596
2020,Indirect migration background,West,No,0.35318,1037,1415,0.32827,0.37809
2020,Indirect migration background,East,Yes,0.18651,39,115,0.11501,0.25801
2020,Indirect migration background,East,No,0.33421,76,115,0.24761,0.42080
2022,No migration background,West,Yes,0.16087,2602,13631,0.15471,0.16704
2022,No migration background,West,No,0.68527,11029,13631,0.67747,0.69306
2022,No migration background,East,Yes,0.18266,1098,4662,0.17156,0.19375
2022,No migration background,East,No,0.66052,3564,4662,0.64692,0.67411
2022,Direct migration background,West,Yes,0.21665,1091,5587,0.20585,0.22746
2022,Direct migration background,West,No,0.66317,4496,5587,0.65078,0.67556
2022,Direct migration background,East,Yes,0.19555,152,765,0.16743,0.22368
2022,Direct migration background,East,No,0.63796,613,765,0.60388,0.67204
2022,Indirect migration background,West,Yes,0.14156,283,1290,0.12253,0.16059
2022,Indirect migration background,West,No,0.39647,1007,1290,0.36977,0.42318
2022,Indirect migration background,East,Yes,0.20492,48,161,0.14238,0.26747
2022,Indirect migration background,East,No,0.34892,113,161,0.27506,0.42277
