year,pgisced97,quintil_oecd,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Pre-primary Level,1st Quintile,Yes,0.30413,34,105,0.21572,0.39255
2002,Pre-primary Level,1st Quintile,No,0.69587,71,105,0.60745,0.78428
2002,Pre-primary Level,2nd Quintile,No,0.79385,86,86,0.70785,0.87986
2002,Pre-primary Level,3rd Quintile,Yes,0.20001,31,128,0.13044,0.26958
2002,Pre-primary Level,3rd Quintile,No,0.79999,97,128,0.73042,0.86956
2002,Pre-primary Level,4th Quintile,No,0.78927,74,74,0.69571,0.88282
2002,Pre-primary Level,5th Quintile,No,0.81379,89,89,0.73246,0.89512
2002,Primary Level,1st Quintile,Yes,0.38869,49,130,0.30457,0.47281
2002,Primary Level,1st Quintile,No,0.61131,81,130,0.52719,0.69543
2002,Primary Level,2nd Quintile,No,0.65109,51,51,0.51898,0.78320
2002,Lower Secondary Level,1st Quintile,Yes,0.35173,333,878,0.32013,0.38333
2002,Lower Secondary Level,1st Quintile,No,0.64827,545,878,0.61667,0.67987
2002,Lower Secondary Level,2nd Quintile,Yes,0.27532,208,714,0.24253,0.30810
2002,Lower Secondary Level,2nd Quintile,No,0.72468,506,714,0.69190,0.75747
2002,Lower Secondary Level,3rd Quintile,Yes,0.30854,168,502,0.26809,0.34898
2002,Lower Secondary Level,3rd Quintile,No,0.68859,334,502,0.64804,0.72914
2002,Lower Secondary Level,4th Quintile,Yes,0.26471,128,450,0.22390,0.30551
2002,Lower Secondary Level,4th Quintile,No,0.73529,322,450,0.69449,0.77610
2002,Lower Secondary Level,5th Quintile,Yes,0.23141,80,259,0.17995,0.28287
2002,Lower Secondary Level,5th Quintile,No,0.76859,179,259,0.71713,0.82005
2002,Upper Secondary Level,1st Quintile,Yes,0.38538,737,1762,0.36265,0.40811
2002,Upper Secondary Level,1st Quintile,No,0.61421,1025,1762,0.59147,0.63694
2002,Upper Secondary Level,2nd Quintile,Yes,0.31162,711,2254,0.29250,0.33075
2002,Upper Secondary Level,2nd Quintile,No,0.68701,1543,2254,0.66786,0.70616
2002,Upper Secondary Level,3rd Quintile,Yes,0.34218,815,2357,0.32302,0.36134
2002,Upper Secondary Level,3rd Quintile,No,0.65782,1542,2357,0.63866,0.67698
2002,Upper Secondary Level,4th Quintile,Yes,0.34261,775,2321,0.32329,0.36192
2002,Upper Secondary Level,4th Quintile,No,0.65691,1546,2321,0.63759,0.67623
2002,Upper Secondary Level,5th Quintile,Yes,0.28270,689,2241,0.26405,0.30135
2002,Upper Secondary Level,5th Quintile,No,0.71679,1552,2241,0.69813,0.73545
2002,Post-secondary Non-tertiary Level,1st Quintile,Yes,0.44140,77,171,0.36676,0.51605
2002,Post-secondary Non-tertiary Level,1st Quintile,No,0.55860,94,171,0.48395,0.63324
2002,Post-secondary Non-tertiary Level,2nd Quintile,Yes,0.25221,45,167,0.18614,0.31827
2002,Post-secondary Non-tertiary Level,2nd Quintile,No,0.74779,122,167,0.68173,0.81386
2002,Post-secondary Non-tertiary Level,3rd Quintile,Yes,0.26744,39,160,0.19864,0.33624
2002,Post-secondary Non-tertiary Level,3rd Quintile,No,0.73256,121,160,0.66376,0.80136
2002,Post-secondary Non-tertiary Level,4th Quintile,Yes,0.29834,71,228,0.23882,0.35786
2002,Post-secondary Non-tertiary Level,4th Quintile,No,0.70166,157,228,0.64214,0.76118
2002,Post-secondary Non-tertiary Level,5th Quintile,Yes,0.24207,82,304,0.19384,0.29030
2002,Post-secondary Non-tertiary Level,5th Quintile,No,0.75793,222,304,0.70970,0.80616
2002,First Stage of Tertiary Education,1st Quintile,Yes,0.29756,47,151,0.22440,0.37073
2002,First Stage of Tertiary Education,1st Quintile,No,0.70244,104,151,0.62927,0.77560
2002,First Stage of Tertiary Education,2nd Quintile,Yes,0.26028,78,285,0.20925,0.31132
2002,First Stage of Tertiary Education,2nd Quintile,No,0.73972,207,285,0.68868,0.79075
2002,First Stage of Tertiary Education,3rd Quintile,Yes,0.26939,94,331,0.22152,0.31725
2002,First Stage of Tertiary Education,3rd Quintile,No,0.73061,237,331,0.68275,0.77848
2002,First Stage of Tertiary Education,4th Quintile,Yes,0.19817,89,412,0.15964,0.23671
2002,First Stage of Tertiary Education,4th Quintile,No,0.80183,323,412,0.76329,0.84036
