year,age_gr,migback,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,No migration background,Yes,0.40167,1217,3176,0.38462,0.41873
2002,17-29 y.,No migration background,No,0.59815,1959,3176,0.58110,0.61521
2002,17-29 y.,Direct migration background,Yes,0.33161,146,441,0.28762,0.37560
2002,17-29 y.,Direct migration background,No,0.66839,295,441,0.62440,0.71238
2002,17-29 y.,Indirect migration background,Yes,0.43253,216,524,0.39007,0.47499
2002,17-29 y.,Indirect migration background,No,0.56747,308,524,0.52501,0.60993
2002,30-45 y.,No migration background,Yes,0.39539,2362,6279,0.38330,0.40749
2002,30-45 y.,No migration background,No,0.60377,3917,6279,0.59167,0.61587
2002,30-45 y.,Direct migration background,Yes,0.39782,398,969,0.36699,0.42865
2002,30-45 y.,Direct migration background,No,0.60218,571,969,0.57135,0.63301
2002,30-45 y.,Indirect migration background,Yes,0.50682,94,188,0.43517,0.57848
2002,30-45 y.,Indirect migration background,No,0.49318,94,188,0.42152,0.56483
2002,46-65 y.,No migration background,Yes,0.29835,1876,6771,0.28745,0.30924
2002,46-65 y.,No migration background,No,0.70130,4895,6771,0.69039,0.71220
2002,46-65 y.,Direct migration background,Yes,0.31090,307,1038,0.28273,0.33908
2002,46-65 y.,Direct migration background,No,0.68788,731,1038,0.65968,0.71608
2002,66 and older,No migration background,Yes,0.10328,343,3226,0.09277,0.11378
2002,66 and older,No migration background,No,0.89620,2883,3226,0.88567,0.90672
2002,66 and older,Direct migration background,Yes,0.10616,47,348,0.07375,0.13857
2002,66 and older,Direct migration background,No,0.89384,301,348,0.86143,0.92625
2004,17-29 y.,No migration background,Yes,0.40040,1167,3066,0.38305,0.41775
2004,17-29 y.,No migration background,No,0.59916,1899,3066,0.58181,0.61651
2004,17-29 y.,Direct migration background,Yes,0.30204,118,371,0.25525,0.34882
2004,17-29 y.,Direct migration background,No,0.68236,253,371,0.63492,0.72980
2004,17-29 y.,Indirect migration background,Yes,0.41828,208,517,0.37572,0.46084
2004,17-29 y.,Indirect migration background,No,0.58172,309,517,0.53916,0.62428
2004,30-45 y.,No migration background,Yes,0.39396,2007,5448,0.38099,0.40694
2004,30-45 y.,No migration background,No,0.60253,3441,5448,0.58953,0.61552
2004,30-45 y.,Direct migration background,Yes,0.35580,319,842,0.32344,0.38816
2004,30-45 y.,Direct migration background,No,0.64202,523,842,0.60961,0.67442
2004,30-45 y.,Indirect migration background,Yes,0.40879,94,220,0.34368,0.47390
2004,30-45 y.,Indirect migration background,No,0.58643,126,220,0.52120,0.65165
2004,46-65 y.,No migration background,Yes,0.30071,1754,6351,0.28943,0.31199
2004,46-65 y.,No migration background,No,0.69632,4597,6351,0.68501,0.70763
2004,46-65 y.,Direct migration background,Yes,0.30094,267,951,0.27178,0.33011
2004,46-65 y.,Direct migration background,No,0.69652,684,951,0.66728,0.72575
2004,66 and older,No migration background,Yes,0.10571,370,3374,0.09534,0.11609
2004,66 and older,No migration background,No,0.88870,3004,3374,0.87809,0.89932
2004,66 and older,Direct migration background,Yes,0.12292,46,362,0.08905,0.15679
2004,66 and older,Direct migration background,No,0.87249,316,362,0.83808,0.90690
2006,17-29 y.,No migration background,Yes,0.37974,1120,2879,0.36201,0.39748
2006,17-29 y.,No migration background,No,0.55431,1759,2879,0.53615,0.57247
2006,17-29 y.,Direct migration background,Yes,0.34414,107,322,0.29217,0.39611
