year,bula_h,migback,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Schleswig-Holstein,No migration background,Yes,0.33326,204,639,0.29668,0.36983
2002,Schleswig-Holstein,No migration background,No,0.66674,435,639,0.63017,0.70332
2002,Schleswig-Holstein,Direct migration background,No,0.77778,52,52,0.66368,0.89188
2002,Hamburg,No migration background,Yes,0.34969,92,294,0.29509,0.40430
2002,Hamburg,No migration background,No,0.65031,202,294,0.59570,0.70491
2002,Lower Saxony,No migration background,Yes,0.30396,539,1714,0.28218,0.32574
2002,Lower Saxony,No migration background,No,0.69604,1175,1714,0.67426,0.71782
2002,Lower Saxony,Direct migration background,Yes,0.35710,72,212,0.29245,0.42175
2002,Lower Saxony,Direct migration background,No,0.64290,140,212,0.57825,0.70755
2002,Bremen,No migration background,Yes,0.33145,52,147,0.25509,0.40781
2002,Bremen,No migration background,No,0.66855,95,147,0.59219,0.74491
2002,North Rhine-Westphalia,No migration background,Yes,0.31003,1190,3875,0.29547,0.32459
2002,North Rhine-Westphalia,No migration background,No,0.68997,2685,3875,0.67541,0.70453
2002,North Rhine-Westphalia,Direct migration background,Yes,0.34869,280,766,0.31492,0.38246
2002,North Rhine-Westphalia,Direct migration background,No,0.65131,486,766,0.61754,0.68508
2002,North Rhine-Westphalia,Indirect migration background,Yes,0.44528,103,227,0.38048,0.51008
2002,North Rhine-Westphalia,Indirect migration background,No,0.55472,124,227,0.48992,0.61952
2002,Hesse,No migration background,Yes,0.29058,370,1277,0.26567,0.31550
2002,Hesse,No migration background,No,0.70942,907,1277,0.68450,0.73433
2002,Hesse,Direct migration background,Yes,0.32740,102,292,0.27348,0.38132
2002,Hesse,Direct migration background,No,0.67260,190,292,0.61868,0.72652
2002,Hesse,Indirect migration background,Yes,0.52726,35,70,0.40946,0.64506
2002,Hesse,Indirect migration background,No,0.47274,35,70,0.35494,0.59054
2002,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.30940,355,1125,0.28238,0.33643
2002,"Rhineland-Palatinate, Saarland",No migration background,No,0.69060,770,1125,0.66357,0.71762
2002,"Rhineland-Palatinate, Saarland",Direct migration background,Yes,0.30142,59,214,0.23979,0.36304
2002,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.69858,155,214,0.63696,0.76021
2002,Baden-Wuerttemberg,No migration background,Yes,0.25653,509,1970,0.23724,0.27582
2002,Baden-Wuerttemberg,No migration background,No,0.74347,1461,1970,0.72418,0.76276
2002,Baden-Wuerttemberg,Direct migration background,Yes,0.30262,209,625,0.26657,0.33866
2002,Baden-Wuerttemberg,Direct migration background,No,0.69738,416,625,0.66134,0.73343
2002,Baden-Wuerttemberg,Indirect migration background,Yes,0.43947,84,204,0.37119,0.50774
2002,Baden-Wuerttemberg,Indirect migration background,No,0.56053,120,204,0.49226,0.62881
2002,Bavaria,No migration background,Yes,0.27841,774,2754,0.26166,0.29515
2002,Bavaria,No migration background,No,0.72159,1980,2754,0.70485,0.73834
2002,Bavaria,Direct migration background,Yes,0.29734,108,396,0.25226,0.34242
2002,Bavaria,Direct migration background,No,0.70266,288,396,0.65758,0.74774
2002,Bavaria,Indirect migration background,Yes,0.39905,40,105,0.30494,0.49317
2002,Bavaria,Indirect migration background,No,0.60095,65,105,0.50683,0.69506
2002,Berlin,No migration background,Yes,0.40048,277,721,0.36469,0.43628
2002,Berlin,No migration background,No,0.59952,444,721,0.56372,0.63531
2002,Berlin,Direct migration background,No,0.71334,49,49,0.58541,0.84127
2002,Brandenburg,No migration background,Yes,0.29301,265,945,0.26398,0.32205
2002,Brandenburg,No migration background,No,0.70699,680,945,0.67795,0.73602
2002,Mecklenburg-Western Pomerania,No migration background,Yes,0.31323,152,499,0.27249,0.35397
2002,Mecklenburg-Western Pomerania,No migration background,No,0.68677,347,499,0.64603,0.72751
2002,Saxony,No migration background,Yes,0.25489,418,1612,0.23361,0.27617
2002,Saxony,No migration background,No,0.74511,1194,1612,0.72383,0.76639
2002,Saxony-Anhalt,No migration background,Yes,0.32815,307,935,0.29803,0.35826
2002,Saxony-Anhalt,No migration background,No,0.67185,628,935,0.64174,0.70197
2002,Thuringa,No migration background,Yes,0.29956,294,945,0.27034,0.32878
2002,Thuringa,No migration background,No,0.70044,651,945,0.67122,0.72966
2004,Schleswig-Holstein,No migration background,Yes,0.31996,183,594,0.28242,0.35751
2004,Schleswig-Holstein,No migration background,No,0.68004,411,594,0.64249,0.71758
