year,age_gr,pgisced97,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,Pre-primary Level,Yes,0.22457,136,611,0.19146,0.25769
2002,17-29 y.,Pre-primary Level,No,0.77543,475,611,0.74231,0.80854
2002,17-29 y.,Lower Secondary Level,Yes,0.47504,418,872,0.44188,0.50821
2002,17-29 y.,Lower Secondary Level,No,0.52496,454,872,0.49179,0.55812
2002,17-29 y.,Upper Secondary Level,Yes,0.43044,759,1841,0.40781,0.45306
2002,17-29 y.,Upper Secondary Level,No,0.56956,1082,1841,0.54694,0.59219
2002,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.29062,83,278,0.23715,0.34409
2002,17-29 y.,Post-secondary Non-tertiary Level,No,0.70938,195,278,0.65591,0.76285
2002,17-29 y.,First Stage of Tertiary Education,Yes,0.32760,43,116,0.24182,0.41338
2002,17-29 y.,First Stage of Tertiary Education,No,0.67240,73,116,0.58662,0.75818
2002,17-29 y.,Second Stage of Tertiary Education,Yes,0.20884,40,226,0.15573,0.26195
2002,17-29 y.,Second Stage of Tertiary Education,No,0.79116,186,226,0.73805,0.84427
2002,30-45 y.,Primary Level,Yes,0.55897,43,82,0.45084,0.66710
2002,30-45 y.,Primary Level,No,0.44103,39,82,0.33290,0.54916
2002,30-45 y.,Lower Secondary Level,Yes,0.57662,269,469,0.53186,0.62139
2002,30-45 y.,Lower Secondary Level,No,0.42338,200,469,0.37861,0.46814
2002,30-45 y.,Upper Secondary Level,Yes,0.44118,1698,3833,0.42545,0.45690
2002,30-45 y.,Upper Secondary Level,No,0.55768,2135,3833,0.54195,0.57341
2002,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.35005,186,559,0.31047,0.38963
2002,30-45 y.,Post-secondary Non-tertiary Level,No,0.64995,373,559,0.61037,0.68953
2002,30-45 y.,First Stage of Tertiary Education,Yes,0.34120,244,738,0.30697,0.37543
2002,30-45 y.,First Stage of Tertiary Education,No,0.65880,494,738,0.62457,0.69303
2002,30-45 y.,Second Stage of Tertiary Education,Yes,0.25640,403,1739,0.23587,0.27693
2002,30-45 y.,Second Stage of Tertiary Education,No,0.74316,1336,1739,0.72262,0.76370
2002,46-65 y.,Primary Level,Yes,0.38226,38,104,0.28841,0.47611
2002,46-65 y.,Primary Level,No,0.61774,66,104,0.52389,0.71159
2002,46-65 y.,Lower Secondary Level,Yes,0.30928,216,759,0.27637,0.34218
2002,46-65 y.,Lower Secondary Level,No,0.68881,543,759,0.65585,0.72177
2002,46-65 y.,Upper Secondary Level,Yes,0.33002,1259,4053,0.31554,0.34450
2002,46-65 y.,Upper Secondary Level,No,0.66969,2794,4053,0.65521,0.68417
2002,46-65 y.,Post-secondary Non-tertiary Level,Yes,0.27924,71,229,0.22101,0.33747
2002,46-65 y.,Post-secondary Non-tertiary Level,No,0.72076,158,229,0.66253,0.77899
2002,46-65 y.,First Stage of Tertiary Education,Yes,0.23778,160,648,0.20498,0.27058
2002,46-65 y.,First Stage of Tertiary Education,No,0.76222,488,648,0.72942,0.79502
2002,46-65 y.,Second Stage of Tertiary Education,Yes,0.23862,459,2049,0.22016,0.25708
2002,46-65 y.,Second Stage of Tertiary Education,No,0.76089,1590,2049,0.74241,0.77936
2002,66 and older,Primary Level,No,0.94038,53,53,0.87603,1.00474
2002,66 and older,Lower Secondary Level,Yes,0.06847,59,790,0.05085,0.08609
2002,66 and older,Lower Secondary Level,No,0.93153,731,790,0.91391,0.94915
2002,66 and older,Upper Secondary Level,Yes,0.11188,213,1852,0.09752,0.12624
2002,66 and older,Upper Secondary Level,No,0.88770,1639,1852,0.87332,0.90208
2002,66 and older,Post-secondary Non-tertiary Level,No,0.85784,84,84,0.78271,0.93297
2002,66 and older,First Stage of Tertiary Education,No,0.89265,217,217,0.85137,0.93393
2002,66 and older,Second Stage of Tertiary Education,Yes,0.12909,75,542,0.10083,0.15734
2002,66 and older,Second Stage of Tertiary Education,No,0.86873,467,542,0.84027,0.89718
2004,17-29 y.,Pre-primary Level,Yes,0.23767,150,639,0.20464,0.27070
2004,17-29 y.,Pre-primary Level,No,0.76233,489,639,0.72930,0.79536
2004,17-29 y.,Lower Secondary Level,Yes,0.46354,362,768,0.42825,0.49883
2004,17-29 y.,Lower Secondary Level,No,0.53390,406,768,0.49859,0.56920
2004,17-29 y.,Upper Secondary Level,Yes,0.41928,694,1704,0.39584,0.44271
2004,17-29 y.,Upper Secondary Level,No,0.58072,1010,1704,0.55729,0.60416
2004,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.30605,85,278,0.25177,0.36032
2004,17-29 y.,Post-secondary Non-tertiary Level,No,0.69395,193,278,0.63968,0.74823
2004,17-29 y.,First Stage of Tertiary Education,Yes,0.38940,34,93,0.28976,0.48904
2004,17-29 y.,First Stage of Tertiary Education,No,0.61060,59,93,0.51096,0.71024
2004,17-29 y.,Second Stage of Tertiary Education,Yes,0.25606,44,196,0.19480,0.31732
2004,17-29 y.,Second Stage of Tertiary Education,No,0.73877,152,196,0.67711,0.80043
2004,30-45 y.,Primary Level,Yes,0.60216,40,73,0.48910,0.71522
2004,30-45 y.,Primary Level,No,0.39550,33,73,0.28255,0.50844
2004,30-45 y.,Lower Secondary Level,Yes,0.50244,205,417,0.45439,0.55048
2004,30-45 y.,Lower Secondary Level,No,0.49447,212,417,0.44643,0.54252
2004,30-45 y.,Upper Secondary Level,Yes,0.43603,1444,3337,0.41920,0.45285
2004,30-45 y.,Upper Secondary Level,No,0.55944,1893,3337,0.54259,0.57628
2004,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.35111,171,522,0.31013,0.39210
2004,30-45 y.,Post-secondary Non-tertiary Level,No,0.64231,351,522,0.60116,0.68347
2004,30-45 y.,First Stage of Tertiary Education,Yes,0.32255,222,664,0.28697,0.35813
2004,30-45 y.,First Stage of Tertiary Education,No,0.67704,442,664,0.64145,0.71264
2004,30-45 y.,Second Stage of Tertiary Education,Yes,0.26551,330,1479,0.24300,0.28803
2004,30-45 y.,Second Stage of Tertiary Education,No,0.73392,1149,1479,0.71139,0.75645
2004,46-65 y.,Primary Level,Yes,0.42085,34,86,0.31590,0.52581
2004,46-65 y.,Primary Level,No,0.55881,52,86,0.45326,0.66437
2004,46-65 y.,Lower Secondary Level,Yes,0.32295,176,615,0.28596,0.35994
2004,46-65 y.,Lower Secondary Level,No,0.67030,439,615,0.63312,0.70749
2004,46-65 y.,Upper Secondary Level,Yes,0.33323,1195,3765,0.31817,0.34829
2004,46-65 y.,Upper Secondary Level,No,0.66422,2570,3765,0.64913,0.67930
2004,46-65 y.,Post-secondary Non-tertiary Level,Yes,0.26626,67,255,0.21190,0.32061
2004,46-65 y.,Post-secondary Non-tertiary Level,No,0.73045,188,255,0.67588,0.78502
2004,46-65 y.,First Stage of Tertiary Education,Yes,0.24972,157,629,0.21587,0.28357
2004,46-65 y.,First Stage of Tertiary Education,No,0.75028,472,629,0.71643,0.78413
2004,46-65 y.,Second Stage of Tertiary Education,Yes,0.22678,416,1991,0.20839,0.24518
2004,46-65 y.,Second Stage of Tertiary Education,No,0.77137,1575,1991,0.75292,0.78982
2004,66 and older,Primary Level,No,0.93957,50,50,0.87285,1.00629
