year,sampreg,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,West,Yes,0.30736,5425,17592,0.30054,0.31418
2002,West,No,0.69264,12167,17592,0.68582,0.69946
2002,East,Yes,0.29558,1602,5425,0.28344,0.30772
2002,East,No,0.70442,3823,5425,0.69228,0.71656
2004,West,Yes,0.30155,4861,16351,0.29451,0.30858
2004,West,No,0.69845,11490,16351,0.69142,0.70549
2004,East,Yes,0.29426,1515,5210,0.28188,0.30664
2004,East,No,0.70574,3695,5210,0.69336,0.71812
2006,West,Yes,0.30592,4799,16674,0.29892,0.31291
2006,West,No,0.69408,11875,16674,0.68709,0.70108
2006,East,Yes,0.28546,1473,5268,0.27326,0.29766
2006,East,No,0.71454,3795,5268,0.70234,0.72674
2008,West,Yes,0.28641,3901,14530,0.27906,0.29376
2008,West,No,0.71359,10629,14530,0.70624,0.72094
2008,East,Yes,0.28634,1288,4761,0.27350,0.29919
2008,East,No,0.71366,3473,4761,0.70081,0.72650
2010,West,Yes,0.27518,3247,12503,0.26735,0.28301
2010,West,No,0.72482,9256,12503,0.71699,0.73265
2010,East,Yes,0.26416,1090,4118,0.25069,0.27763
2010,East,No,0.73584,3028,4118,0.72237,0.74931
2012,West,Yes,0.26426,3932,15597,0.25734,0.27118
2012,West,No,0.73574,11665,15597,0.72882,0.74266
2012,East,Yes,0.27825,1332,4825,0.26560,0.29089
2012,East,No,0.72175,3493,4825,0.70911,0.73440
2014,West,Yes,0.26379,5787,21466,0.25789,0.26968
2014,West,No,0.73621,15679,21466,0.73032,0.74211
2014,East,Yes,0.29181,1620,5565,0.27987,0.30376
2014,East,No,0.70819,3945,5565,0.69624,0.72013
2016,West,Yes,0.24911,4878,19110,0.24298,0.25524
2016,West,No,0.75089,14232,19110,0.74476,0.75702
2016,East,Yes,0.28444,1414,5012,0.27195,0.29693
2016,East,No,0.71556,3598,5012,0.70307,0.72805
2018,West,Yes,0.24399,4929,20055,0.23805,0.24994
2018,West,No,0.75601,15126,20055,0.75006,0.76195
2018,East,Yes,0.26875,1548,5476,0.25701,0.28049
2018,East,No,0.73125,3928,5476,0.71951,0.74299
2020,West,Yes,0.22557,5422,22672,0.22013,0.23101
2020,West,No,0.77443,17250,22672,0.76899,0.77987
2020,East,Yes,0.26420,1541,5708,0.25276,0.27564
2020,East,No,0.73580,4167,5708,0.72436,0.74724
2022,West,Yes,0.20580,3976,20512,0.20027,0.21133
2022,West,No,0.79420,16536,20512,0.78867,0.79973
2022,East,Yes,0.22321,1299,5593,0.21229,0.23412
2022,East,No,0.77679,4294,5593,0.76588,0.78771
