year,migback,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No migration background,Yes,0.29929,5798,19452,0.29285,0.30572
2002,No migration background,No,0.70071,13654,19452,0.69428,0.70715
2002,Direct migration background,Yes,0.31251,898,2796,0.29532,0.32969
2002,Direct migration background,No,0.68749,1898,2796,0.67031,0.70468
2002,Indirect migration background,Yes,0.44898,331,769,0.41380,0.48416
2002,Indirect migration background,No,0.55102,438,769,0.51584,0.58620
2004,No migration background,Yes,0.29663,5298,18239,0.29000,0.30326
2004,No migration background,No,0.70337,12941,18239,0.69674,0.71000
2004,Direct migration background,Yes,0.29206,750,2526,0.27433,0.30980
2004,Direct migration background,No,0.70794,1776,2526,0.69020,0.72567
2004,Indirect migration background,Yes,0.41963,328,796,0.38532,0.45393
2004,Indirect migration background,No,0.58037,468,796,0.54607,0.61468
2006,No migration background,Yes,0.29375,5227,18753,0.28723,0.30027
2006,No migration background,No,0.70625,13526,18753,0.69973,0.71277
2006,Direct migration background,Yes,0.31720,708,2377,0.29848,0.33591
2006,Direct migration background,No,0.68280,1669,2377,0.66409,0.70152
2006,Indirect migration background,Yes,0.42375,337,812,0.38974,0.45776
2006,Indirect migration background,No,0.57625,475,812,0.54224,0.61026
2008,No migration background,Yes,0.27881,4374,16620,0.27199,0.28562
2008,No migration background,No,0.72119,12246,16620,0.71438,0.72801
2008,Direct migration background,Yes,0.29912,520,1906,0.27856,0.31968
2008,Direct migration background,No,0.70088,1386,1906,0.68032,0.72144
2008,Indirect migration background,Yes,0.38644,295,765,0.35191,0.42097
2008,Indirect migration background,No,0.61356,470,765,0.57903,0.64809
2010,No migration background,Yes,0.26757,3734,14498,0.26037,0.27478
2010,No migration background,No,0.73243,10764,14498,0.72522,0.73963
2010,Direct migration background,Yes,0.27590,369,1468,0.25303,0.29877
2010,Direct migration background,No,0.72410,1099,1468,0.70123,0.74697
2010,Indirect migration background,Yes,0.38076,234,655,0.34354,0.41797
2010,Indirect migration background,No,0.61924,421,655,0.58203,0.65646
2012,No migration background,Yes,0.26263,4525,17654,0.25613,0.26912
2012,No migration background,No,0.73737,13129,17654,0.73088,0.74387
2012,Direct migration background,Yes,0.27377,491,1990,0.25418,0.29337
2012,Direct migration background,No,0.72623,1499,1990,0.70663,0.74582
2012,Indirect migration background,Yes,0.32934,248,778,0.29629,0.36239
2012,Indirect migration background,No,0.67066,530,778,0.63761,0.70371
2014,No migration background,Yes,0.26073,5247,20056,0.25465,0.26680
2014,No migration background,No,0.73927,14809,20056,0.73320,0.74535
2014,Direct migration background,Yes,0.28320,1560,5278,0.27104,0.29536
2014,Direct migration background,No,0.71680,3718,5278,0.70464,0.72896
2014,Indirect migration background,Yes,0.35978,600,1697,0.33694,0.38262
2014,Indirect migration background,No,0.64022,1097,1697,0.61738,0.66306
2016,No migration background,Yes,0.24822,4372,17725,0.24186,0.25458
2016,No migration background,No,0.75178,13353,17725,0.74542,0.75814
2016,Direct migration background,Yes,0.27710,1457,4938,0.26461,0.28958
2016,Direct migration background,No,0.72290,3481,4938,0.71042,0.73539
2016,Indirect migration background,Yes,0.30223,463,1459,0.27866,0.32580
2016,Indirect migration background,No,0.69777,996,1459,0.67420,0.72134
2018,No migration background,Yes,0.23581,4691,19374,0.22983,0.24179
2018,No migration background,No,0.76419,14683,19374,0.75821,0.77017
2018,Direct migration background,Yes,0.28843,1306,4558,0.27527,0.30158
2018,Direct migration background,No,0.71157,3252,4558,0.69842,0.72473
2018,Indirect migration background,Yes,0.31377,480,1599,0.29102,0.33653
2018,Indirect migration background,No,0.68623,1119,1599,0.66347,0.70898
2020,No migration background,Yes,0.22140,4149,18494,0.21542,0.22739
2020,No migration background,No,0.77860,14345,18494,0.77261,0.78458
2020,Direct migration background,Yes,0.26688,2397,8356,0.25740,0.27637
2020,Direct migration background,No,0.73312,5959,8356,0.72363,0.74260
2020,Indirect migration background,Yes,0.29856,417,1530,0.27562,0.32150
2020,Indirect migration background,No,0.70144,1113,1530,0.67850,0.72438
2022,No migration background,Yes,0.19526,3700,18293,0.18951,0.20100
2022,No migration background,No,0.80474,14593,18293,0.79900,0.81049
2022,Direct migration background,Yes,0.24537,1243,6352,0.23479,0.25596
2022,Direct migration background,No,0.75463,5109,6352,0.74404,0.76521
2022,Indirect migration background,Yes,0.27116,331,1451,0.24827,0.29404
2022,Indirect migration background,No,0.72884,1120,1451,0.70596,0.75173
