year,migback,regtyp,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No migration background,Urban regions,Yes,0.25962,3662,12312,0.25188,0.26737
2002,No migration background,Urban regions,No,0.59166,8650,12312,0.58298,0.60034
2002,No migration background,Rural regions,Yes,0.24287,2136,7140,0.23292,0.25282
2002,No migration background,Rural regions,No,0.59881,5004,7140,0.58744,0.61018
2002,Direct migration background,Urban regions,Yes,0.30169,775,2313,0.28298,0.32039
2002,Direct migration background,Urban regions,No,0.64434,1538,2313,0.62482,0.66385
2002,Direct migration background,Rural regions,Yes,0.26459,123,483,0.22521,0.30397
2002,Direct migration background,Rural regions,No,0.67143,360,483,0.62950,0.71336
2002,Indirect migration background,Urban regions,Yes,0.17729,297,672,0.14839,0.20619
2002,Indirect migration background,Urban regions,No,0.22118,375,672,0.18977,0.25258
2002,Indirect migration background,Rural regions,Yes,0.14312,34,97,0.07306,0.21317
2002,Indirect migration background,Rural regions,No,0.15755,63,97,0.08467,0.23043
2004,No migration background,Urban regions,Yes,0.25702,3357,11572,0.24906,0.26498
2004,No migration background,Urban regions,No,0.59324,8215,11572,0.58429,0.60219
2004,No migration background,Rural regions,Yes,0.24258,1941,6667,0.23229,0.25287
2004,No migration background,Rural regions,No,0.60611,4726,6667,0.59438,0.61784
2004,Direct migration background,Urban regions,Yes,0.28650,639,2086,0.26709,0.30591
2004,Direct migration background,Urban regions,No,0.66943,1447,2086,0.64924,0.68962
2004,Direct migration background,Rural regions,Yes,0.24578,111,440,0.20550,0.28605
2004,Direct migration background,Rural regions,No,0.71124,329,440,0.66885,0.75364
2004,Indirect migration background,Urban regions,Yes,0.17860,281,681,0.14981,0.20739
2004,Indirect migration background,Urban regions,No,0.25435,400,681,0.22162,0.28708
2004,Indirect migration background,Rural regions,Yes,0.18521,47,115,0.11390,0.25653
2004,Indirect migration background,Rural regions,No,0.22178,68,115,0.14551,0.29804
2006,No migration background,Urban regions,Yes,0.25415,3287,11825,0.24631,0.26200
2006,No migration background,Urban regions,No,0.59611,8538,11825,0.58726,0.60495
2006,No migration background,Rural regions,Yes,0.24005,1940,6928,0.22999,0.25011
2006,No migration background,Rural regions,No,0.60465,4988,6928,0.59314,0.61616
2006,Direct migration background,Urban regions,Yes,0.30698,591,1951,0.28651,0.32746
2006,Direct migration background,Urban regions,No,0.65592,1360,1951,0.63484,0.67701
2006,Direct migration background,Rural regions,Yes,0.29296,117,426,0.24969,0.33623
2006,Direct migration background,Rural regions,No,0.65309,309,426,0.60783,0.69834
2006,Indirect migration background,Urban regions,Yes,0.20858,295,693,0.17831,0.23885
2006,Indirect migration background,Urban regions,No,0.26814,398,693,0.23513,0.30114
2006,Indirect migration background,Rural regions,Yes,0.13860,42,119,0.07625,0.20094
2006,Indirect migration background,Rural regions,No,0.25951,77,119,0.18041,0.33860
2008,No migration background,Urban regions,Yes,0.23511,2694,10477,0.22699,0.24323
2008,No migration background,Urban regions,No,0.61765,7783,10477,0.60834,0.62695
2008,No migration background,Rural regions,Yes,0.24229,1680,6143,0.23158,0.25301
2008,No migration background,Rural regions,No,0.60887,4463,6143,0.59666,0.62107
2008,Direct migration background,Urban regions,Yes,0.29457,432,1557,0.27192,0.31722
2008,Direct migration background,Urban regions,No,0.68072,1125,1557,0.65756,0.70389
2008,Direct migration background,Rural regions,Yes,0.28091,88,349,0.23369,0.32814
2008,Direct migration background,Rural regions,No,0.69797,261,349,0.64973,0.74621
2008,Indirect migration background,Urban regions,Yes,0.21154,263,653,0.18020,0.24289
2008,Indirect migration background,Urban regions,No,0.29258,390,653,0.25766,0.32750
2008,Indirect migration background,Rural regions,Yes,0.10849,32,112,0.05063,0.16635
2008,Indirect migration background,Rural regions,No,0.37970,80,112,0.28942,0.46999
2010,No migration background,Urban regions,Yes,0.21332,2309,9170,0.20493,0.22170
2010,No migration background,Urban regions,No,0.58350,6861,9170,0.57340,0.59359
2010,No migration background,Rural regions,Yes,0.20899,1425,5328,0.19807,0.21991
2010,No migration background,Rural regions,No,0.57286,3903,5328,0.55957,0.58614
2010,Direct migration background,Urban regions,Yes,0.21904,299,1186,0.19549,0.24258
2010,Direct migration background,Urban regions,No,0.56678,887,1186,0.53856,0.59499
2010,Direct migration background,Rural regions,Yes,0.21441,70,282,0.16642,0.26240
2010,Direct migration background,Rural regions,No,0.59253,212,282,0.53507,0.64998
2010,Indirect migration background,Urban regions,Yes,0.16374,210,553,0.13287,0.19461
2010,Indirect migration background,Urban regions,No,0.24263,343,553,0.20687,0.27839
2010,Indirect migration background,Rural regions,No,0.26783,78,78,0.16892,0.36675
2012,No migration background,Urban regions,Yes,0.20311,2696,10909,0.19556,0.21066
2012,No migration background,Urban regions,No,0.59449,8213,10909,0.58527,0.60370
2012,No migration background,Rural regions,Yes,0.21765,1829,6745,0.20780,0.22750
2012,No migration background,Rural regions,No,0.56637,4916,6745,0.55454,0.57820
2012,Direct migration background,Urban regions,Yes,0.23450,377,1491,0.21299,0.25602
2012,Direct migration background,Urban regions,No,0.59564,1114,1491,0.57072,0.62056
2012,Direct migration background,Rural regions,Yes,0.20806,114,499,0.17241,0.24372
2012,Direct migration background,Rural regions,No,0.63516,385,499,0.59288,0.67744
2012,Indirect migration background,Urban regions,Yes,0.13086,204,631,0.10453,0.15720
2012,Indirect migration background,Urban regions,No,0.27379,427,631,0.23897,0.30861
2012,Indirect migration background,Rural regions,Yes,0.13582,44,147,0.08025,0.19140
2012,Indirect migration background,Rural regions,No,0.24616,103,147,0.17628,0.31604
2014,No migration background,Urban regions,Yes,0.21273,3049,12297,0.20549,0.21996
2014,No migration background,Urban regions,No,0.64717,9248,12297,0.63872,0.65561
2014,No migration background,Rural regions,Yes,0.24460,2198,7759,0.23504,0.25417
2014,No migration background,Rural regions,No,0.61299,5561,7759,0.60215,0.62383
2014,Direct migration background,Urban regions,Yes,0.27891,1159,3950,0.26492,0.29290
2014,Direct migration background,Urban regions,No,0.68169,2791,3950,0.66716,0.69622
2014,Direct migration background,Rural regions,Yes,0.24842,401,1328,0.22517,0.27167
2014,Direct migration background,Rural regions,No,0.71646,927,1328,0.69221,0.74071
2014,Indirect migration background,Urban regions,Yes,0.17760,485,1388,0.15749,0.19771
2014,Indirect migration background,Urban regions,No,0.31378,903,1388,0.28936,0.33820
2014,Indirect migration background,Rural regions,Yes,0.17018,115,309,0.12821,0.21214
2014,Indirect migration background,Rural regions,No,0.31348,194,309,0.26167,0.36529
2016,No migration background,Urban regions,Yes,0.20506,2541,10846,0.19746,0.21266
2016,No migration background,Urban regions,No,0.65594,8305,10846,0.64700,0.66488
2016,No migration background,Rural regions,Yes,0.22729,1831,6879,0.21738,0.23719
2016,No migration background,Rural regions,No,0.62462,5048,6879,0.61318,0.63607
2016,Direct migration background,Urban regions,Yes,0.25490,1055,3657,0.24077,0.26902
2016,Direct migration background,Urban regions,No,0.65265,2602,3657,0.63722,0.66809
2016,Direct migration background,Rural regions,Yes,0.23481,402,1281,0.21159,0.25804
2016,Direct migration background,Rural regions,No,0.65729,879,1281,0.63129,0.68329
