year,pgisced97,regtyp,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Pre-primary Level,Urban regions,Yes,0.24954,103,427,0.20845,0.29064
2002,Pre-primary Level,Urban regions,No,0.75046,324,427,0.70936,0.79155
2002,Pre-primary Level,Rural regions,Yes,0.16911,34,185,0.11495,0.22328
2002,Pre-primary Level,Rural regions,No,0.83089,151,185,0.77672,0.88505
2002,Primary Level,Urban regions,Yes,0.36189,80,223,0.29868,0.42510
2002,Primary Level,Urban regions,No,0.63811,143,223,0.57490,0.70132
2002,Primary Level,Rural regions,No,0.50450,35,35,0.33644,0.67256
2002,Lower Secondary Level,Urban regions,Yes,0.30757,661,1949,0.28708,0.32807
2002,Lower Secondary Level,Urban regions,No,0.69170,1288,1949,0.67120,0.71221
2002,Lower Secondary Level,Rural regions,Yes,0.29651,301,941,0.26731,0.32570
2002,Lower Secondary Level,Rural regions,No,0.70349,640,941,0.67430,0.73269
2002,Upper Secondary Level,Urban regions,Yes,0.33841,2496,7335,0.32758,0.34924
2002,Upper Secondary Level,Urban regions,No,0.66090,4839,7335,0.65006,0.67173
2002,Upper Secondary Level,Rural regions,Yes,0.32302,1433,4244,0.30895,0.33709
2002,Upper Secondary Level,Rural regions,No,0.67673,2811,4244,0.66266,0.69080
2002,Post-secondary Non-tertiary Level,Urban regions,Yes,0.31936,285,895,0.28880,0.34992
2002,Post-secondary Non-tertiary Level,Urban regions,No,0.68064,610,895,0.65008,0.71120
2002,Post-secondary Non-tertiary Level,Rural regions,Yes,0.23213,70,270,0.18168,0.28258
2002,Post-secondary Non-tertiary Level,Rural regions,No,0.76787,200,270,0.71742,0.81832
2002,First Stage of Tertiary Education,Urban regions,Yes,0.27821,322,1115,0.25190,0.30453
2002,First Stage of Tertiary Education,Urban regions,No,0.72179,793,1115,0.69547,0.74810
2002,First Stage of Tertiary Education,Rural regions,Yes,0.22269,148,627,0.19010,0.25528
2002,First Stage of Tertiary Education,Rural regions,No,0.77731,479,627,0.74472,0.80990
2002,Second Stage of Tertiary Education,Urban regions,Yes,0.24282,737,3240,0.22805,0.25759
2002,Second Stage of Tertiary Education,Urban regions,No,0.75692,2503,3240,0.74214,0.77169
2002,Second Stage of Tertiary Education,Rural regions,Yes,0.18147,240,1316,0.16064,0.20230
2002,Second Stage of Tertiary Education,Rural regions,No,0.81659,1076,1316,0.79567,0.83751
2004,Pre-primary Level,Urban regions,Yes,0.21669,94,441,0.17819,0.25518
2004,Pre-primary Level,Urban regions,No,0.77998,347,441,0.74127,0.81869
2004,Pre-primary Level,Rural regions,Yes,0.29026,56,198,0.22688,0.35364
2004,Pre-primary Level,Rural regions,No,0.70974,142,198,0.64636,0.77312
2004,Primary Level,Urban regions,Yes,0.43211,82,195,0.36240,0.50182
2004,Primary Level,Urban regions,No,0.55937,113,195,0.48951,0.62924
2004,Primary Level,Rural regions,No,0.68558,40,40,0.53987,0.83130
2004,Lower Secondary Level,Urban regions,Yes,0.30381,551,1729,0.28213,0.32550
