year,bula_h,sex,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Schleswig-Holstein,male,Yes,0.30441,119,346,0.25585,0.35296
2002,Schleswig-Holstein,male,No,0.53818,227,346,0.48557,0.59079
2002,Schleswig-Holstein,female,Yes,0.23814,105,373,0.19486,0.28143
2002,Schleswig-Holstein,female,No,0.58659,268,373,0.53655,0.63663
2002,Hamburg,male,Yes,0.34338,47,146,0.26609,0.42067
2002,Hamburg,male,No,0.52088,99,146,0.43957,0.60220
2002,Hamburg,female,Yes,0.26123,51,179,0.19670,0.32577
2002,Hamburg,female,No,0.62641,128,179,0.55534,0.69748
2002,Lower Saxony,male,Yes,0.29599,344,966,0.26719,0.32480
2002,Lower Saxony,male,No,0.51677,622,966,0.48525,0.54830
2002,Lower Saxony,female,Yes,0.21828,291,1011,0.19280,0.24375
2002,Lower Saxony,female,No,0.59939,720,1011,0.56917,0.62961
2002,Bremen,male,Yes,0.33151,31,80,0.22770,0.43532
2002,Bremen,male,No,0.54940,49,80,0.43968,0.65912
2002,Bremen,female,Yes,0.25531,31,92,0.16572,0.34490
2002,Bremen,female,No,0.59997,61,92,0.49931,0.70063
2002,North Rhine-Westphalia,male,Yes,0.32044,890,2361,0.30161,0.33927
2002,North Rhine-Westphalia,male,No,0.50764,1471,2361,0.48747,0.52781
2002,North Rhine-Westphalia,female,Yes,0.21696,683,2507,0.20082,0.23309
2002,North Rhine-Westphalia,female,No,0.62464,1824,2507,0.60569,0.64360
2002,Hesse,male,Yes,0.27800,266,789,0.24671,0.30928
2002,Hesse,male,No,0.51428,523,789,0.47938,0.54918
2002,Hesse,female,Yes,0.21955,241,850,0.19170,0.24739
2002,Hesse,female,No,0.61214,609,850,0.57936,0.64492
2002,"Rhineland-Palatinate, Saarland",male,Yes,0.28671,234,649,0.25189,0.32153
2002,"Rhineland-Palatinate, Saarland",male,No,0.49454,415,649,0.45604,0.53303
2002,"Rhineland-Palatinate, Saarland",female,Yes,0.21618,198,726,0.18622,0.24615
2002,"Rhineland-Palatinate, Saarland",female,No,0.59803,528,726,0.56234,0.63372
2002,Baden-Wuerttemberg,male,Yes,0.25200,455,1377,0.22906,0.27494
2002,Baden-Wuerttemberg,male,No,0.53789,922,1377,0.51155,0.56423
2002,Baden-Wuerttemberg,female,Yes,0.19342,347,1422,0.17289,0.21396
2002,Baden-Wuerttemberg,female,No,0.63214,1075,1422,0.60706,0.65721
2002,Bavaria,male,Yes,0.26453,486,1556,0.24261,0.28646
2002,Bavaria,male,No,0.56424,1070,1556,0.53959,0.58888
2002,Bavaria,female,Yes,0.21196,436,1699,0.19252,0.23140
2002,Bavaria,female,No,0.62600,1263,1699,0.60298,0.64901
2002,Berlin,male,Yes,0.34555,165,402,0.29901,0.39210
2002,Berlin,male,No,0.46077,237,402,0.41198,0.50955
2002,Berlin,female,Yes,0.29773,146,425,0.25420,0.34125
2002,Berlin,female,No,0.55583,279,425,0.50853,0.60312
2002,Brandenburg,male,Yes,0.32423,166,467,0.28173,0.36673
2002,Brandenburg,male,No,0.53919,301,467,0.49393,0.58445
2002,Brandenburg,female,Yes,0.18029,101,492,0.14629,0.21430
2002,Brandenburg,female,No,0.69636,391,492,0.65569,0.73704
2002,Mecklenburg-Western Pomerania,male,Yes,0.32310,83,232,0.26279,0.38341
2002,Mecklenburg-Western Pomerania,male,No,0.55200,149,232,0.48787,0.61613
2002,Mecklenburg-Western Pomerania,female,Yes,0.22272,73,284,0.17424,0.27119
