year,migback,pgisced97,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No migration background,Pre-primary Level,Yes,0.21789,107,483,0.18104,0.25475
2002,No migration background,Pre-primary Level,No,0.78211,376,483,0.74525,0.81896
2002,No migration background,Primary Level,Yes,0.44949,41,87,0.34436,0.55463
2002,No migration background,Primary Level,No,0.55051,46,87,0.44537,0.65564
2002,No migration background,Lower Secondary Level,Yes,0.28967,640,1982,0.26970,0.30965
2002,No migration background,Lower Secondary Level,No,0.70965,1342,1982,0.68967,0.72964
2002,No migration background,Upper Secondary Level,Yes,0.32687,3403,10239,0.31778,0.33596
2002,No migration background,Upper Secondary Level,No,0.67264,6836,10239,0.66355,0.68173
2002,No migration background,Post-secondary Non-tertiary Level,Yes,0.28772,259,886,0.25790,0.31755
2002,No migration background,Post-secondary Non-tertiary Level,No,0.71228,627,886,0.68245,0.74210
2002,No migration background,First Stage of Tertiary Education,Yes,0.25619,412,1544,0.23441,0.27797
2002,No migration background,First Stage of Tertiary Education,No,0.74381,1132,1544,0.72203,0.76559
2002,No migration background,Second Stage of Tertiary Education,Yes,0.22732,868,4097,0.21449,0.24016
2002,No migration background,Second Stage of Tertiary Education,No,0.77185,3229,4097,0.75900,0.78470
2002,Direct migration background,Pre-primary Level,No,0.75598,41,41,0.62287,0.88908
2002,Direct migration background,Primary Level,Yes,0.35213,63,189,0.28385,0.42040
2002,Direct migration background,Primary Level,No,0.64787,126,189,0.57960,0.71615
2002,Direct migration background,Lower Secondary Level,Yes,0.30299,220,709,0.26914,0.33684
2002,Direct migration background,Lower Secondary Level,No,0.69701,489,709,0.66316,0.73086
2002,Direct migration background,Upper Secondary Level,Yes,0.35374,377,1020,0.32438,0.38310
2002,Direct migration background,Upper Secondary Level,No,0.64508,643,1020,0.61571,0.67446
2002,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.34592,84,243,0.28599,0.40585
2002,Direct migration background,Post-secondary Non-tertiary Level,No,0.65408,159,243,0.59415,0.71401
2002,Direct migration background,First Stage of Tertiary Education,Yes,0.25974,40,158,0.19115,0.32833
2002,Direct migration background,First Stage of Tertiary Education,No,0.74026,118,158,0.67167,0.80885
2002,Direct migration background,Second Stage of Tertiary Education,Yes,0.21872,91,393,0.17779,0.25964
2002,Direct migration background,Second Stage of Tertiary Education,No,0.78128,302,393,0.74036,0.82221
2002,Indirect migration background,Pre-primary Level,No,0.75261,58,58,0.64059,0.86463
2002,Indirect migration background,Lower Secondary Level,Yes,0.50806,102,199,0.43842,0.57769
2002,Indirect migration background,Lower Secondary Level,No,0.49194,97,199,0.42231,0.56158
2002,Indirect migration background,Upper Secondary Level,Yes,0.51294,149,320,0.45809,0.56779
2002,Indirect migration background,Upper Secondary Level,No,0.48706,171,320,0.43221,0.54191
2002,Indirect migration background,Second Stage of Tertiary Education,No,0.76717,48,48,0.64634,0.88800
2004,No migration background,Pre-primary Level,Yes,0.27250,121,496,0.23328,0.31173
2004,No migration background,Pre-primary Level,No,0.72404,375,496,0.68467,0.76342
2004,No migration background,Primary Level,Yes,0.43782,41,86,0.33235,0.54329
2004,No migration background,Primary Level,No,0.54686,45,86,0.44103,0.65268
2004,No migration background,Lower Secondary Level,Yes,0.29198,543,1767,0.27077,0.31318
2004,No migration background,Lower Secondary Level,No,0.70511,1224,1767,0.68385,0.72638
2004,No migration background,Upper Secondary Level,Yes,0.32001,3089,9491,0.31062,0.32939
2004,No migration background,Upper Secondary Level,No,0.67635,6402,9491,0.66693,0.68576
2004,No migration background,Post-secondary Non-tertiary Level,Yes,0.28026,248,886,0.25066,0.30985
2004,No migration background,Post-secondary Non-tertiary Level,No,0.71537,638,886,0.68564,0.74510
2004,No migration background,First Stage of Tertiary Education,Yes,0.25633,387,1458,0.23391,0.27875
