year,quintil_oecd,sex,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,1st Quintile,male,Yes,0.44380,696,1480,0.41848,0.46912
2002,1st Quintile,male,No,0.55620,784,1480,0.53088,0.58152
2002,1st Quintile,female,Yes,0.30671,664,1988,0.28643,0.32698
2002,1st Quintile,female,No,0.69329,1324,1988,0.67302,0.71357
2002,2nd Quintile,male,Yes,0.37392,666,1807,0.35161,0.39624
2002,2nd Quintile,male,No,0.62608,1141,1807,0.60376,0.64839
2002,2nd Quintile,female,Yes,0.22685,505,2112,0.20899,0.24472
2002,2nd Quintile,female,No,0.77315,1607,2112,0.75528,0.79101
2002,3rd Quintile,male,Yes,0.37323,735,1947,0.35174,0.39472
2002,3rd Quintile,male,No,0.62677,1212,1947,0.60528,0.64826
2002,3rd Quintile,female,Yes,0.25856,551,2092,0.23979,0.27733
2002,3rd Quintile,female,No,0.74144,1541,2092,0.72267,0.76021
2002,4th Quintile,male,Yes,0.34601,735,2188,0.32607,0.36594
2002,4th Quintile,male,No,0.65399,1453,2188,0.63406,0.67393
2002,4th Quintile,female,Yes,0.23917,534,2178,0.22125,0.25709
2002,4th Quintile,female,No,0.76083,1644,2178,0.74291,0.77875
2002,5th Quintile,male,Yes,0.29306,754,2551,0.27539,0.31073
2002,5th Quintile,male,No,0.70694,1797,2551,0.68927,0.72461
2002,5th Quintile,female,Yes,0.23322,600,2447,0.21646,0.24998
2002,5th Quintile,female,No,0.76678,1847,2447,0.75002,0.78354
2004,1st Quintile,male,Yes,0.45591,629,1367,0.42950,0.48232
2004,1st Quintile,male,No,0.54409,738,1367,0.51768,0.57050
2004,1st Quintile,female,Yes,0.32651,631,1881,0.30532,0.34771
2004,1st Quintile,female,No,0.67349,1250,1881,0.65229,0.69468
2004,2nd Quintile,male,Yes,0.35667,641,1733,0.33411,0.37923
2004,2nd Quintile,male,No,0.64333,1092,1733,0.62077,0.66589
2004,2nd Quintile,female,Yes,0.23911,522,2045,0.22062,0.25760
2004,2nd Quintile,female,No,0.76089,1523,2045,0.74240,0.77938
2004,3rd Quintile,male,Yes,0.35864,679,1942,0.33730,0.37998
2004,3rd Quintile,male,No,0.64136,1263,1942,0.62002,0.66270
2004,3rd Quintile,female,Yes,0.23393,521,2062,0.21565,0.25220
2004,3rd Quintile,female,No,0.76607,1541,2062,0.74780,0.78435
2004,4th Quintile,male,Yes,0.30932,691,2150,0.28978,0.32886
2004,4th Quintile,male,No,0.69068,1459,2150,0.67114,0.71022
2004,4th Quintile,female,Yes,0.22301,515,2192,0.20558,0.24044
2004,4th Quintile,female,No,0.77699,1677,2192,0.75956,0.79442
