year,regtyp,sex,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Urban regions,male,Yes,0.30197,2625,7365,0.29148,0.31245
2002,Urban regions,male,No,0.51840,4740,7365,0.50699,0.52981
2002,Urban regions,female,Yes,0.21830,2109,7932,0.20921,0.22739
2002,Urban regions,female,No,0.62261,5823,7932,0.61194,0.63328
2002,Rural regions,male,Yes,0.28359,1305,3758,0.26917,0.29800
2002,Rural regions,male,No,0.54259,2453,3758,0.52666,0.55852
2002,Rural regions,female,Yes,0.20028,988,3962,0.18781,0.21274
2002,Rural regions,female,No,0.63478,2974,3962,0.61978,0.64977
2004,Urban regions,male,Yes,0.28950,2310,6861,0.27876,0.30023
2004,Urban regions,male,No,0.53370,4551,6861,0.52189,0.54550
2004,Urban regions,female,Yes,0.22149,1967,7478,0.21208,0.23091
2004,Urban regions,female,No,0.61838,5511,7478,0.60737,0.62939
2004,Rural regions,male,Yes,0.28738,1194,3497,0.27238,0.30238
2004,Rural regions,male,No,0.54894,2303,3497,0.53244,0.56543
2004,Rural regions,female,Yes,0.19565,905,3725,0.18291,0.20839
2004,Rural regions,female,No,0.64676,2820,3725,0.63141,0.66211
2006,Urban regions,male,Yes,0.28438,2206,6883,0.27372,0.29504
2006,Urban regions,male,No,0.54081,4677,6883,0.52903,0.55258
2006,Urban regions,female,Yes,0.23138,1967,7586,0.22189,0.24087
2006,Urban regions,female,No,0.60926,5619,7586,0.59828,0.62024
2006,Rural regions,male,Yes,0.27533,1160,3573,0.26068,0.28998
2006,Rural regions,male,No,0.54725,2413,3573,0.53092,0.56357
2006,Rural regions,female,Yes,0.20471,939,3900,0.19204,0.21737
2006,Rural regions,female,No,0.63827,2961,3900,0.62319,0.65335
2008,Urban regions,male,Yes,0.27328,1821,6010,0.26201,0.28455
2008,Urban regions,male,No,0.55699,4189,6010,0.54443,0.56955
2008,Urban regions,female,Yes,0.20920,1568,6677,0.19945,0.21896
2008,Urban regions,female,No,0.63204,5109,6677,0.62047,0.64361
2008,Rural regions,male,Yes,0.27267,992,3187,0.25721,0.28814
2008,Rural regions,male,No,0.55872,2195,3187,0.54148,0.57596
2008,Rural regions,female,Yes,0.20662,808,3417,0.19304,0.22019
2008,Rural regions,female,No,0.65032,2609,3417,0.63433,0.66631
2010,Urban regions,male,Yes,0.23898,1499,5159,0.22735,0.25062
2010,Urban regions,male,No,0.52144,3660,5159,0.50781,0.53507
2010,Urban regions,female,Yes,0.18129,1319,5750,0.17133,0.19125
2010,Urban regions,female,No,0.57745,4431,5750,0.56468,0.59022
2010,Rural regions,male,Yes,0.24228,850,2757,0.22629,0.25828
2010,Rural regions,male,No,0.52631,1907,2757,0.50767,0.54495
2010,Rural regions,female,Yes,0.16770,669,2955,0.15423,0.18118
2010,Rural regions,female,No,0.59525,2286,2955,0.57755,0.61296
2012,Urban regions,male,Yes,0.22559,1685,6103,0.21510,0.23608
2012,Urban regions,male,No,0.53986,4418,6103,0.52735,0.55237
2012,Urban regions,female,Yes,0.17686,1592,6928,0.16787,0.18584
