year,regtyp,sampreg,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Urban regions,West,Yes,0.31228,4226,13527,0.30447,0.32009
2002,Urban regions,West,No,0.68772,9301,13527,0.67991,0.69553
2002,Urban regions,East,Yes,0.31018,508,1770,0.28862,0.33173
2002,Urban regions,East,No,0.68982,1262,1770,0.66827,0.71138
2002,Rural regions,West,Yes,0.29144,1199,4065,0.27747,0.30541
2002,Rural regions,West,No,0.70856,2866,4065,0.69459,0.72253
2002,Rural regions,East,Yes,0.28848,1094,3655,0.27379,0.30317
2002,Rural regions,East,No,0.71152,2561,3655,0.69683,0.72621
2004,Urban regions,West,Yes,0.30454,3768,12581,0.29650,0.31258
2004,Urban regions,West,No,0.69546,8813,12581,0.68742,0.70350
2004,Urban regions,East,Yes,0.32483,509,1758,0.30294,0.34673
2004,Urban regions,East,No,0.67517,1249,1758,0.65327,0.69706
2004,Rural regions,West,Yes,0.29194,1093,3770,0.27742,0.30645
2004,Rural regions,West,No,0.70806,2677,3770,0.69355,0.72258
2004,Rural regions,East,Yes,0.27853,1006,3452,0.26357,0.29348
2004,Rural regions,East,No,0.72147,2446,3452,0.70652,0.73643
2006,Urban regions,West,Yes,0.31014,3696,12726,0.30210,0.31818
2006,Urban regions,West,No,0.68986,9030,12726,0.68182,0.69790
2006,Urban regions,East,Yes,0.29824,477,1743,0.27675,0.31972
2006,Urban regions,East,No,0.70176,1266,1743,0.68028,0.72325
2006,Rural regions,West,Yes,0.29261,1103,3948,0.27841,0.30680
2006,Rural regions,West,No,0.70739,2845,3948,0.69320,0.72159
2006,Rural regions,East,Yes,0.27884,996,3525,0.26404,0.29365
2006,Rural regions,East,No,0.72116,2529,3525,0.70635,0.73596
2008,Urban regions,West,Yes,0.28700,2968,11073,0.27857,0.29543
2008,Urban regions,West,No,0.71300,8105,11073,0.70457,0.72143
2008,Urban regions,East,Yes,0.29586,421,1614,0.27358,0.31813
2008,Urban regions,East,No,0.70414,1193,1614,0.68187,0.72642
2008,Rural regions,West,Yes,0.28458,933,3457,0.26953,0.29962
2008,Rural regions,West,No,0.71542,2524,3457,0.70038,0.73047
2008,Rural regions,East,Yes,0.28125,867,3147,0.26554,0.29696
2008,Rural regions,East,No,0.71875,2280,3147,0.70304,0.73446
2010,Urban regions,West,Yes,0.27683,2471,9509,0.26784,0.28583
