year,pgisced97,sampreg,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No answer / don't know,West,Yes,0.41833,57,135,0.33481,0.50185
2002,No answer / don't know,West,No,0.58167,78,135,0.49815,0.66519
2002,No answer / don't know,East,Yes,0.69657,31,31,0.53205,0.86108
2002,Pre-primary Level,West,Yes,0.21972,103,459,0.18180,0.25764
2002,Pre-primary Level,West,No,0.78028,356,459,0.74236,0.81820
2002,Pre-primary Level,East,Yes,0.24799,34,153,0.17934,0.31665
2002,Pre-primary Level,East,No,0.75201,119,153,0.68335,0.82066
2002,Primary Level,West,Yes,0.37853,98,270,0.32056,0.43649
2002,Primary Level,West,No,0.62147,172,270,0.56351,0.67944
2002,Lower Secondary Level,West,Yes,0.30683,822,2470,0.28864,0.32502
2002,Lower Secondary Level,West,No,0.69317,1648,2470,0.67498,0.71136
2002,Lower Secondary Level,East,Yes,0.28362,140,420,0.24046,0.32678
2002,Lower Secondary Level,East,No,0.71638,280,420,0.67322,0.75954
2002,Upper Secondary Level,West,Yes,0.33194,2940,8702,0.32205,0.34184
2002,Upper Secondary Level,West,No,0.66806,5762,8702,0.65816,0.67795
2002,Upper Secondary Level,East,Yes,0.33893,989,2877,0.32163,0.35623
2002,Upper Secondary Level,East,No,0.66107,1888,2877,0.64377,0.67837
2002,Post-secondary Non-tertiary Level,West,Yes,0.30089,312,1030,0.27287,0.32891
2002,Post-secondary Non-tertiary Level,West,No,0.69911,718,1030,0.67109,0.72713
2002,Post-secondary Non-tertiary Level,East,Yes,0.29531,43,135,0.21807,0.37255
2002,Post-secondary Non-tertiary Level,East,No,0.70469,92,135,0.62745,0.78193
2002,First Stage of Tertiary Education,West,Yes,0.27440,375,1290,0.25004,0.29876
2002,First Stage of Tertiary Education,West,No,0.72560,915,1290,0.70124,0.74996
2002,First Stage of Tertiary Education,East,Yes,0.20704,95,452,0.16965,0.24444
2002,First Stage of Tertiary Education,East,No,0.79296,357,452,0.75556,0.83035
2002,Second Stage of Tertiary Education,West,Yes,0.23438,718,3236,0.21978,0.24898
2002,Second Stage of Tertiary Education,West,No,0.76562,2518,3236,0.75102,0.78022
2002,Second Stage of Tertiary Education,East,Yes,0.20379,259,1320,0.18205,0.22553
2002,Second Stage of Tertiary Education,East,No,0.79621,1061,1320,0.77447,0.81795
2004,No answer / don't know,West,Yes,0.37729,80,203,0.31045,0.44413
2004,No answer / don't know,West,No,0.62271,123,203,0.55587,0.68955
2004,No answer / don't know,East,No,0.46348,33,33,0.29070,0.63626
2004,Pre-primary Level,West,Yes,0.22184,102,474,0.18439,0.25928
2004,Pre-primary Level,West,No,0.77816,372,474,0.74072,0.81561
2004,Pre-primary Level,East,Yes,0.30365,48,165,0.23327,0.37402
2004,Pre-primary Level,East,No,0.69635,117,165,0.62598,0.76673
2004,Primary Level,West,Yes,0.39884,91,237,0.33636,0.46131
2004,Primary Level,West,No,0.60116,146,237,0.53869,0.66364
2004,Lower Secondary Level,West,Yes,0.29868,684,2196,0.27954,0.31783
2004,Lower Secondary Level,West,No,0.70132,1512,2196,0.68217,0.72046
2004,Lower Secondary Level,East,Yes,0.31282,121,368,0.26538,0.36026
2004,Lower Secondary Level,East,No,0.68718,247,368,0.63974,0.73462
2004,Upper Secondary Level,West,Yes,0.32540,2638,8022,0.31515,0.33566
2004,Upper Secondary Level,West,No,0.67460,5384,8022,0.66434,0.68485
2004,Upper Secondary Level,East,Yes,0.33406,923,2737,0.31639,0.35174
2004,Upper Secondary Level,East,No,0.66594,1814,2737,0.64826,0.68361
2004,Post-secondary Non-tertiary Level,West,Yes,0.28388,273,1002,0.25595,0.31181
2004,Post-secondary Non-tertiary Level,West,No,0.71612,729,1002,0.68819,0.74405
2004,Post-secondary Non-tertiary Level,East,Yes,0.41983,64,151,0.34085,0.49881
2004,Post-secondary Non-tertiary Level,East,No,0.58017,87,151,0.50119,0.65915
2004,First Stage of Tertiary Education,West,Yes,0.27750,353,1205,0.25221,0.30279
2004,First Stage of Tertiary Education,West,No,0.72250,852,1205,0.69721,0.74779
2004,First Stage of Tertiary Education,East,Yes,0.16732,81,434,0.13216,0.20248
2004,First Stage of Tertiary Education,East,No,0.83268,353,434,0.79752,0.86784
2004,Second Stage of Tertiary Education,West,Yes,0.23458,640,3012,0.21945,0.24972
2004,Second Stage of Tertiary Education,West,No,0.76542,2372,3012,0.75028,0.78055
2004,Second Stage of Tertiary Education,East,Yes,0.19806,237,1274,0.17616,0.21995
2004,Second Stage of Tertiary Education,East,No,0.80194,1037,1274,0.78005,0.82384
2006,No answer / don't know,West,Yes,0.45254,101,252,0.39097,0.51412
2006,No answer / don't know,West,No,0.54746,151,252,0.48588,0.60903
2006,No answer / don't know,East,Yes,0.34929,32,73,0.23917,0.45942
2006,No answer / don't know,East,No,0.65071,41,73,0.54058,0.76083
2006,Pre-primary Level,West,Yes,0.21552,66,324,0.17068,0.26037
