year,regtyp,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Urban regions,Yes,0.25930,4734,15297,0.25235,0.26624
2002,Urban regions,No,0.57155,10563,15297,0.56371,0.57939
2002,Rural regions,Yes,0.24112,2293,7720,0.23157,0.25066
2002,Rural regions,No,0.58958,5427,7720,0.57861,0.60056
2004,Urban regions,Yes,0.25485,4277,14339,0.24771,0.26198
2004,Urban regions,No,0.57685,10062,14339,0.56876,0.58494
2004,Rural regions,Yes,0.24067,2099,7222,0.23081,0.25053
2004,Rural regions,No,0.59875,5123,7222,0.58744,0.61005
2006,Urban regions,Yes,0.25743,4173,14469,0.25030,0.26455
2006,Urban regions,No,0.57562,10296,14469,0.56757,0.58368
2006,Rural regions,Yes,0.23929,2099,7473,0.22962,0.24897
2006,Rural regions,No,0.59369,5374,7473,0.58256,0.60483
2008,Urban regions,Yes,0.24060,3389,12687,0.23316,0.24804
2008,Urban regions,No,0.59527,9298,12687,0.58673,0.60381
2008,Rural regions,Yes,0.23921,1800,6604,0.22892,0.24950
2008,Rural regions,No,0.60512,4804,6604,0.59333,0.61691
2010,Urban regions,Yes,0.20956,2818,10909,0.20192,0.21720
2010,Urban regions,No,0.55001,8091,10909,0.54067,0.55934
2010,Rural regions,Yes,0.20461,1519,5712,0.19415,0.21507
2010,Rural regions,No,0.56114,4193,5712,0.54827,0.57401
2012,Urban regions,Yes,0.20070,3277,13031,0.19382,0.20758
2012,Urban regions,No,0.56499,9754,13031,0.55648,0.57351
2012,Rural regions,Yes,0.21304,1987,7391,0.20370,0.22237
2012,Rural regions,No,0.55781,5404,7391,0.54648,0.56913
2014,Urban regions,Yes,0.21865,4693,17635,0.21255,0.22475
2014,Urban regions,No,0.61807,12942,17635,0.61090,0.62524
2014,Rural regions,Yes,0.24152,2714,9396,0.23287,0.25018
2014,Rural regions,No,0.60800,6682,9396,0.59813,0.61787
2016,Urban regions,Yes,0.20773,3959,15669,0.20138,0.21408
2016,Urban regions,No,0.62279,11710,15669,0.61520,0.63037
2016,Rural regions,Yes,0.22332,2333,8453,0.21444,0.23220
2016,Rural regions,No,0.61504,6120,8453,0.60466,0.62541
2018,Urban regions,Yes,0.20126,4080,16615,0.19517,0.20736
2018,Urban regions,No,0.63062,12535,16615,0.62328,0.63796
2018,Rural regions,Yes,0.21923,2397,8916,0.21064,0.22781
2018,Rural regions,No,0.61685,6519,8916,0.60676,0.62694
2020,Urban regions,Yes,0.18510,4522,19047,0.17959,0.19062
2020,Urban regions,No,0.64733,14525,19047,0.64054,0.65411
2020,Rural regions,Yes,0.21089,2441,9333,0.20261,0.21917
2020,Rural regions,No,0.62024,6892,9333,0.61039,0.63008
2022,Urban regions,Yes,0.16551,3376,17698,0.16003,0.17098
2022,Urban regions,No,0.64915,14322,17698,0.64212,0.65619
2022,Rural regions,Yes,0.18296,1899,8407,0.17469,0.19122
2022,Rural regions,No,0.64606,6508,8407,0.63583,0.65628
