year,regtyp,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,1 room,0.05533,299,5807,0.04945,0.06122
1984,No answer / don't know,2 rooms,0.21145,1149,5807,0.20095,0.22195
1984,No answer / don't know,3 rooms,0.33353,2073,5807,0.32141,0.34566
1984,No answer / don't know,4 rooms,0.19502,1184,5807,0.18483,0.20521
1984,No answer / don't know,5 rooms,0.10083,598,5807,0.09309,0.10858
1984,No answer / don't know,6 rooms,0.05769,310,5807,0.05169,0.06368
1984,No answer / don't know,7 rooms,0.02293,123,5807,0.01908,0.02678
1984,No answer / don't know,8 rooms,0.01370,71,5807,0.01071,0.01668
1985,Urban regions,1 room,0.06857,242,4158,0.06088,0.07625
1985,Urban regions,2 rooms,0.23639,867,4158,0.22348,0.24931
1985,Urban regions,3 rooms,0.33639,1513,4158,0.32203,0.35076
1985,Urban regions,4 rooms,0.18091,829,4158,0.16921,0.19261
1985,Urban regions,5 rooms,0.09116,401,4158,0.08241,0.09991
1985,Urban regions,6 rooms,0.04646,190,4158,0.04006,0.05285
1985,Urban regions,7 rooms,0.02004,80,4158,0.01578,0.02430
1985,Urban regions,8 rooms,0.00968,36,4158,0.00670,0.01266
1985,Rural regions,2 rooms,0.12579,113,1011,0.10534,0.14625
1985,Rural regions,3 rooms,0.30875,321,1011,0.28026,0.33724
1985,Rural regions,4 rooms,0.24197,266,1011,0.21556,0.26838
1985,Rural regions,5 rooms,0.13769,161,1011,0.11644,0.15894
1985,Rural regions,6 rooms,0.09625,108,1011,0.07806,0.11443
1985,Rural regions,7 rooms,0.03700,42,1011,0.02536,0.04864
1986,Urban regions,1 room,0.07189,234,3987,0.06387,0.07990
1986,Urban regions,2 rooms,0.23243,803,3987,0.21932,0.24554
1986,Urban regions,3 rooms,0.33789,1453,3987,0.32321,0.35257
1986,Urban regions,4 rooms,0.17793,790,3987,0.16606,0.18980
1986,Urban regions,5 rooms,0.08916,388,3987,0.08031,0.09801
1986,Urban regions,6 rooms,0.04999,200,3987,0.04323,0.05676
1986,Urban regions,7 rooms,0.01920,75,3987,0.01494,0.02346
1986,Urban regions,8 rooms,0.01170,44,3987,0.00836,0.01504
1986,Rural regions,2 rooms,0.12439,105,983,0.10375,0.14503
1986,Rural regions,3 rooms,0.29902,293,983,0.27039,0.32766
1986,Rural regions,4 rooms,0.23980,247,983,0.21310,0.26651
1986,Rural regions,5 rooms,0.13258,150,983,0.11137,0.15379
1986,Rural regions,6 rooms,0.10194,111,983,0.08301,0.12086
1986,Rural regions,7 rooms,0.03886,45,983,0.02677,0.05095
1986,Rural regions,8 rooms,0.02884,32,983,0.01837,0.03930
1987,Urban regions,1 room,0.07151,225,3939,0.06346,0.07956
1987,Urban regions,2 rooms,0.23208,788,3939,0.21889,0.24526
1987,Urban regions,3 rooms,0.33352,1417,3939,0.31880,0.34825
1987,Urban regions,4 rooms,0.17997,784,3939,0.16797,0.19197
1987,Urban regions,5 rooms,0.09455,407,3939,0.08541,0.10369
1987,Urban regions,6 rooms,0.04887,197,3939,0.04214,0.05561
1987,Urban regions,7 rooms,0.01999,80,3939,0.01562,0.02436
1987,Urban regions,8 rooms,0.01097,41,3939,0.00772,0.01422
1987,Rural regions,2 rooms,0.12186,108,941,0.10094,0.14277
1987,Rural regions,3 rooms,0.30713,292,941,0.27764,0.33662
1987,Rural regions,4 rooms,0.23770,244,941,0.21049,0.26491
1987,Rural regions,5 rooms,0.14108,154,941,0.11883,0.16334
1987,Rural regions,6 rooms,0.09524,100,941,0.07647,0.11400
1987,Rural regions,7 rooms,0.03635,43,941,0.02438,0.04831
1988,Urban regions,1 room,0.06775,199,3786,0.05974,0.07576
1988,Urban regions,2 rooms,0.23172,752,3786,0.21828,0.24517
1988,Urban regions,3 rooms,0.33656,1372,3786,0.32151,0.35161
1988,Urban regions,4 rooms,0.17760,750,3786,0.16542,0.18978
1988,Urban regions,5 rooms,0.09267,380,3786,0.08343,0.10191
1988,Urban regions,6 rooms,0.05343,206,3786,0.04627,0.06060
1988,Urban regions,7 rooms,0.01975,80,3786,0.01532,0.02419
1988,Urban regions,8 rooms,0.01175,47,3786,0.00832,0.01518
1988,Rural regions,2 rooms,0.11386,97,888,0.09296,0.13476
1988,Rural regions,3 rooms,0.31494,282,888,0.28438,0.34551
1988,Rural regions,4 rooms,0.22474,220,888,0.19727,0.25221
1988,Rural regions,5 rooms,0.14282,146,888,0.11980,0.16585
1988,Rural regions,6 rooms,0.10568,102,888,0.08545,0.12591
1988,Rural regions,7 rooms,0.03761,41,888,0.02509,0.05013
1989,Urban regions,1 room,0.06422,187,3704,0.05632,0.07211
1989,Urban regions,2 rooms,0.23591,755,3704,0.22224,0.24959
1989,Urban regions,3 rooms,0.32943,1315,3704,0.31429,0.34456
1989,Urban regions,4 rooms,0.18173,741,3704,0.16931,0.19416
1989,Urban regions,5 rooms,0.09372,371,3704,0.08433,0.10311
1989,Urban regions,6 rooms,0.05368,208,3704,0.04642,0.06094
1989,Urban regions,7 rooms,0.02018,79,3704,0.01565,0.02471
1989,Urban regions,8 rooms,0.01199,48,3704,0.00848,0.01550
1989,Rural regions,2 rooms,0.11698,93,853,0.09540,0.13856
1989,Rural regions,3 rooms,0.29680,263,853,0.26612,0.32747
1989,Rural regions,4 rooms,0.23249,214,853,0.20412,0.26085
1989,Rural regions,5 rooms,0.15049,147,853,0.12648,0.17450
1989,Rural regions,6 rooms,0.10687,97,853,0.08612,0.12761
1989,Rural regions,7 rooms,0.03691,39,853,0.02425,0.04957
1990,Urban regions,1 room,0.06818,224,4388,0.06072,0.07564
1990,Urban regions,2 rooms,0.24050,912,4388,0.22785,0.25314
1990,Urban regions,3 rooms,0.33614,1614,4388,0.32216,0.35012
1990,Urban regions,4 rooms,0.17827,890,4388,0.16694,0.18959
1990,Urban regions,5 rooms,0.08726,393,4388,0.07891,0.09561
1990,Urban regions,6 rooms,0.05194,220,4388,0.04537,0.05851
1990,Urban regions,7 rooms,0.02029,86,4388,0.01612,0.02447
1990,Urban regions,8 rooms,0.01045,49,4388,0.00744,0.01346
1990,Rural regions,1 room,0.03736,62,2243,0.02951,0.04521
1990,Rural regions,2 rooms,0.18462,367,2243,0.16856,0.20068
1990,Rural regions,3 rooms,0.33126,826,2243,0.31178,0.35075
1990,Rural regions,4 rooms,0.19596,478,2243,0.17953,0.21239
1990,Rural regions,5 rooms,0.12880,292,2243,0.11493,0.14266
1990,Rural regions,6 rooms,0.07365,155,2243,0.06284,0.08446
1990,Rural regions,7 rooms,0.02782,63,2243,0.02102,0.03463
1991,Urban regions,1 room,0.06356,212,4335,0.05629,0.07082
1991,Urban regions,2 rooms,0.24486,904,4335,0.23206,0.25766
1991,Urban regions,3 rooms,0.33058,1573,4335,0.31657,0.34458
1991,Urban regions,4 rooms,0.17781,879,4335,0.16643,0.18919
1991,Urban regions,5 rooms,0.09064,404,4335,0.08209,0.09918
1991,Urban regions,6 rooms,0.05500,229,4335,0.04821,0.06179
1991,Urban regions,7 rooms,0.02074,85,4335,0.01650,0.02498
1991,Urban regions,8 rooms,0.01046,49,4335,0.00743,0.01349
1991,Rural regions,1 room,0.03312,48,2205,0.02565,0.04059
1991,Rural regions,2 rooms,0.19130,357,2205,0.17488,0.20772
1991,Rural regions,3 rooms,0.32437,789,2205,0.30482,0.34391
1991,Rural regions,4 rooms,0.19665,470,2205,0.18006,0.21325
1991,Rural regions,5 rooms,0.12815,290,2205,0.11419,0.14210
1991,Rural regions,6 rooms,0.07667,159,2205,0.06556,0.08778
1991,Rural regions,7 rooms,0.02806,60,2205,0.02116,0.03495
1991,Rural regions,8 rooms,0.01675,32,2205,0.01140,0.02211
1992,Urban regions,1 room,0.06238,225,4355,0.05519,0.06956
1992,Urban regions,2 rooms,0.24630,933,4355,0.23350,0.25909
1992,Urban regions,3 rooms,0.32701,1559,4355,0.31308,0.34095
1992,Urban regions,4 rooms,0.17857,866,4355,0.16719,0.18994
1992,Urban regions,5 rooms,0.09048,405,4355,0.08195,0.09900
1992,Urban regions,6 rooms,0.05760,234,4355,0.05068,0.06452
1992,Urban regions,7 rooms,0.02115,85,4355,0.01688,0.02543
1992,Urban regions,8 rooms,0.00995,48,4355,0.00701,0.01290
1992,Rural regions,1 room,0.03066,43,2143,0.02336,0.03796
1992,Rural regions,2 rooms,0.18926,335,2143,0.17268,0.20585
1992,Rural regions,3 rooms,0.32607,764,2143,0.30622,0.34593
1992,Rural regions,4 rooms,0.19779,467,2143,0.18092,0.21466
1992,Rural regions,5 rooms,0.12811,286,2143,0.11395,0.14226
1992,Rural regions,6 rooms,0.07402,153,2143,0.06293,0.08511
1992,Rural regions,7 rooms,0.02770,62,2143,0.02075,0.03465
1992,Rural regions,8 rooms,0.01771,33,2143,0.01212,0.02329
