year,pgisced97,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Pre-primary Level,Very often,0.06611,38,610,0.04638,0.08584
2003,Pre-primary Level,Often,0.10022,51,610,0.07637,0.12407
2003,Pre-primary Level,Sometimes,0.10476,69,610,0.08043,0.12908
2003,Pre-primary Level,Seldom,0.20198,128,610,0.17009,0.23387
2003,Pre-primary Level,Never,0.50727,324,610,0.46756,0.54698
2003,Primary Level,Seldom,0.12826,34,223,0.08427,0.17225
2003,Primary Level,Never,0.70391,189,223,0.64385,0.76396
2003,Lower Secondary Level,Very often,0.04366,117,2710,0.03596,0.05135
2003,Lower Secondary Level,Often,0.05996,181,2710,0.05102,0.06890
2003,Lower Secondary Level,Sometimes,0.07877,239,2710,0.06863,0.08892
2003,Lower Secondary Level,Seldom,0.14040,396,2710,0.12732,0.15348
2003,Lower Secondary Level,Never,0.66760,1777,2710,0.64986,0.68534
2003,Upper Secondary Level,Very often,0.04001,464,11035,0.03636,0.04367
2003,Upper Secondary Level,Often,0.07218,828,11035,0.06735,0.07701
2003,Upper Secondary Level,Sometimes,0.09433,1081,11035,0.08887,0.09978
2003,Upper Secondary Level,Seldom,0.16643,1895,11035,0.15948,0.17338
2003,Upper Secondary Level,Never,0.62078,6767,11035,0.61173,0.62983
2003,Post-secondary Non-tertiary Level,Very often,0.06548,70,1153,0.05119,0.07976
2003,Post-secondary Non-tertiary Level,Often,0.09146,110,1153,0.07481,0.10810
2003,Post-secondary Non-tertiary Level,Sometimes,0.13314,137,1153,0.11353,0.15276
2003,Post-secondary Non-tertiary Level,Seldom,0.17722,216,1153,0.15517,0.19927
2003,Post-secondary Non-tertiary Level,Never,0.53085,620,1153,0.50203,0.55967
2003,First Stage of Tertiary Education,Very often,0.06414,91,1678,0.05241,0.07587
2003,First Stage of Tertiary Education,Often,0.09593,173,1678,0.08183,0.11002
2003,First Stage of Tertiary Education,Sometimes,0.11271,193,1678,0.09757,0.12784
2003,First Stage of Tertiary Education,Seldom,0.17821,324,1678,0.15990,0.19653
2003,First Stage of Tertiary Education,Never,0.54034,897,1678,0.51649,0.56419
2003,Second Stage of Tertiary Education,Very often,0.05044,235,4328,0.04392,0.05696
2003,Second Stage of Tertiary Education,Often,0.08789,411,4328,0.07946,0.09633
