year,age_gr,regtyp,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,Urban regions,Very often,0.05815,160,2599,0.04915,0.06715
2003,17-29 y.,Urban regions,Often,0.08471,211,2599,0.07400,0.09541
2003,17-29 y.,Urban regions,Sometimes,0.10187,263,2599,0.09024,0.11350
2003,17-29 y.,Urban regions,Seldom,0.18704,496,2599,0.17204,0.20203
2003,17-29 y.,Urban regions,Never,0.56006,1469,2599,0.54097,0.57915
2003,17-29 y.,Rural regions,Very often,0.04636,62,1383,0.03528,0.05745
2003,17-29 y.,Rural regions,Often,0.09587,134,1383,0.08034,0.11139
2003,17-29 y.,Rural regions,Sometimes,0.13750,182,1383,0.11934,0.15565
2003,17-29 y.,Rural regions,Seldom,0.19894,288,1383,0.17789,0.21999
2003,17-29 y.,Rural regions,Never,0.51287,717,1383,0.48652,0.53922
2003,30-45 y.,Urban regions,Very often,0.04996,237,4647,0.04370,0.05623
2003,30-45 y.,Urban regions,Often,0.09578,425,4647,0.08731,0.10424
2003,30-45 y.,Urban regions,Sometimes,0.10703,497,4647,0.09814,0.11592
2003,30-45 y.,Urban regions,Seldom,0.19147,884,4647,0.18016,0.20279
2003,30-45 y.,Urban regions,Never,0.54918,2604,4647,0.53488,0.56349
2003,30-45 y.,Rural regions,Very often,0.07027,152,2254,0.05971,0.08082
2003,30-45 y.,Rural regions,Often,0.10719,251,2254,0.09441,0.11996
2003,30-45 y.,Rural regions,Sometimes,0.14277,329,2254,0.12832,0.15721
2003,30-45 y.,Rural regions,Seldom,0.20715,481,2254,0.19041,0.22388
2003,30-45 y.,Rural regions,Never,0.46667,1041,2254,0.44607,0.48727
2003,46-65 y.,Urban regions,Very often,0.03585,195,5018,0.03071,0.04100
2003,46-65 y.,Urban regions,Often,0.06030,354,5018,0.05371,0.06689
2003,46-65 y.,Urban regions,Sometimes,0.09320,486,5018,0.08515,0.10124
2003,46-65 y.,Urban regions,Seldom,0.15368,815,5018,0.14370,0.16366
2003,46-65 y.,Urban regions,Never,0.65189,3168,5018,0.63870,0.66507
2003,46-65 y.,Rural regions,Very often,0.04296,107,2507,0.03503,0.05090
2003,46-65 y.,Rural regions,Often,0.08767,222,2507,0.07660,0.09874
2003,46-65 y.,Rural regions,Sometimes,0.09535,269,2507,0.08385,0.10684
2003,46-65 y.,Rural regions,Seldom,0.19382,518,2507,0.17834,0.20929
2003,46-65 y.,Rural regions,Never,0.57178,1391,2507,0.55240,0.59115
2003,66 and older,Urban regions,Very often,0.03640,81,2366,0.02885,0.04395
2003,66 and older,Urban regions,Often,0.03895,115,2366,0.03116,0.04675
2003,66 and older,Urban regions,Sometimes,0.06169,143,2366,0.05199,0.07138
2003,66 and older,Urban regions,Seldom,0.10619,243,2366,0.09377,0.11860
2003,66 and older,Urban regions,Never,0.74343,1784,2366,0.72583,0.76104
2003,66 and older,Rural regions,Very often,0.04027,46,1242,0.02933,0.05120
2003,66 and older,Rural regions,Often,0.05677,71,1242,0.04390,0.06965
2003,66 and older,Rural regions,Sometimes,0.09835,124,1242,0.08178,0.11491
2003,66 and older,Rural regions,Seldom,0.14776,195,1242,0.12802,0.16751
