"year","quintil","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1995","1 Einkommensschwächstes Quintil","Ostdeutschland","0.78","0","2335","0.74","0.82"
"1995","1 Einkommensschwächstes Quintil","Westdeutschland","0.93","0","4770","0.9","0.96"
"1995","2","Ostdeutschland","0.49","0","1530","0.45","0.53"
"1995","2","Westdeutschland","0.63","0","3420","0.6","0.66"
"1995","3","Ostdeutschland","0.31","0","695","0.26","0.36"
"1995","3","Westdeutschland","0.57","0","2322","0.53","0.61"
"1995","4","Ostdeutschland","0.24","0","250","0.17","0.31"
"1995","4","Westdeutschland","0.37","0","1545","0.33","0.41"
"1995","5 Einkommensstärkstes Quintil","Ostdeutschland","0.25","0","51","0.07","0.43"
"1995","5 Einkommensstärkstes Quintil","Westdeutschland","0.26","0","794","0.22","0.3"
"1996","1 Einkommensschwächstes Quintil","Ostdeutschland","0.76","0","2040","0.72","0.8"
"1996","1 Einkommensschwächstes Quintil","Westdeutschland","0.82","0","4334","0.78","0.86"
"1996","2","Ostdeutschland","0.5","0","1598","0.46","0.54"
"1996","2","Westdeutschland","0.77","0","3338","0.73","0.81"
"1996","3","Ostdeutschland","0.39","0","793","0.34","0.44"
"1996","3","Westdeutschland","0.54","0","2363","0.5","0.58"
"1996","4","Ostdeutschland","0.24","0","289","0.18","0.3"
"1996","4","Westdeutschland","0.45","0","1612","0.41","0.49"
"1996","5 Einkommensstärkstes Quintil","Ostdeutschland","0.33","0","77","0.16","0.5"
"1996","5 Einkommensstärkstes Quintil","Westdeutschland","0.31","0","895","0.26","0.36"
"1997","1 Einkommensschwächstes Quintil","Ostdeutschland","0.77","0","1956","0.73","0.81"
"1997","1 Einkommensschwächstes Quintil","Westdeutschland","0.82","0","4031","0.78","0.86"
"1997","2","Ostdeutschland","0.45","0","1518","0.41","0.49"
"1997","2","Westdeutschland","0.79","0","3309","0.75","0.83"
"1997","3","Ostdeutschland","0.35","0","823","0.31","0.39"
"1997","3","Westdeutschland","0.56","0","2468","0.53","0.59"
"1997","4","Ostdeutschland","0.24","0","307","0.17","0.31"
"1997","4","Westdeutschland","0.39","0","1628","0.35","0.43"
"1997","5 Einkommensstärkstes Quintil","Ostdeutschland","0.24","0","79","0.15","0.33"
"1997","5 Einkommensstärkstes Quintil","Westdeutschland","0.31","0","888","0.26","0.36"
"1998","1 Einkommensschwächstes Quintil","Ostdeutschland","0.73","0","2103","0.69","0.77"
"1998","1 Einkommensschwächstes Quintil","Westdeutschland","0.84","0","4336","0.81","0.87"
"1998","2","Ostdeutschland","0.46","0","1418","0.42","0.5"
"1998","2","Westdeutschland","0.74","0","3756","0.71","0.77"
"1998","3","Ostdeutschland","0.35","0","903","0.31","0.39"
"1998","3","Westdeutschland","0.56","0","2694","0.53","0.59"
"1998","4","Ostdeutschland","0.25","0","391","0.2","0.3"
"1998","4","Westdeutschland","0.48","0","1992","0.44","0.52"
"1998","5 Einkommensstärkstes Quintil","Ostdeutschland","0.4","0","119","0.27","0.53"
"1998","5 Einkommensstärkstes Quintil","Westdeutschland","0.28","0","1044","0.24","0.32"
"1999","1 Einkommensschwächstes Quintil","Ostdeutschland","0.67","0","1675","0.63","0.71"
"1999","1 Einkommensschwächstes Quintil","Westdeutschland","0.82","0","3583","0.78","0.86"
"1999","2","Ostdeutschland","0.46","0","1624","0.42","0.5"
"1999","2","Westdeutschland","0.79","0","3679","0.76","0.82"
"1999","3","Ostdeutschland","0.36","0","954","0.32","0.4"
"1999","3","Westdeutschland","0.67","0","2709","0.63","0.71"
"1999","4","Ostdeutschland","0.22","0","406","0.18","0.26"
