,Unnamed: 0,year,bula_h,hhtyp,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Hamburg,Couple with children,3 rooms,1.0,34,3991,0.781,1.18568
1,1,1984,Lower Saxony,Single-person household,2 rooms,0.60116,52,3991,0.54103,0.66306
2,2,1984,Lower Saxony,Single-person household,3 rooms,0.39884,37,3991,0.34263,0.4544
3,3,1984,Lower Saxony,Couple without children,3 rooms,0.64312,62,3991,0.59005,0.68867
4,4,1984,Lower Saxony,Couple without children,4 rooms,0.35688,31,3991,0.32933,0.37753
5,5,1984,Lower Saxony,Couple with children,3 rooms,0.30232,69,3991,0.26218,0.34538
6,6,1984,Lower Saxony,Couple with children,4 rooms,0.41932,76,3991,0.38505,0.44905
7,7,1984,Lower Saxony,Couple with children,5 rooms,0.27835,44,3991,0.26488,0.28895
8,8,1984,North Rhine-Westphalia,Single-person household,1 room,0.18486,79,3991,0.16683,0.20108
9,9,1984,North Rhine-Westphalia,Single-person household,2 rooms,0.51301,171,3991,0.48459,0.53438
10,10,1984,North Rhine-Westphalia,Single-person household,3 rooms,0.30213,86,3991,0.28546,0.31705
11,11,1984,North Rhine-Westphalia,Couple without children,2 rooms,0.31226,112,3991,0.28933,0.33624
12,12,1984,North Rhine-Westphalia,Couple without children,3 rooms,0.49159,152,3991,0.46203,0.52091
13,13,1984,North Rhine-Westphalia,Couple without children,4 rooms,0.19615,59,3991,0.18401,0.20714
14,14,1984,North Rhine-Westphalia,Single parent,3 rooms,1.0,44,3991,0.90409,1.07833
15,15,1984,North Rhine-Westphalia,Couple with children,2 rooms,0.04157,51,3991,0.03223,0.05439
16,16,1984,North Rhine-Westphalia,Couple with children,3 rooms,0.34601,275,3991,0.31572,0.37266
17,17,1984,North Rhine-Westphalia,Couple with children,4 rooms,0.31952,196,3991,0.29512,0.34236
18,18,1984,North Rhine-Westphalia,Couple with children,5 rooms,0.1834,101,3991,0.16772,0.19774
19,19,1984,North Rhine-Westphalia,Couple with children,6 rooms,0.1095,53,3991,0.1009,0.11735
20,20,1984,Hesse,Single-person household,2 rooms,0.5244,47,3991,0.45198,0.5961
21,21,1984,Hesse,Single-person household,3 rooms,0.4756,35,3991,0.42367,0.52614
22,22,1984,Hesse,Couple without children,2 rooms,0.32298,36,3991,0.25222,0.38288
23,23,1984,Hesse,Couple without children,3 rooms,0.67702,58,3991,0.62139,0.7299
24,24,1984,Hesse,Couple with children,3 rooms,0.35284,97,3991,0.28201,0.40771
25,25,1984,Hesse,Couple with children,4 rooms,0.43311,74,3991,0.38259,0.48024
26,26,1984,Hesse,Couple with children,5 rooms,0.21404,33,3991,0.18331,0.24618
27,27,1984,"Rhineland-Palatinate, Saarland",Single-person household,2 rooms,1.0,32,3991,0.91648,1.0682
28,28,1984,"Rhineland-Palatinate, Saarland",Couple with children,3 rooms,0.5337,45,3991,0.45241,0.62197
29,29,1984,"Rhineland-Palatinate, Saarland",Couple with children,4 rooms,0.4663,31,3991,0.41426,0.51158
30,30,1984,Baden-Wuerttemberg,Single-person household,1 room,0.14553,39,3991,0.11451,0.17047
31,31,1984,Baden-Wuerttemberg,Single-person household,2 rooms,0.41069,75,3991,0.37716,0.44306
32,32,1984,Baden-Wuerttemberg,Single-person household,3 rooms,0.44378,75,3991,0.41449,0.47152
33,33,1984,Baden-Wuerttemberg,Couple without children,2 rooms,0.20262,48,3991,0.1569,0.24954
34,34,1984,Baden-Wuerttemberg,Couple without children,3 rooms,0.50898,83,3991,0.46469,0.55873
35,35,1984,Baden-Wuerttemberg,Couple without children,4 rooms,0.28839,39,3991,0.26711,0.3096
36,36,1984,Baden-Wuerttemberg,Couple with children,2 rooms,0.03548,42,3991,0.02315,0.04767
37,37,1984,Baden-Wuerttemberg,Couple with children,3 rooms,0.28208,205,3991,0.24255,0.31401
38,38,1984,Baden-Wuerttemberg,Couple with children,4 rooms,0.30292,136,3991,0.27015,0.33376
39,39,1984,Baden-Wuerttemberg,Couple with children,5 rooms,0.23753,91,3991,0.21412,0.25716
40,40,1984,Baden-Wuerttemberg,Couple with children,6 rooms,0.14199,44,3991,0.13393,0.14807
41,41,1984,Bavaria,Single-person household,1 room,0.20212,40,3991,0.18638,0.22372
42,42,1984,Bavaria,Single-person household,2 rooms,0.37793,62,3991,0.34899,0.40553
43,43,1984,Bavaria,Single-person household,3 rooms,0.41995,66,3991,0.38875,0.4468
44,44,1984,Bavaria,Couple without children,2 rooms,0.24176,58,3991,0.21306,0.27053
45,45,1984,Bavaria,Couple without children,3 rooms,0.45811,88,3991,0.43296,0.47851
46,46,1984,Bavaria,Couple without children,4 rooms,0.30013,59,3991,0.27355,0.32349
47,47,1984,Bavaria,Couple with children,2 rooms,0.03769,32,3991,0.02676,0.05087
48,48,1984,Bavaria,Couple with children,3 rooms,0.33538,150,3991,0.30354,0.36905
49,49,1984,Bavaria,Couple with children,4 rooms,0.36755,135,3991,0.33762,0.39219
50,50,1984,Bavaria,Couple with children,5 rooms,0.25938,84,3991,0.24428,0.27462
51,51,1984,Berlin,Single-person household,2 rooms,1.0,35,3991,0.94485,1.04711
52,52,1984,Berlin,Couple with children,3 rooms,1.0,33,3991,0.84526,1.13456
53,53,1985,Lower Saxony,Single-person household,2 rooms,0.60611,47,3349,0.54328,0.66353
54,54,1985,Lower Saxony,Single-person household,3 rooms,0.39389,31,3349,0.34608,0.43766
55,55,1985,Lower Saxony,Couple without children,3 rooms,1.0,57,3349,0.91443,1.08301
56,56,1985,Lower Saxony,Couple with children,3 rooms,0.32049,63,3349,0.27354,0.35822
57,57,1985,Lower Saxony,Couple with children,4 rooms,0.4023,64,3349,0.36702,0.43544
58,58,1985,Lower Saxony,Couple with children,5 rooms,0.27721,40,3349,0.25893,0.28946
59,59,1985,North Rhine-Westphalia,Single-person household,1 room,0.1789,66,3349,0.1583,0.2004
60,60,1985,North Rhine-Westphalia,Single-person household,2 rooms,0.51904,149,3349,0.48787,0.54852
61,61,1985,North Rhine-Westphalia,Single-person household,3 rooms,0.30206,77,3349,0.278,0.32105
62,62,1985,North Rhine-Westphalia,Couple without children,2 rooms,0.28984,89,3349,0.25819,0.3175
63,63,1985,North Rhine-Westphalia,Couple without children,3 rooms,0.49285,136,3349,0.45978,0.51577
64,64,1985,North Rhine-Westphalia,Couple without children,4 rooms,0.21731,61,3349,0.19871,0.23191
65,65,1985,North Rhine-Westphalia,Single parent,3 rooms,1.0,37,3349,0.87662,1.11994
66,66,1985,North Rhine-Westphalia,Couple with children,2 rooms,0.05786,48,3349,0.04614,0.07047
67,67,1985,North Rhine-Westphalia,Couple with children,3 rooms,0.32283,229,3349,0.29623,0.34712
68,68,1985,North Rhine-Westphalia,Couple with children,4 rooms,0.32279,183,3349,0.29712,0.34263
69,69,1985,North Rhine-Westphalia,Couple with children,5 rooms,0.18594,99,3349,0.1721,0.2023
70,70,1985,North Rhine-Westphalia,Couple with children,6 rooms,0.11058,50,3349,0.0998,0.11753
71,71,1985,Hesse,Single-person household,2 rooms,1.0,37,3349,0.87776,1.11474
