year,hhtyp,regtyp,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,No answer / don't know,1 room,0.15743,256,1240,0.13715,0.17771
1984,Single-person household,No answer / don't know,2 rooms,0.41417,525,1240,0.38674,0.44160
1984,Single-person household,No answer / don't know,3 rooms,0.31328,373,1240,0.28745,0.33911
1984,Single-person household,No answer / don't know,4 rooms,0.07583,86,1240,0.06109,0.09057
1984,Couple without children,No answer / don't know,2 rooms,0.22371,352,1305,0.20109,0.24633
1984,Couple without children,No answer / don't know,3 rooms,0.40644,537,1305,0.37978,0.43309
1984,Couple without children,No answer / don't know,4 rooms,0.21601,269,1305,0.19368,0.23835
1984,Couple without children,No answer / don't know,5 rooms,0.08237,100,1305,0.06745,0.09729
1984,Couple without children,No answer / don't know,6 rooms,0.04058,47,1305,0.02987,0.05129
1984,Single parent,No answer / don't know,2 rooms,0.13281,57,295,0.09401,0.17160
1984,Single parent,No answer / don't know,3 rooms,0.43219,142,295,0.37556,0.48881
1984,Single parent,No answer / don't know,4 rooms,0.21063,61,295,0.16402,0.25724
1984,Single parent,No answer / don't know,5 rooms,0.11131,35,295,0.07536,0.14726
1984,Couple with children,No answer / don't know,2 rooms,0.03580,195,2586,0.02864,0.04297
1984,Couple with children,No answer / don't know,3 rooms,0.28756,940,2586,0.27011,0.30501
1984,Couple with children,No answer / don't know,4 rooms,0.29431,714,2586,0.27674,0.31188
1984,Couple with children,No answer / don't know,5 rooms,0.18458,399,2586,0.16962,0.19953
1984,Couple with children,No answer / don't know,6 rooms,0.10487,204,2586,0.09306,0.11668
1984,Couple with children,No answer / don't know,7 rooms,0.04446,84,2586,0.03651,0.05240
1984,Couple with children,No answer / don't know,8 rooms,0.02722,50,2586,0.02095,0.03349
1984,Other Combinations,No answer / don't know,3 rooms,0.38430,52,52,0.25079,0.51780
1985,Single-person household,Urban regions,1 room,0.18234,211,931,0.15752,0.20715
1985,Single-person household,Urban regions,2 rooms,0.42962,401,931,0.39781,0.46144
1985,Single-person household,Urban regions,3 rooms,0.29308,264,931,0.26383,0.32234
1985,Single-person household,Urban regions,4 rooms,0.06227,55,931,0.04674,0.07780
1985,Single-person household,Rural regions,2 rooms,0.27849,54,121,0.19829,0.35869
1985,Single-person household,Rural regions,3 rooms,0.41109,67,121,0.32305,0.49912
1985,Couple without children,Urban regions,2 rooms,0.23223,258,910,0.20478,0.25968
1985,Couple without children,Urban regions,3 rooms,0.43388,404,910,0.40166,0.46610
1985,Couple without children,Urban regions,4 rooms,0.19919,180,910,0.17323,0.22516
1985,Couple without children,Urban regions,5 rooms,0.08083,68,910,0.06311,0.09855
1985,Couple without children,Rural regions,2 rooms,0.14921,40,201,0.09983,0.19859
1985,Couple without children,Rural regions,3 rooms,0.32009,86,201,0.25543,0.38474
1985,Couple without children,Rural regions,4 rooms,0.29682,75,201,0.23350,0.36014
1985,Single parent,Urban regions,2 rooms,0.13034,39,184,0.08156,0.17912
1985,Single parent,Urban regions,3 rooms,0.40543,99,184,0.33430,0.47657
1985,Single parent,Urban regions,4 rooms,0.21118,46,184,0.15204,0.27031
1985,Couple with children,Urban regions,2 rooms,0.04323,148,1804,0.03384,0.05261
1985,Couple with children,Urban regions,3 rooms,0.30088,688,1804,0.27971,0.32205
1985,Couple with children,Urban regions,4 rooms,0.29657,510,1804,0.27549,0.31765
1985,Couple with children,Urban regions,5 rooms,0.17315,269,1804,0.15569,0.19062
1985,Couple with children,Urban regions,6 rooms,0.09397,129,1804,0.08050,0.10744
1985,Couple with children,Urban regions,7 rooms,0.04535,60,1804,0.03575,0.05496
1985,Couple with children,Rural regions,3 rooms,0.21763,130,442,0.17911,0.25614
1985,Couple with children,Rural regions,4 rooms,0.28384,141,442,0.24176,0.32592
1985,Couple with children,Rural regions,5 rooms,0.22325,102,442,0.18438,0.26212
1985,Couple with children,Rural regions,6 rooms,0.15294,69,442,0.11935,0.18653
1985,Other Combinations,Urban regions,3 rooms,0.36263,39,39,0.20977,0.51549
1986,Single-person household,Urban regions,1 room,0.18983,209,876,0.16384,0.21581
1986,Single-person household,Urban regions,2 rooms,0.41917,365,876,0.38648,0.45187
1986,Single-person household,Urban regions,3 rooms,0.28381,240,876,0.25394,0.31368
