year,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1 room,0.05533,299,5807,0.04945,0.06122
1984,2 rooms,0.21145,1149,5807,0.20095,0.22195
1984,3 rooms,0.33353,2073,5807,0.32141,0.34566
1984,4 rooms,0.19502,1184,5807,0.18483,0.20521
1984,5 rooms,0.10083,598,5807,0.09309,0.10858
1984,6 rooms,0.05769,310,5807,0.05169,0.06368
1984,7 rooms,0.02293,123,5807,0.01908,0.02678
1984,8 rooms,0.01370,71,5807,0.01071,0.01668
1985,1 room,0.05761,261,5215,0.05129,0.06394
1985,2 rooms,0.21120,980,5215,0.20012,0.22228
1985,3 rooms,0.33010,1834,5215,0.31733,0.34286
1985,4 rooms,0.19482,1095,5215,0.18407,0.20557
1985,5 rooms,0.10175,562,5215,0.09355,0.10996
1985,6 rooms,0.05780,298,5215,0.05146,0.06413
1985,7 rooms,0.02390,122,5215,0.01976,0.02805
1985,8 rooms,0.01277,63,5215,0.00972,0.01582
1986,1 room,0.06147,254,4990,0.05480,0.06813
1986,2 rooms,0.20822,908,4990,0.19696,0.21949
1986,3 rooms,0.32918,1746,4990,0.31614,0.34222
1986,4 rooms,0.19179,1037,4990,0.18087,0.20272
1986,5 rooms,0.09889,538,4990,0.09061,0.10717
1986,6 rooms,0.06163,311,4990,0.05496,0.06830
1986,7 rooms,0.02361,120,4990,0.01939,0.02782
1986,8 rooms,0.01554,76,4990,0.01211,0.01897
1987,1 room,0.06093,244,4929,0.05425,0.06761
1987,2 rooms,0.20763,896,4929,0.19631,0.21896
1987,3 rooms,0.32767,1709,4929,0.31456,0.34077
1987,4 rooms,0.19277,1028,4929,0.18176,0.20378
1987,5 rooms,0.10487,561,4929,0.09632,0.11343
1987,6 rooms,0.05915,297,4929,0.05257,0.06574
1987,7 rooms,0.02362,123,4929,0.01938,0.02786
1987,8 rooms,0.01422,71,4929,0.01091,0.01752
1988,1 room,0.05942,223,4721,0.05268,0.06617
1988,2 rooms,0.20603,849,4721,0.19449,0.21756
1988,3 rooms,0.33185,1654,4721,0.31841,0.34528
1988,4 rooms,0.18788,970,4721,0.17673,0.19902
1988,5 rooms,0.10360,526,4721,0.09491,0.11230
1988,6 rooms,0.06482,308,4721,0.05780,0.07185
1988,7 rooms,0.02365,121,4721,0.01931,0.02798
1988,8 rooms,0.01360,70,4721,0.01029,0.01690
1989,1 room,0.05572,206,4600,0.04909,0.06235
1989,2 rooms,0.21055,848,4600,0.19876,0.22233
1989,3 rooms,0.32247,1578,4600,0.30896,0.33598
1989,4 rooms,0.19256,955,4600,0.18116,0.20396
1989,5 rooms,0.10583,518,4600,0.09694,0.11472
1989,6 rooms,0.06502,305,4600,0.05790,0.07215
1989,7 rooms,0.02375,118,4600,0.01935,0.02815
1989,8 rooms,0.01441,72,4600,0.01097,0.01786
1990,1 room,0.05892,286,6703,0.05328,0.06456
1990,2 rooms,0.22456,1290,6703,0.21457,0.23455
1990,3 rooms,0.33510,2461,6703,0.32380,0.34640
1990,4 rooms,0.18347,1380,6703,0.17421,0.19274
1990,5 rooms,0.09914,686,6703,0.09199,0.10630
1990,6 rooms,0.05811,375,6703,0.05251,0.06371
1990,7 rooms,0.02243,149,6703,0.01888,0.02597
1990,8 rooms,0.01130,76,6703,0.00877,0.01383
1991,1 room,0.05424,260,6586,0.04877,0.05971
1991,2 rooms,0.22946,1272,6586,0.21931,0.23962
1991,3 rooms,0.32892,2381,6586,0.31757,0.34027
1991,4 rooms,0.18360,1363,6586,0.17425,0.19295
1991,5 rooms,0.10147,695,6586,0.09418,0.10876
1991,6 rooms,0.06123,388,6586,0.05544,0.06702
1991,7 rooms,0.02288,146,6586,0.01927,0.02649
1991,8 rooms,0.01229,81,6586,0.00963,0.01495
1992,1 room,0.05283,269,6557,0.04741,0.05824
1992,2 rooms,0.23012,1281,6557,0.21993,0.24031
1992,3 rooms,0.32758,2350,6557,0.31622,0.33894
1992,4 rooms,0.18405,1348,6557,0.17467,0.19343
1992,5 rooms,0.10106,693,6557,0.09377,0.10836
1992,6 rooms,0.06206,387,6557,0.05622,0.06790
1992,7 rooms,0.02299,148,6557,0.01936,0.02662
1992,8 rooms,0.01216,81,6557,0.00951,0.01481
1993,1 room,0.05450,274,6529,0.04899,0.06000
1993,2 rooms,0.21829,1256,6529,0.20827,0.22831
1993,3 rooms,0.33378,2357,6529,0.32234,0.34522
1993,4 rooms,0.18645,1331,6529,0.17700,0.19589
1993,5 rooms,0.10370,705,6529,0.09630,0.11109
1993,6 rooms,0.05919,365,6529,0.05346,0.06491
1993,7 rooms,0.02633,159,6529,0.02245,0.03022
1993,8 rooms,0.01138,82,6529,0.00881,0.01396
1994,1 room,0.05230,265,6451,0.04687,0.05774
1994,2 rooms,0.22407,1263,6451,0.21389,0.23424
1994,3 rooms,0.32369,2274,6451,0.31228,0.33511
1994,4 rooms,0.18672,1328,6451,0.17721,0.19623
1994,5 rooms,0.10477,698,6451,0.09729,0.11224
1994,6 rooms,0.06114,377,6451,0.05530,0.06699
1994,7 rooms,0.02737,162,6451,0.02339,0.03135
1994,8 rooms,0.01237,84,6451,0.00967,0.01506
1995,1 room,0.05632,286,6649,0.05078,0.06187
1995,2 rooms,0.22526,1312,6649,0.21522,0.23530
