,Unnamed: 0,year,regtyp,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Urban regions,1 room,0.06957,242,5169,0.06478,0.07409
1,1,1985,Urban regions,2 rooms,0.23857,864,5169,0.22902,0.24843
2,2,1985,Urban regions,3 rooms,0.34099,1512,5169,0.32844,0.35174
3,3,1985,Urban regions,4 rooms,0.18241,825,5169,0.17524,0.18869
4,4,1985,Urban regions,5 rooms,0.09118,397,5169,0.08714,0.09482
5,5,1985,Urban regions,6 rooms,0.04713,190,5169,0.04496,0.0493
6,6,1985,Urban regions,7 rooms,0.02033,80,5169,0.01893,0.02152
7,7,1985,Urban regions,8 rooms,0.00982,36,5169,0.00907,0.01073
8,8,1985,Rural regions,2 rooms,0.13543,116,5169,0.12378,0.14574
9,9,1985,Rural regions,3 rooms,0.32246,322,5169,0.3024,0.34411
10,10,1985,Rural regions,4 rooms,0.25558,270,5169,0.24431,0.26878
11,11,1985,Rural regions,5 rooms,0.14795,165,5169,0.14004,0.15603
12,12,1985,Rural regions,6 rooms,0.10008,108,5169,0.09383,0.10628
13,13,1985,Rural regions,7 rooms,0.03849,42,5169,0.03455,0.0416
14,14,1986,Urban regions,1 room,0.07293,234,4970,0.06802,0.07818
15,15,1986,Urban regions,2 rooms,0.23431,800,4970,0.22412,0.2447
16,16,1986,Urban regions,3 rooms,0.34192,1451,4970,0.3325,0.35316
17,17,1986,Urban regions,4 rooms,0.17947,787,4970,0.17316,0.1861
18,18,1986,Urban regions,5 rooms,0.08934,385,4970,0.08535,0.0936
19,19,1986,Urban regions,6 rooms,0.0507,200,4970,0.04814,0.05285
20,20,1986,Urban regions,7 rooms,0.01947,75,4970,0.01815,0.02104
21,21,1986,Urban regions,8 rooms,0.01187,44,4970,0.01072,0.01306
22,22,1986,Rural regions,2 rooms,0.13189,108,4970,0.11913,0.14542
23,23,1986,Rural regions,3 rooms,0.30769,295,4970,0.2875,0.32617
24,24,1986,Rural regions,4 rooms,0.24808,250,4970,0.23416,0.26081
25,25,1986,Rural regions,5 rooms,0.13925,153,4970,0.1308,0.14924
26,26,1986,Rural regions,6 rooms,0.10398,111,4970,0.0981,0.11036
27,27,1986,Rural regions,7 rooms,0.03965,45,4970,0.03621,0.04342
28,28,1986,Rural regions,8 rooms,0.02946,32,4970,0.02555,0.03367
29,29,1987,Urban regions,1 room,0.07241,225,4880,0.06719,0.07782
30,30,1987,Urban regions,2 rooms,0.2341,786,4880,0.22421,0.24487
31,31,1987,Urban regions,3 rooms,0.3367,1415,4880,0.3243,0.3499
32,32,1987,Urban regions,4 rooms,0.18143,782,4880,0.17546,0.18811
33,33,1987,Urban regions,5 rooms,0.09457,404,4880,0.09051,0.09836
34,34,1987,Urban regions,6 rooms,0.04946,197,4880,0.04711,0.05185
35,35,1987,Urban regions,7 rooms,0.02023,80,4880,0.01857,0.02186
36,36,1987,Urban regions,8 rooms,0.0111,41,4880,0.01022,0.01213
37,37,1987,Rural regions,2 rooms,0.13094,110,4880,0.11745,0.1454
38,38,1987,Rural regions,3 rooms,0.32579,294,4880,0.30387,0.34576
39,39,1987,Rural regions,4 rooms,0.25252,246,4880,0.23732,0.26773
40,40,1987,Rural regions,5 rooms,0.15244,157,4880,0.14179,0.16085
41,41,1987,Rural regions,6 rooms,0.1001,100,4880,0.09488,0.10615
42,42,1987,Rural regions,7 rooms,0.03821,43,4880,0.03389,0.04315
43,43,1988,Urban regions,1 room,0.06857,199,4674,0.06387,0.07403
44,44,1988,Urban regions,2 rooms,0.23398,751,4674,0.22345,0.24461
