year,hhtyp,quintil_oecd_hh,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,1st Quintile,Yes,0.55492,453,821,0.52090,0.58893
2001,Single-person household,1st Quintile,No,0.44508,368,821,0.41107,0.47910
2001,Single-person household,2nd Quintile,Yes,0.80273,471,595,0.77073,0.83474
2001,Single-person household,2nd Quintile,No,0.19727,124,595,0.16526,0.22927
2001,Single-person household,3rd Quintile,Yes,0.80724,425,539,0.77391,0.84058
2001,Single-person household,3rd Quintile,No,0.19276,114,539,0.15942,0.22609
2001,Single-person household,4th Quintile,Yes,0.81777,396,492,0.78362,0.85192
2001,Single-person household,4th Quintile,No,0.18223,96,492,0.14808,0.21638
2001,Single-person household,5th Quintile,Yes,0.93259,413,446,0.90930,0.95589
2001,Single-person household,5th Quintile,No,0.06741,33,446,0.04411,0.09070
2001,Couple without children,1st Quintile,Yes,0.68398,257,404,0.63859,0.72938
2001,Couple without children,1st Quintile,No,0.31602,147,404,0.27062,0.36141
2001,Couple without children,2nd Quintile,Yes,0.82561,515,621,0.79575,0.85548
2001,Couple without children,2nd Quintile,No,0.17439,106,621,0.14452,0.20425
2001,Couple without children,3rd Quintile,Yes,0.87336,637,727,0.84917,0.89755
2001,Couple without children,3rd Quintile,No,0.12664,90,727,0.10245,0.15083
2001,Couple without children,4th Quintile,Yes,0.91104,757,833,0.89170,0.93039
2001,Couple without children,4th Quintile,No,0.08896,76,833,0.06961,0.10830
2001,Couple without children,5th Quintile,Yes,0.93028,912,977,0.91431,0.94626
2001,Couple without children,5th Quintile,No,0.06972,65,977,0.05374,0.08569
2001,Single parent,1st Quintile,Yes,0.28185,89,295,0.23042,0.33328
2001,Single parent,1st Quintile,No,0.71815,206,295,0.66672,0.76958
2001,Single parent,2nd Quintile,Yes,0.54515,98,173,0.47073,0.61957
2001,Single parent,2nd Quintile,No,0.45485,75,173,0.38043,0.52927
2001,Single parent,3rd Quintile,Yes,0.82091,90,90,0.74125,0.90057
2001,Single parent,4th Quintile,Yes,0.82422,61,61,0.72791,0.92053
2001,Single parent,5th Quintile,Yes,0.91181,45,45,0.82802,0.99560
2001,Couple with children,1st Quintile,Yes,0.41848,274,632,0.37999,0.45697
2001,Couple with children,1st Quintile,No,0.58152,358,632,0.54303,0.62001
2001,Couple with children,2nd Quintile,Yes,0.68390,693,986,0.65486,0.71294
2001,Couple with children,2nd Quintile,No,0.31610,293,986,0.28706,0.34514
2001,Couple with children,3rd Quintile,Yes,0.80332,793,988,0.77852,0.82812
2001,Couple with children,3rd Quintile,No,0.19668,195,988,0.17188,0.22148
2001,Couple with children,4th Quintile,Yes,0.85143,752,887,0.82801,0.87485
2001,Couple with children,4th Quintile,No,0.14857,135,887,0.12515,0.17199
2001,Couple with children,5th Quintile,Yes,0.91751,587,642,0.89622,0.93881
2001,Couple with children,5th Quintile,No,0.08249,55,642,0.06119,0.10378
2001,Multi-generational household,2nd Quintile,Yes,0.81992,32,32,0.68465,0.95519
2001,Multi-generational household,4th Quintile,Yes,0.91640,32,32,0.81897,1.01384
2003,Single-person household,1st Quintile,Yes,0.48691,377,787,0.45197,0.52185
2003,Single-person household,1st Quintile,No,0.51309,410,787,0.47815,0.54803
2003,Single-person household,2nd Quintile,Yes,0.73488,400,549,0.69792,0.77183
2003,Single-person household,2nd Quintile,No,0.26512,149,549,0.22817,0.30208
2003,Single-person household,3rd Quintile,Yes,0.76034,410,548,0.72457,0.79612
2003,Single-person household,3rd Quintile,No,0.23966,138,548,0.20388,0.27543
2003,Single-person household,4th Quintile,Yes,0.78020,378,490,0.74349,0.81690
2003,Single-person household,4th Quintile,No,0.21980,112,490,0.18310,0.25651
2003,Single-person household,5th Quintile,Yes,0.85729,441,511,0.82693,0.88764
2003,Single-person household,5th Quintile,No,0.14271,70,511,0.11236,0.17307
2003,Couple without children,1st Quintile,Yes,0.57578,237,423,0.52862,0.62293
2003,Couple without children,1st Quintile,No,0.42422,186,423,0.37707,0.47138
2003,Couple without children,2nd Quintile,Yes,0.79749,500,623,0.76591,0.82907
2003,Couple without children,2nd Quintile,No,0.20251,123,623,0.17093,0.23409
2003,Couple without children,3rd Quintile,Yes,0.83325,532,643,0.80442,0.86209
2003,Couple without children,3rd Quintile,No,0.16675,111,643,0.13791,0.19558
2003,Couple without children,4th Quintile,Yes,0.85472,657,772,0.82984,0.87959
2003,Couple without children,4th Quintile,No,0.14528,115,772,0.12041,0.17016
2003,Couple without children,5th Quintile,Yes,0.89332,1218,1338,0.87677,0.90987
2003,Couple without children,5th Quintile,No,0.10668,120,1338,0.09013,0.12323
2003,Single parent,1st Quintile,Yes,0.21679,68,299,0.17000,0.26357
2003,Single parent,1st Quintile,No,0.78321,231,299,0.73643,0.83000
2003,Single parent,2nd Quintile,Yes,0.45596,75,150,0.37598,0.53593
2003,Single parent,2nd Quintile,No,0.54404,75,150,0.46407,0.62402
2003,Single parent,3rd Quintile,Yes,0.73247,67,98,0.64438,0.82057
2003,Single parent,3rd Quintile,No,0.26753,31,98,0.17943,0.35562
2003,Single parent,4th Quintile,Yes,0.68015,57,57,0.55799,0.80231
2003,Single parent,5th Quintile,Yes,0.95921,60,60,0.90874,1.00968
2003,Couple with children,1st Quintile,Yes,0.31582,163,486,0.27445,0.35719
2003,Couple with children,1st Quintile,No,0.68418,323,486,0.64281,0.72555
2003,Couple with children,2nd Quintile,Yes,0.58347,492,819,0.54968,0.61725
2003,Couple with children,2nd Quintile,No,0.41653,327,819,0.38275,0.45032
2003,Couple with children,3rd Quintile,Yes,0.70884,634,881,0.67882,0.73886
2003,Couple with children,3rd Quintile,No,0.29116,247,881,0.26114,0.32118
2003,Couple with children,4th Quintile,Yes,0.81955,695,855,0.79376,0.84534
2003,Couple with children,4th Quintile,No,0.18045,160,855,0.15466,0.20624
2003,Couple with children,5th Quintile,Yes,0.86469,930,1058,0.84407,0.88531
2003,Couple with children,5th Quintile,No,0.13531,128,1058,0.11469,0.15593
2005,Single-person household,1st Quintile,Yes,0.41673,325,786,0.38224,0.45122
2005,Single-person household,1st Quintile,No,0.58327,461,786,0.54878,0.61776
2005,Single-person household,2nd Quintile,Yes,0.69281,373,554,0.65436,0.73126
2005,Single-person household,2nd Quintile,No,0.30719,181,554,0.26874,0.34564
2005,Single-person household,3rd Quintile,Yes,0.78657,396,518,0.75125,0.82189
2005,Single-person household,3rd Quintile,No,0.21343,122,518,0.17811,0.24875
2005,Single-person household,4th Quintile,Yes,0.78303,386,494,0.74664,0.81941
2005,Single-person household,4th Quintile,No,0.21697,108,494,0.18059,0.25336
2005,Single-person household,5th Quintile,Yes,0.90246,477,528,0.87713,0.92779
2005,Single-person household,5th Quintile,No,0.09754,51,528,0.07221,0.12287
2005,Couple without children,1st Quintile,Yes,0.53165,188,365,0.48038,0.58291
2005,Couple without children,1st Quintile,No,0.46835,177,365,0.41709,0.51962
2005,Couple without children,2nd Quintile,Yes,0.76583,486,629,0.73271,0.79895
