year,hhtyp,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,Yes,0.75918,2159,2895,0.74360,0.77476
2001,Single-person household,No,0.24082,736,2895,0.22524,0.25640
2001,Couple without children,Yes,0.86992,3078,3562,0.85887,0.88097
2001,Couple without children,No,0.13008,484,3562,0.11903,0.14113
2001,Single parent,Yes,0.52859,383,701,0.49161,0.56557
2001,Single parent,No,0.47141,318,701,0.43443,0.50839
2001,Couple with children,Yes,0.75057,3099,4135,0.73738,0.76376
2001,Couple with children,No,0.24943,1036,4135,0.23624,0.26262
2001,Multi-generational household,Yes,0.76643,115,159,0.70045,0.83240
2001,Multi-generational household,No,0.23357,44,159,0.16760,0.29955
2001,Other Combinations,Yes,0.79310,92,92,0.70987,0.87633
2003,Single-person household,Yes,0.70251,2006,2889,0.68584,0.71919
2003,Single-person household,No,0.29749,883,2889,0.28081,0.31416
2003,Couple without children,Yes,0.81818,3144,3799,0.80592,0.83045
2003,Couple without children,No,0.18182,655,3799,0.16955,0.19408
2003,Single parent,Yes,0.44742,327,694,0.41040,0.48444
2003,Single parent,No,0.55258,367,694,0.51556,0.58960
2003,Couple with children,Yes,0.67695,2914,4099,0.66263,0.69127
2003,Couple with children,No,0.32305,1185,4099,0.30873,0.33737
2003,Multi-generational household,Yes,0.58292,84,119,0.49395,0.67188
2003,Multi-generational household,No,0.41708,35,119,0.32812,0.50605
2003,Other Combinations,Yes,0.70219,86,86,0.60497,0.79940
2005,Single-person household,Yes,0.69141,1958,2883,0.67455,0.70827
2005,Single-person household,No,0.30859,925,2883,0.29173,0.32545
2005,Couple without children,Yes,0.80696,3001,3671,0.79420,0.81973
2005,Couple without children,No,0.19304,670,3671,0.18027,0.20580
2005,Single parent,Yes,0.39829,306,690,0.36174,0.43484
2005,Single parent,No,0.60171,384,690,0.56516,0.63826
2005,Couple with children,Yes,0.63706,2506,3672,0.62150,0.65261
2005,Couple with children,No,0.36294,1166,3672,0.34739,0.37850
2005,Multi-generational household,Yes,0.60136,65,105,0.50726,0.69546
2005,Multi-generational household,No,0.39864,40,105,0.30454,0.49274
2005,Other Combinations,Yes,0.77069,77,77,0.67618,0.86521
2007,Single-person household,Yes,0.66276,2046,3083,0.64607,0.67945
2007,Single-person household,No,0.33724,1037,3083,0.32055,0.35393
2007,Couple without children,Yes,0.77888,3102,3850,0.76577,0.79199
2007,Couple without children,No,0.22112,748,3850,0.20801,0.23423
2007,Single parent,Yes,0.38412,294,710,0.34832,0.41992
2007,Single parent,No,0.61588,416,710,0.58008,0.65168
2007,Couple with children,Yes,0.62774,2393,3550,0.61183,0.64364
2007,Couple with children,No,0.37226,1157,3550,0.35636,0.38817
2007,Multi-generational household,Yes,0.65193,62,62,0.53238,0.77147
2007,Other Combinations,Yes,0.71228,68,68,0.60388,0.82068
2011,Single-person household,Yes,0.66990,2358,3486,0.65429,0.68551
2011,Single-person household,No,0.33010,1128,3486,0.31449,0.34571
2011,Couple without children,Yes,0.82109,3618,4339,0.80969,0.83250
2011,Couple without children,No,0.17891,721,4339,0.16750,0.19031
2011,Single parent,Yes,0.46367,346,779,0.42862,0.49871
2011,Single parent,No,0.53633,433,779,0.50129,0.57138
2011,Couple with children,Yes,0.73686,2341,3227,0.72167,0.75206
2011,Couple with children,No,0.26314,886,3227,0.24794,0.27833
2011,Multi-generational household,Yes,0.57834,47,83,0.47145,0.68522
2011,Multi-generational household,No,0.42166,36,83,0.31478,0.52855
2011,Other Combinations,Yes,0.63406,62,93,0.53563,0.73249
2011,Other Combinations,No,0.36594,31,93,0.26751,0.46437
2013,Single-person household,Yes,0.66108,2408,3699,0.64582,0.67634
2013,Single-person household,No,0.33892,1291,3699,0.32366,0.35418
2013,Couple without children,Yes,0.82609,3755,4566,0.81509,0.83708
2013,Couple without children,No,0.17391,811,4566,0.16292,0.18491
2013,Single parent,Yes,0.46019,417,980,0.42897,0.49141
2013,Single parent,No,0.53981,563,980,0.50859,0.57103
2013,Couple with children,Yes,0.71152,2724,4161,0.69776,0.72529
2013,Couple with children,No,0.28848,1437,4161,0.27471,0.30224
2013,Multi-generational household,Yes,0.58194,63,116,0.49179,0.67209
2013,Multi-generational household,No,0.41806,53,116,0.32791,0.50821
2013,Other Combinations,Yes,0.59342,177,340,0.54113,0.64570
2013,Other Combinations,No,0.40658,163,340,0.35430,0.45887
2015,Single-person household,Yes,0.67221,2349,3605,0.65689,0.68754
2015,Single-person household,No,0.32779,1256,3605,0.31246,0.34311
2015,Couple without children,Yes,0.83206,3567,4353,0.82095,0.84317
2015,Couple without children,No,0.16794,786,4353,0.15683,0.17905
2015,Single parent,Yes,0.44481,701,1695,0.42114,0.46847
2015,Single parent,No,0.55519,994,1695,0.53153,0.57886
2015,Couple with children,Yes,0.73567,3765,5625,0.72414,0.74719
2015,Couple with children,No,0.26433,1860,5625,0.25281,0.27586
2015,Multi-generational household,Yes,0.53432,68,139,0.45109,0.61754
2015,Multi-generational household,No,0.46568,71,139,0.38246,0.54891
2015,Other Combinations,Yes,0.67905,147,247,0.62071,0.73739
2015,Other Combinations,No,0.32095,100,247,0.26261,0.37929
2016,Single-person household,Yes,0.70648,2372,3775,0.69195,0.72101
2016,Single-person household,No,0.29352,1403,3775,0.27899,0.30805
2016,Couple without children,Yes,0.86482,3493,4131,0.85439,0.87525
2016,Couple without children,No,0.13518,638,4131,0.12475,0.14561
2016,Single parent,Yes,0.49258,733,1694,0.46876,0.51639
2016,Single parent,No,0.50742,961,1694,0.48361,0.53124
2016,Couple with children,Yes,0.76566,3684,6168,0.75508,0.77623
2016,Couple with children,No,0.23434,2484,6168,0.22377,0.24492
2016,Multi-generational household,Yes,0.68633,60,146,0.61080,0.76185
2016,Multi-generational household,No,0.31367,86,146,0.23815,0.38920
2016,Other Combinations,Yes,0.61722,133,378,0.56815,0.66628
2016,Other Combinations,No,0.38278,245,378,0.33372,0.43185
2017,Single-person household,Yes,0.71816,2711,4268,0.70466,0.73166
2017,Single-person household,No,0.28184,1557,4268,0.26834,0.29534
2017,Couple without children,Yes,0.87589,4013,4689,0.86645,0.88533
2017,Couple without children,No,0.12411,676,4689,0.11467,0.13355
2017,Single parent,Yes,0.50759,788,1756,0.48420,0.53098
2017,Single parent,No,0.49241,968,1756,0.46902,0.51580
2017,Couple with children,Yes,0.78307,4169,6795,0.77327,0.79287
2017,Couple with children,No,0.21693,2626,6795,0.20713,0.22673
2017,Multi-generational household,Yes,0.62775,68,162,0.55307,0.70242
2017,Multi-generational household,No,0.37225,94,162,0.29758,0.44693
2017,Other Combinations,Yes,0.64384,194,507,0.60211,0.68556
2017,Other Combinations,No,0.35616,313,507,0.31444,0.39789
2018,Single-person household,Yes,0.71731,2768,4437,0.70406,0.73056
2018,Single-person household,No,0.28269,1669,4437,0.26944,0.29594
2018,Couple without children,Yes,0.86556,3881,4619,0.85572,0.87540
2018,Couple without children,No,0.13444,738,4619,0.12460,0.14428
2018,Single parent,Yes,0.53193,772,1736,0.50845,0.55541
2018,Single parent,No,0.46807,964,1736,0.44459,0.49155
2018,Couple with children,Yes,0.77132,3898,6443,0.76107,0.78158
2018,Couple with children,No,0.22868,2545,6443,0.21842,0.23893
2018,Multi-generational household,Yes,0.62650,73,160,0.55131,0.70169
2018,Multi-generational household,No,0.37350,87,160,0.29831,0.44869
2018,Other Combinations,Yes,0.75537,182,407,0.71355,0.79718
