year,hhtyp,rentown,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,Owner,Yes,0.89151,669,764,0.86944,0.91358
2001,Single-person household,Owner,No,0.10849,95,764,0.08642,0.13056
2001,Single-person household,Tenant,Yes,0.71190,1490,2131,0.69267,0.73113
2001,Single-person household,Tenant,No,0.28810,641,2131,0.26887,0.30733
2001,Couple without children,Owner,Yes,0.93292,1646,1765,0.92125,0.94460
2001,Couple without children,Owner,No,0.06708,119,1765,0.05540,0.07875
2001,Couple without children,Tenant,Yes,0.80333,1432,1797,0.78494,0.82171
2001,Couple without children,Tenant,No,0.19667,365,1797,0.17829,0.21506
2001,Single parent,Owner,Yes,0.76784,147,191,0.70781,0.82788
2001,Single parent,Owner,No,0.23216,44,191,0.17212,0.29219
2001,Single parent,Tenant,Yes,0.44333,236,510,0.40017,0.48649
2001,Single parent,Tenant,No,0.55667,274,510,0.51351,0.59983
2001,Couple with children,Owner,Yes,0.84065,1914,2315,0.82573,0.85556
2001,Couple with children,Owner,No,0.15935,401,2315,0.14444,0.17427
2001,Couple with children,Tenant,Yes,0.63766,1185,1820,0.61557,0.65975
2001,Couple with children,Tenant,No,0.36234,635,1820,0.34025,0.38443
2001,Multi-generational household,Owner,Yes,0.85857,97,97,0.78887,0.92828
2001,Other Combinations,Owner,Yes,0.92897,60,60,0.86342,0.99452
2001,Other Combinations,Tenant,Yes,0.64161,32,32,0.47280,0.81042
2003,Single-person household,Owner,Yes,0.83762,657,783,0.81177,0.86347
2003,Single-person household,Owner,No,0.16238,126,783,0.13653,0.18823
2003,Single-person household,Tenant,Yes,0.65234,1349,2106,0.63199,0.67268
2003,Single-person household,Tenant,No,0.34766,757,2106,0.32732,0.36801
2003,Couple without children,Owner,Yes,0.88374,1810,2012,0.86973,0.89775
2003,Couple without children,Owner,No,0.11626,202,2012,0.10225,0.13027
2003,Couple without children,Tenant,Yes,0.74580,1334,1787,0.72560,0.76599
2003,Couple without children,Tenant,No,0.25420,453,1787,0.23401,0.27440
2003,Single parent,Owner,Yes,0.77512,141,189,0.71544,0.83480
2003,Single parent,Owner,No,0.22488,48,189,0.16520,0.28456
2003,Single parent,Tenant,Yes,0.34431,186,505,0.30283,0.38579
2003,Single parent,Tenant,No,0.65569,319,505,0.61421,0.69717
2003,Couple with children,Owner,Yes,0.76130,1964,2489,0.74455,0.77806
2003,Couple with children,Owner,No,0.23870,525,2489,0.22194,0.25545
2003,Couple with children,Tenant,Yes,0.56776,950,1610,0.54355,0.59196
2003,Couple with children,Tenant,No,0.43224,660,1610,0.40804,0.45645
2003,Multi-generational household,Owner,Yes,0.68350,66,66,0.57043,0.79657
2003,Other Combinations,Owner,Yes,0.84865,52,52,0.75028,0.94701
2003,Other Combinations,Tenant,Yes,0.54181,34,34,0.37181,0.71181
2005,Single-person household,Owner,Yes,0.83495,670,803,0.80925,0.86064
2005,Single-person household,Owner,No,0.16505,133,803,0.13936,0.19075
2005,Single-person household,Tenant,Yes,0.63748,1288,2079,0.61681,0.65815
2005,Single-person household,Tenant,No,0.36252,791,2079,0.34185,0.38319
2005,Couple without children,Owner,Yes,0.89639,1762,1955,0.88288,0.90991
2005,Couple without children,Owner,No,0.10361,193,1955,0.09009,0.11712
2005,Couple without children,Tenant,Yes,0.71302,1239,1716,0.69161,0.73443
2005,Couple without children,Tenant,No,0.28698,477,1716,0.26557,0.30839
2005,Single parent,Owner,Yes,0.67091,134,196,0.60496,0.73686
2005,Single parent,Owner,No,0.32909,62,196,0.26314,0.39504
2005,Single parent,Tenant,Yes,0.32192,172,494,0.28068,0.36316
2005,Single parent,Tenant,No,0.67808,322,494,0.63684,0.71932
2005,Couple with children,Owner,Yes,0.73031,1733,2266,0.71204,0.74859
2005,Couple with children,Owner,No,0.26969,533,2266,0.25141,0.28796
2005,Couple with children,Tenant,Yes,0.51695,773,1406,0.49082,0.54308
2005,Couple with children,Tenant,No,0.48305,633,1406,0.45692,0.50918
2005,Multi-generational household,Owner,Yes,0.62973,53,53,0.49849,0.76098
2005,Other Combinations,Owner,Yes,0.87878,46,46,0.78342,0.97415
2005,Other Combinations,Tenant,Yes,0.63895,31,31,0.46708,0.81083
2007,Single-person household,Owner,Yes,0.83569,739,888,0.81131,0.86008
2007,Single-person household,Owner,No,0.16431,149,888,0.13992,0.18869
2007,Single-person household,Tenant,Yes,0.59562,1307,2195,0.57508,0.61615
2007,Single-person household,Tenant,No,0.40438,888,2195,0.38385,0.42492
2007,Couple without children,Owner,Yes,0.85361,1893,2156,0.83868,0.86853
2007,Couple without children,Owner,No,0.14639,263,2156,0.13147,0.16132
2007,Couple without children,Tenant,Yes,0.69444,1209,1694,0.67250,0.71639
2007,Couple without children,Tenant,No,0.30556,485,1694,0.28361,0.32750
2007,Single parent,Owner,Yes,0.69110,139,210,0.62846,0.75374
2007,Single parent,Owner,No,0.30890,71,210,0.24626,0.37154
2007,Single parent,Tenant,Yes,0.28924,155,500,0.24946,0.32902
2007,Single parent,Tenant,No,0.71076,345,500,0.67098,0.75054
2007,Couple with children,Owner,Yes,0.73392,1684,2207,0.71548,0.75236
2007,Couple with children,Owner,No,0.26608,523,2207,0.24764,0.28452
2007,Couple with children,Tenant,Yes,0.48937,709,1343,0.46263,0.51612
2007,Couple with children,Tenant,No,0.51063,634,1343,0.48388,0.53737
2007,Multi-generational household,Owner,Yes,0.78642,51,51,0.67283,0.90002
2007,Other Combinations,Owner,Yes,0.85167,44,44,0.74543,0.95791
2011,Single-person household,Owner,Yes,0.85275,912,1070,0.83151,0.87400
2011,Single-person household,Owner,No,0.14725,158,1070,0.12600,0.16849
2011,Single-person household,Tenant,Yes,0.58645,1446,2416,0.56681,0.60609
2011,Single-person household,Tenant,No,0.41355,970,2416,0.39391,0.43319
2011,Couple without children,Owner,Yes,0.87472,2232,2494,0.86172,0.88771
2011,Couple without children,Owner,No,0.12528,262,2494,0.11229,0.13828
2011,Couple without children,Tenant,Yes,0.75074,1386,1845,0.73100,0.77048
2011,Couple without children,Tenant,No,0.24926,459,1845,0.22952,0.26900
2011,Single parent,Owner,Yes,0.69603,157,222,0.63538,0.75667
2011,Single parent,Owner,No,0.30397,65,222,0.24333,0.36462
2011,Single parent,Tenant,Yes,0.34536,189,557,0.30584,0.38489
2011,Single parent,Tenant,No,0.65464,368,557,0.61511,0.69416
2011,Couple with children,Owner,Yes,0.81838,1647,2022,0.80157,0.83519
2011,Couple with children,Owner,No,0.18162,375,2022,0.16481,0.19843
2011,Couple with children,Tenant,Yes,0.58805,694,1205,0.56025,0.61585
2011,Couple with children,Tenant,No,0.41195,511,1205,0.38415,0.43975
2011,Multi-generational household,Owner,Yes,0.70445,38,38,0.55742,0.85148
2011,Other Combinations,Owner,Yes,0.59403,33,33,0.42388,0.76418
2013,Single-person household,Owner,Yes,0.82517,848,1042,0.80210,0.84825
2013,Single-person household,Owner,No,0.17483,194,1042,0.15175,0.19790
2013,Single-person household,Tenant,Yes,0.58493,1560,2657,0.56619,0.60367
2013,Single-person household,Tenant,No,0.41507,1097,2657,0.39633,0.43381
2013,Couple without children,Owner,Yes,0.89311,2256,2502,0.88100,0.90522
2013,Couple without children,Owner,No,0.10689,246,2502,0.09478,0.11900
2013,Couple without children,Tenant,Yes,0.73487,1499,2064,0.71583,0.75392
2013,Couple without children,Tenant,No,0.26513,565,2064,0.24608,0.28417
2013,Single parent,Owner,Yes,0.75950,172,243,0.70565,0.81335
2013,Single parent,Owner,No,0.24050,71,243,0.18665,0.29435
2013,Single parent,Tenant,Yes,0.32504,245,737,0.29120,0.35888
2013,Single parent,Tenant,No,0.67496,492,737,0.64112,0.70880
2013,Couple with children,Owner,Yes,0.81294,1705,2117,0.79633,0.82956
2013,Couple with children,Owner,No,0.18706,412,2117,0.17044,0.20367
2013,Couple with children,Tenant,Yes,0.55519,1019,2044,0.53364,0.57674
2013,Couple with children,Tenant,No,0.44481,1025,2044,0.42326,0.46636
2013,Multi-generational household,Owner,Yes,0.76413,49,49,0.64403,0.88424
2013,Multi-generational household,Tenant,No,0.68603,37,37,0.53443,0.83764
2013,Other Combinations,Owner,Yes,0.76809,75,75,0.67193,0.86425
2013,Other Combinations,Tenant,Yes,0.48582,102,241,0.42259,0.54905
2013,Other Combinations,Tenant,No,0.51418,139,241,0.45095,0.57741
