year,age_gr,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Permanent job,0.41235,1280,1780,0.38947,0.43522
1985,17-29 y.,Temporary job,0.17029,500,1780,0.15283,0.18776
1985,30-45 y.,Permanent job,0.62009,2149,2281,0.60017,0.64001
1985,30-45 y.,Temporary job,0.03875,132,2281,0.03083,0.04667
1985,46-65 y.,Permanent job,0.44008,1596,1647,0.41610,0.46407
1985,46-65 y.,Temporary job,0.01386,51,1647,0.00822,0.01951
1986,17-29 y.,Permanent job,0.10167,337,530,0.07592,0.12743
1986,17-29 y.,Temporary job,0.06180,193,530,0.04128,0.08232
1986,30-45 y.,Permanent job,0.07807,236,236,0.04377,0.11237
1986,46-65 y.,Permanent job,0.01375,50,50,-0.01886,0.04635
1987,17-29 y.,Permanent job,0.14937,446,716,0.12324,0.17550
1987,17-29 y.,Temporary job,0.08352,270,716,0.06324,0.10380
1987,30-45 y.,Permanent job,0.09037,260,318,0.05881,0.12194
1987,30-45 y.,Temporary job,0.01762,58,318,0.00314,0.03210
1987,46-65 y.,Permanent job,0.02436,94,94,-0.00697,0.05569
1988,17-29 y.,Permanent job,0.45037,1226,1713,0.42680,0.47394
1988,17-29 y.,Temporary job,0.16218,487,1713,0.14472,0.17964
1988,30-45 y.,Permanent job,0.63717,1858,1966,0.61591,0.65843
1988,30-45 y.,Temporary job,0.03790,108,1966,0.02946,0.04634
1988,46-65 y.,Permanent job,0.47054,1546,1600,0.44607,0.49500
1988,46-65 y.,Temporary job,0.01945,54,1600,0.01268,0.02622
1989,17-29 y.,Permanent job,0.14706,361,546,0.11733,0.17679
1989,17-29 y.,Temporary job,0.06345,185,546,0.04298,0.08392
1989,30-45 y.,Permanent job,0.08865,220,271,0.05475,0.12255
1989,30-45 y.,Temporary job,0.01766,51,271,0.00195,0.03337
1989,46-65 y.,Permanent job,0.02094,62,62,-0.01499,0.05687
1990,17-29 y.,Permanent job,0.25594,1109,1388,0.23297,0.27891
1990,17-29 y.,Temporary job,0.06797,279,1388,0.05472,0.08122
1990,30-45 y.,Permanent job,0.25096,1580,1680,0.23023,0.27170
1990,30-45 y.,Temporary job,0.02054,100,1680,0.01375,0.02732
1990,46-65 y.,Permanent job,0.16139,1050,1120,0.13984,0.18295
1990,46-65 y.,Temporary job,0.01191,70,1120,0.00555,0.01827
1991,17-29 y.,Permanent job,0.13779,500,708,0.11238,0.16320
1991,17-29 y.,Temporary job,0.05425,208,708,0.03755,0.07094
1991,30-45 y.,Permanent job,0.12045,565,686,0.09607,0.14482
1991,30-45 y.,Temporary job,0.02375,121,686,0.01235,0.03516
1991,46-65 y.,Permanent job,0.03876,204,260,0.01525,0.06227
1991,46-65 y.,Temporary job,0.01160,56,260,-0.00144,0.02464
1992,17-29 y.,Permanent job,0.12674,461,657,0.10129,0.15220
1992,17-29 y.,Temporary job,0.05473,196,657,0.03732,0.07214
1992,30-45 y.,Permanent job,0.11710,532,658,0.09251,0.14168
1992,30-45 y.,Temporary job,0.02496,126,658,0.01303,0.03689
1992,46-65 y.,Permanent job,0.03973,213,283,0.01693,0.06253
1992,46-65 y.,Temporary job,0.01238,70,283,-0.00053,0.02528
1993,17-29 y.,Permanent job,0.12224,423,585,0.09567,0.14881
1993,17-29 y.,Temporary job,0.04944,162,585,0.03185,0.06702
1993,30-45 y.,Permanent job,0.11410,467,575,0.08809,0.14011
1993,30-45 y.,Temporary job,0.02422,108,575,0.01164,0.03679
1993,46-65 y.,Permanent job,0.03457,162,208,0.00968,0.05946
1993,46-65 y.,Temporary job,0.00983,46,208,-0.00361,0.02328
1994,17-29 y.,Permanent job,0.11751,383,635,0.09244,0.14257
1994,17-29 y.,Temporary job,0.07862,252,635,0.05767,0.09957
1994,30-45 y.,Permanent job,0.07928,336,451,0.05432,0.10424
1994,30-45 y.,Temporary job,0.02345,115,451,0.00947,0.03743
1994,46-65 y.,Permanent job,0.02454,112,156,0.00018,0.04890
1994,46-65 y.,Temporary job,0.00838,44,156,-0.00597,0.02273
1995,17-29 y.,Permanent job,0.42300,1435,1999,0.40134,0.44467
1995,17-29 y.,Temporary job,0.17453,564,1999,0.15788,0.19117
1995,30-45 y.,Permanent job,0.65110,2911,3135,0.63441,0.66779
1995,30-45 y.,Temporary job,0.04892,224,3135,0.04137,0.05647
1995,46-65 y.,Permanent job,0.46407,1894,2025,0.44234,0.48579
1995,46-65 y.,Temporary job,0.02959,131,2025,0.02221,0.03697
1996,17-29 y.,Permanent job,0.41742,1318,1842,0.39490,0.43995
1996,17-29 y.,Temporary job,0.16161,524,1842,0.14480,0.17843
