year,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Permanent job,0.33939,5039,5722,0.32712,0.35166
1985,Temporary job,0.04822,683,5722,0.04267,0.05377
1986,Permanent job,0.04183,623,838,0.02827,0.05539
1986,Temporary job,0.01470,215,838,0.00655,0.02285
1987,Permanent job,0.05626,800,1137,0.04286,0.06966
1987,Temporary job,0.02178,337,1137,0.01329,0.03027
1988,Permanent job,0.35462,4640,5292,0.34173,0.36751
1988,Temporary job,0.04628,652,5292,0.04062,0.05194
1989,Permanent job,0.05465,643,893,0.03974,0.06957
1989,Temporary job,0.01773,250,893,0.00907,0.02639
1990,Permanent job,0.14928,3753,4204,0.13851,0.16006
1990,Temporary job,0.02115,451,4204,0.01680,0.02550
1991,Permanent job,0.06383,1271,1656,0.05205,0.07560
1991,Temporary job,0.01871,385,1656,0.01218,0.02523
1992,Permanent job,0.06089,1207,1600,0.04917,0.07261
1992,Temporary job,0.01914,393,1600,0.01243,0.02586
1993,Permanent job,0.05780,1052,1368,0.04543,0.07017
1993,Temporary job,0.01708,316,1368,0.01021,0.02395
1994,Permanent job,0.04535,831,1242,0.03377,0.05692
1994,Temporary job,0.02108,411,1242,0.01308,0.02907
1995,Permanent job,0.35129,6254,7176,0.34025,0.36234
1995,Temporary job,0.04840,922,7176,0.04343,0.05336
1996,Permanent job,0.34993,6103,6965,0.33872,0.36113
1996,Temporary job,0.04620,862,6965,0.04127,0.05113
1997,Permanent job,0.33849,5782,6738,0.32719,0.34979
1997,Temporary job,0.05247,956,6738,0.04715,0.05780
1998,Permanent job,0.34132,6369,7397,0.33051,0.35212
1998,Temporary job,0.05204,1028,7397,0.04698,0.05711
1999,Permanent job,0.34854,6217,7314,0.33762,0.35946
1999,Temporary job,0.05654,1097,7314,0.05125,0.06183
2000,Permanent job,0.32934,10014,11680,0.32082,0.33787
2000,Temporary job,0.05304,1666,11680,0.04897,0.05710
2001,Permanent job,0.32945,9121,10626,0.32052,0.33839
2001,Temporary job,0.05202,1505,10626,0.04779,0.05624
2002,Permanent job,0.32159,9642,11155,0.31292,0.33026
2002,Temporary job,0.05176,1513,11155,0.04765,0.05587
2003,Permanent job,0.31565,9013,10453,0.30674,0.32456
2003,Temporary job,0.05064,1440,10453,0.04644,0.05484
2004,Permanent job,0.31112,8638,10074,0.30208,0.32016
2004,Temporary job,0.05299,1436,10074,0.04862,0.05737
2005,Permanent job,0.32448,8450,9727,0.31517,0.33378
2005,Temporary job,0.05326,1277,9727,0.04880,0.05772
2006,Permanent job,0.31824,8786,10192,0.30920,0.32728
2006,Temporary job,0.05623,1406,10192,0.05175,0.06070
2007,Permanent job,0.32711,8344,9744,0.31779,0.33642
2007,Temporary job,0.05956,1400,9744,0.05486,0.06426
2008,Permanent job,0.34104,8010,9371,0.33144,0.35064
2008,Temporary job,0.06341,1361,9371,0.05848,0.06834
2009,Permanent job,0.34331,7439,8724,0.33334,0.35327
2009,Temporary job,0.06379,1285,8724,0.05866,0.06891
2010,Permanent job,0.34848,10153,11997,0.33996,0.35701
2010,Temporary job,0.06612,1844,11997,0.06168,0.07057
2011,Permanent job,0.34708,12411,14581,0.33935,0.35480
2011,Temporary job,0.06636,2170,14581,0.06232,0.07040
2012,Permanent job,0.35212,12180,14433,0.34433,0.35992
2012,Temporary job,0.06697,2253,14433,0.06289,0.07105
2013,Permanent job,0.34784,13443,16325,0.34053,0.35515
2013,Temporary job,0.06879,2882,16325,0.06491,0.07268
2014,Permanent job,0.34951,11955,14430,0.34173,0.35729
2014,Temporary job,0.07237,2475,14430,0.06814,0.07660
2015,Permanent job,0.35846,11836,14397,0.35062,0.36629
2015,Temporary job,0.07235,2561,14397,0.06812,0.07659
2016,Permanent job,0.35723,10886,13406,0.34912,0.36535
2016,Temporary job,0.07458,2520,13406,0.07013,0.07903
2017,Permanent job,0.36573,12517,15325,0.35810,0.37335
2017,Temporary job,0.07325,2808,15325,0.06912,0.07737
2018,Permanent job,0.37594,12190,15070,0.36821,0.38367
2018,Temporary job,0.07299,2880,15070,0.06884,0.07715
2019,Permanent job,0.38069,11794,14576,0.37281,0.38858
2019,Temporary job,0.07070,2782,14576,0.06654,0.07486
2020,Permanent job,0.38263,12354,15541,0.37499,0.39027
2020,Temporary job,0.06613,3187,15541,0.06222,0.07003
2021,Permanent job,0.38809,8500,10202,0.37864,0.39755
2021,Temporary job,0.06107,1702,10202,0.05642,0.06572
