year,age_gr,regtyp,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Permanent job,0.41671,1019,1404,0.39092,0.44251
1985,17-29 y.,Urban regions,Temporary job,0.16653,385,1404,0.14704,0.18602
1985,17-29 y.,Rural regions,Permanent job,0.39870,261,376,0.34914,0.44826
1985,17-29 y.,Rural regions,Temporary job,0.18205,115,376,0.14299,0.22110
1985,30-45 y.,Urban regions,Permanent job,0.63113,1714,1826,0.60899,0.65327
1985,30-45 y.,Urban regions,Temporary job,0.04141,112,1826,0.03227,0.05055
1985,30-45 y.,Rural regions,Permanent job,0.58446,435,435,0.53809,0.63082
1985,46-65 y.,Urban regions,Permanent job,0.45576,1308,1350,0.42919,0.48234
1985,46-65 y.,Urban regions,Temporary job,0.01461,42,1350,0.00821,0.02102
1985,46-65 y.,Rural regions,Permanent job,0.39145,288,288,0.33498,0.44791
1986,17-29 y.,Urban regions,Permanent job,0.11072,279,424,0.08082,0.14062
1986,17-29 y.,Urban regions,Temporary job,0.05889,145,424,0.03646,0.08133
1986,17-29 y.,Rural regions,Permanent job,0.07423,58,106,0.02409,0.12437
1986,17-29 y.,Rural regions,Temporary job,0.07062,48,106,0.02161,0.11962
1986,30-45 y.,Urban regions,Permanent job,0.08275,195,195,0.04398,0.12152
1986,30-45 y.,Rural regions,Permanent job,0.06249,41,41,-0.01252,0.13750
1986,46-65 y.,Urban regions,Permanent job,0.01331,36,36,-0.02466,0.05127
1987,17-29 y.,Urban regions,Permanent job,0.14256,326,529,0.11274,0.17238
1987,17-29 y.,Urban regions,Temporary job,0.08034,203,529,0.05716,0.10353
1987,17-29 y.,Rural regions,Permanent job,0.17072,120,187,0.11665,0.22480
1987,17-29 y.,Rural regions,Temporary job,0.09348,67,187,0.05165,0.13532
1987,30-45 y.,Urban regions,Permanent job,0.09261,206,252,0.05674,0.12847
1987,30-45 y.,Urban regions,Temporary job,0.01790,46,252,0.00150,0.03430
1987,30-45 y.,Rural regions,Permanent job,0.08294,54,54,0.00869,0.15719
1987,46-65 y.,Urban regions,Permanent job,0.02407,76,76,-0.01062,0.05875
1988,17-29 y.,Urban regions,Permanent job,0.46441,992,1359,0.43789,0.49094
1988,17-29 y.,Urban regions,Temporary job,0.14812,367,1359,0.12923,0.16702
1988,17-29 y.,Rural regions,Permanent job,0.40399,234,354,0.35280,0.45517
1988,17-29 y.,Rural regions,Temporary job,0.20862,120,354,0.16623,0.25100
1988,30-45 y.,Urban regions,Permanent job,0.65214,1476,1565,0.62853,0.67574
1988,30-45 y.,Urban regions,Temporary job,0.03589,89,1565,0.02668,0.04511
1988,30-45 y.,Rural regions,Permanent job,0.58755,382,382,0.53812,0.63698
1988,46-65 y.,Urban regions,Permanent job,0.49341,1276,1314,0.46637,0.52046
1988,46-65 y.,Urban regions,Temporary job,0.01697,38,1314,0.00998,0.02396
1988,46-65 y.,Rural regions,Permanent job,0.39624,270,270,0.33779,0.45469
1989,17-29 y.,Urban regions,Permanent job,0.14257,279,435,0.10967,0.17546
1989,17-29 y.,Urban regions,Temporary job,0.06740,156,435,0.04381,0.09098
1989,17-29 y.,Rural regions,Permanent job,0.16219,82,82,0.08191,0.24247
1989,30-45 y.,Urban regions,Permanent job,0.09358,180,222,0.05518,0.13197
1989,30-45 y.,Urban regions,Temporary job,0.01816,42,222,0.00056,0.03577
1989,30-45 y.,Rural regions,Permanent job,0.07125,40,40,-0.00948,0.15199
1989,46-65 y.,Urban regions,Permanent job,0.01914,43,43,-0.02230,0.06057
1990,17-29 y.,Urban regions,Permanent job,0.19849,523,694,0.16879,0.22818
1990,17-29 y.,Urban regions,Temporary job,0.06694,171,694,0.04833,0.08555
1990,17-29 y.,Rural regions,Permanent job,0.37204,571,677,0.33560,0.40848
1990,17-29 y.,Rural regions,Temporary job,0.07031,106,677,0.05104,0.08958
1990,30-45 y.,Urban regions,Permanent job,0.17065,641,696,0.14268,0.19862
1990,30-45 y.,Urban regions,Temporary job,0.01985,55,696,0.00948,0.03023
1990,30-45 y.,Rural regions,Permanent job,0.43359,905,950,0.40206,0.46512
1990,30-45 y.,Rural regions,Temporary job,0.02250,45,950,0.01306,0.03194
1990,46-65 y.,Urban regions,Permanent job,0.09497,410,410,0.06656,0.12338
1990,46-65 y.,Rural regions,Permanent job,0.30132,625,666,0.26644,0.33619
1990,46-65 y.,Rural regions,Temporary job,0.01957,41,666,0.00904,0.03009
1991,17-29 y.,Urban regions,Permanent job,0.14754,342,478,0.11571,0.17936
1991,17-29 y.,Urban regions,Temporary job,0.05215,136,478,0.03220,0.07210
1991,17-29 y.,Rural regions,Permanent job,0.11546,152,222,0.07333,0.15759
1991,17-29 y.,Rural regions,Temporary job,0.05719,70,222,0.02658,0.08781
1991,30-45 y.,Urban regions,Permanent job,0.11639,334,398,0.08484,0.14793
1991,30-45 y.,Urban regions,Temporary job,0.02210,64,398,0.00764,0.03656
1991,30-45 y.,Rural regions,Permanent job,0.12910,225,278,0.08962,0.16859
