year,sampreg,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,West,Permanent job,0.33939,5039,5722,0.32712,0.35166
1985,West,Temporary job,0.04822,683,5722,0.04267,0.05377
1986,West,Permanent job,0.04183,623,838,0.02827,0.05539
1986,West,Temporary job,0.01470,215,838,0.00655,0.02285
1987,West,Permanent job,0.05626,800,1137,0.04286,0.06966
1987,West,Temporary job,0.02178,337,1137,0.01329,0.03027
1988,West,Permanent job,0.35462,4640,5292,0.34173,0.36751
1988,West,Temporary job,0.04628,652,5292,0.04062,0.05194
1989,West,Permanent job,0.05465,643,893,0.03974,0.06957
1989,West,Temporary job,0.01773,250,893,0.00907,0.02639
1990,West,Permanent job,0.05857,705,931,0.04348,0.07366
1990,West,Temporary job,0.01727,226,931,0.00890,0.02564
1990,East,Permanent job,0.49609,3048,3273,0.47896,0.51322
1990,East,Temporary job,0.03599,225,3273,0.02960,0.04237
1991,West,Permanent job,0.05624,724,948,0.04156,0.07091
1991,West,Temporary job,0.01626,224,948,0.00820,0.02431
1991,East,Permanent job,0.09278,547,708,0.07140,0.11417
1991,East,Temporary job,0.02805,161,708,0.01588,0.04022
1992,West,Permanent job,0.05209,687,870,0.03732,0.06687
1992,West,Temporary job,0.01384,183,870,0.00608,0.02161
1992,East,Permanent job,0.09521,520,730,0.07390,0.11651
1992,East,Temporary job,0.03982,210,730,0.02563,0.05402
1993,West,Permanent job,0.05149,630,814,0.03630,0.06668
1993,West,Temporary job,0.01519,184,814,0.00679,0.02360
1993,East,Permanent job,0.08269,422,554,0.05973,0.10564
1993,East,Temporary job,0.02452,132,554,0.01163,0.03740
1994,West,Permanent job,0.04230,545,791,0.02826,0.05633
1994,West,Temporary job,0.01890,246,791,0.00940,0.02840
1994,East,Permanent job,0.05762,286,451,0.03609,0.07915
1994,East,Temporary job,0.02983,165,451,0.01411,0.04555
1995,West,Permanent job,0.35612,4567,5142,0.34303,0.36921
1995,West,Temporary job,0.04313,575,5142,0.03757,0.04868
1995,East,Permanent job,0.33113,1687,2034,0.31067,0.35159
1995,East,Temporary job,0.07044,347,2034,0.05932,0.08157
1996,West,Permanent job,0.35507,4456,4993,0.34180,0.36835
1996,West,Temporary job,0.04252,537,4993,0.03693,0.04812
1996,East,Permanent job,0.32791,1647,1972,0.30718,0.34863
1996,East,Temporary job,0.06193,325,1972,0.05129,0.07257
1997,West,Permanent job,0.34414,4226,4848,0.33076,0.35751
1997,West,Temporary job,0.04988,622,4848,0.04375,0.05601
1997,East,Permanent job,0.31404,1556,1890,0.29311,0.33497
1997,East,Temporary job,0.06367,334,1890,0.05265,0.07468
1998,West,Permanent job,0.34832,4740,5415,0.33563,0.36101
1998,West,Temporary job,0.04833,675,5415,0.04262,0.05404
1998,East,Permanent job,0.31136,1629,1982,0.29097,0.33175
1998,East,Temporary job,0.06793,353,1982,0.05685,0.07901
1999,West,Permanent job,0.35575,4627,5327,0.34289,0.36860
1999,West,Temporary job,0.05263,700,5327,0.04663,0.05863
1999,East,Permanent job,0.31683,1590,1987,0.29637,0.33729
1999,East,Temporary job,0.07376,397,1987,0.06226,0.08525
2000,West,Permanent job,0.33504,7718,8853,0.32521,0.34488
2000,West,Temporary job,0.04963,1135,8853,0.04511,0.05416
2000,East,Permanent job,0.30447,2296,2827,0.28751,0.32144
2000,East,Temporary job,0.06789,531,2827,0.05861,0.07716
2001,West,Permanent job,0.33453,7003,7999,0.32419,0.34487
2001,West,Temporary job,0.04739,996,7999,0.04274,0.05205
2001,East,Permanent job,0.30680,2118,2627,0.28916,0.32443
2001,East,Temporary job,0.07265,509,2627,0.06272,0.08258
2002,West,Permanent job,0.32742,7502,8562,0.31748,0.33737
