year,age_gr,migback,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,No migration background,Permanent job,0.41299,908,1278,0.38598,0.44000
1985,17-29 y.,No migration background,Temporary job,0.17371,370,1278,0.15293,0.19449
1985,17-29 y.,Direct migration background,Permanent job,0.41558,343,455,0.37024,0.46091
1985,17-29 y.,Direct migration background,Temporary job,0.13669,112,455,0.10509,0.16829
1985,30-45 y.,No migration background,Permanent job,0.62327,1398,1480,0.59857,0.64796
1985,30-45 y.,No migration background,Temporary job,0.03563,82,1480,0.02618,0.04508
1985,30-45 y.,Direct migration background,Permanent job,0.59726,742,792,0.56309,0.63144
1985,30-45 y.,Direct migration background,Temporary job,0.05945,50,792,0.04297,0.07593
1985,46-65 y.,No migration background,Permanent job,0.43374,1079,1114,0.40462,0.46285
1985,46-65 y.,No migration background,Temporary job,0.01341,35,1114,0.00665,0.02017
1985,46-65 y.,Direct migration background,Permanent job,0.49873,514,514,0.45546,0.54200
1986,17-29 y.,No migration background,Permanent job,0.10157,244,391,0.07159,0.13155
1986,17-29 y.,No migration background,Temporary job,0.06476,147,391,0.04033,0.08918
1986,17-29 y.,Direct migration background,Permanent job,0.10897,83,122,0.05345,0.16449
1986,17-29 y.,Direct migration background,Temporary job,0.03603,39,122,0.00282,0.06924
1986,30-45 y.,No migration background,Permanent job,0.08348,196,196,0.04466,0.12231
1986,30-45 y.,Direct migration background,Permanent job,0.04567,38,38,-0.02160,0.11295
1986,46-65 y.,No migration background,Permanent job,0.01417,37,37,-0.02444,0.05277
1987,17-29 y.,No migration background,Permanent job,0.15173,322,517,0.12078,0.18269
1987,17-29 y.,No migration background,Temporary job,0.08445,195,517,0.06045,0.10844
1987,17-29 y.,Direct migration background,Permanent job,0.12952,107,172,0.07919,0.17984
1987,17-29 y.,Direct migration background,Temporary job,0.07566,65,172,0.03603,0.11530
1987,30-45 y.,No migration background,Permanent job,0.09819,210,247,0.06100,0.13537
1987,30-45 y.,No migration background,Temporary job,0.01677,37,247,0.00072,0.03281
1987,30-45 y.,Direct migration background,Permanent job,0.04600,50,50,-0.01266,0.10465
1987,46-65 y.,No migration background,Permanent job,0.02547,65,65,-0.01313,0.06407
1988,17-29 y.,No migration background,Permanent job,0.45064,816,1156,0.42194,0.47933
1988,17-29 y.,No migration background,Temporary job,0.16550,340,1156,0.14407,0.18694
1988,17-29 y.,Direct migration background,Permanent job,0.48230,358,465,0.43683,0.52776
1988,17-29 y.,Direct migration background,Temporary job,0.12183,107,465,0.09206,0.15159
1988,17-29 y.,Indirect migration background,Permanent job,0.29141,52,92,0.19804,0.38477
1988,17-29 y.,Indirect migration background,Temporary job,0.19880,40,92,0.11680,0.28080
1988,30-45 y.,No migration background,Permanent job,0.63964,1260,1329,0.61382,0.66546
1988,30-45 y.,No migration background,Temporary job,0.03675,69,1329,0.02663,0.04687
1988,30-45 y.,Direct migration background,Permanent job,0.61996,588,626,0.58191,0.65802
1988,30-45 y.,Direct migration background,Temporary job,0.04611,38,626,0.02967,0.06256
1988,46-65 y.,No migration background,Permanent job,0.47118,1058,1098,0.44164,0.50071
1988,46-65 y.,No migration background,Temporary job,0.01904,40,1098,0.01095,0.02713
