year,regtyp,rentown,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Owner,Yes,0.02117,32,1304,0.01336,0.02899
1985,Urban regions,Owner,No,0.97563,1272,1304,0.96725,0.98400
1985,Urban regions,Tenant,Yes,0.09324,217,2888,0.08263,0.10385
1985,Urban regions,Tenant,No,0.90401,2671,2888,0.89326,0.91475
1985,Rural regions,Owner,No,0.96720,539,539,0.95215,0.98225
1985,Rural regions,Tenant,Yes,0.10220,40,507,0.07581,0.12859
1985,Rural regions,Tenant,No,0.89299,467,507,0.86606,0.91993
1986,Urban regions,Owner,No,0.98493,1273,1273,0.97823,0.99162
1986,Urban regions,Tenant,Yes,0.09049,203,2721,0.07971,0.10127
1986,Urban regions,Tenant,No,0.90673,2518,2721,0.89580,0.91766
1986,Rural regions,Owner,No,0.97927,529,529,0.96712,0.99142
1986,Rural regions,Tenant,Yes,0.11006,41,469,0.08170,0.13841
1986,Rural regions,Tenant,No,0.88310,428,469,0.85399,0.91221
1987,Urban regions,Owner,No,0.98172,1276,1276,0.97437,0.98908
1987,Urban regions,Tenant,Yes,0.09790,219,2662,0.08661,0.10920
1987,Urban regions,Tenant,No,0.89913,2443,2662,0.88769,0.91057
1987,Rural regions,Owner,No,0.97021,508,508,0.95541,0.98501
1987,Rural regions,Tenant,Yes,0.13938,55,474,0.10817,0.17059
1987,Rural regions,Tenant,No,0.86030,419,474,0.82906,0.89155
1988,Urban regions,Owner,No,0.97865,1232,1232,0.97057,0.98672
1988,Urban regions,Tenant,Yes,0.10181,224,2553,0.09007,0.11354
1988,Urban regions,Tenant,No,0.89545,2329,2553,0.88358,0.90732
1988,Rural regions,Owner,No,0.97238,468,468,0.95751,0.98724
1988,Rural regions,Tenant,Yes,0.15617,60,462,0.12303,0.18931
1988,Rural regions,Tenant,No,0.84383,402,462,0.81069,0.87697
1989,Urban regions,Owner,No,0.98048,1220,1220,0.97271,0.98824
1989,Urban regions,Tenant,Yes,0.08962,199,2486,0.07839,0.10085
1989,Urban regions,Tenant,No,0.90658,2287,2486,0.89513,0.91802
1989,Rural regions,Owner,No,0.98134,455,455,0.96889,0.99379
1989,Rural regions,Tenant,Yes,0.16365,59,440,0.12904,0.19826
1989,Rural regions,Tenant,No,0.83192,381,440,0.79694,0.86690
1990,Urban regions,Owner,No,0.95170,1230,1230,0.93972,0.96369
1990,Urban regions,Tenant,Yes,0.07925,191,2405,0.06845,0.09005
