year,hhtyp,rentown,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,Owner,No,0.98242,252,252,0.96616,0.99868
1984,Single-person household,Tenant,Yes,0.13381,114,1031,0.11302,0.15460
1984,Single-person household,Tenant,No,0.86485,917,1031,0.84397,0.88573
1984,Couple without children,Owner,No,0.99595,508,508,0.99041,1.00148
1984,Couple without children,Tenant,No,0.96300,816,816,0.95004,0.97596
1984,Single parent,Owner,No,0.97551,86,86,0.94264,1.00837
1984,Single parent,Tenant,Yes,0.22190,49,237,0.16888,0.27491
1984,Single parent,Tenant,No,0.77288,188,237,0.71942,0.82633
1984,Couple with children,Owner,No,0.97070,998,998,0.96024,0.98117
1984,Couple with children,Tenant,Yes,0.05988,87,1605,0.04826,0.07149
1984,Couple with children,Tenant,No,0.93861,1518,1605,0.92686,0.95036
1984,Multi-generational household,Owner,No,0.97052,68,68,0.93002,1.01102
1984,Multi-generational household,Tenant,No,0.95105,56,56,0.89403,1.00807
1984,Other Combinations,Tenant,No,0.91007,74,74,0.84445,0.97570
1985,Single-person household,Owner,No,0.97579,212,212,0.95505,0.99653
1985,Single-person household,Tenant,Yes,0.11788,92,920,0.09703,0.13873
1985,Single-person household,Tenant,No,0.87927,828,920,0.85820,0.90033
1985,Couple without children,Owner,No,0.98262,452,452,0.97056,0.99468
1985,Couple without children,Tenant,Yes,0.04231,31,761,0.02800,0.05663
1985,Couple without children,Tenant,No,0.95194,730,761,0.93673,0.96715
1985,Single parent,Owner,No,0.96230,82,82,0.92082,1.00378
1985,Single parent,Tenant,Yes,0.23431,44,207,0.17647,0.29215
1985,Single parent,Tenant,No,0.75982,163,207,0.70149,0.81816
1985,Couple with children,Owner,Yes,0.03286,35,985,0.02173,0.04400
1985,Couple with children,Owner,No,0.96599,950,985,0.95466,0.97732
1985,Couple with children,Tenant,Yes,0.06989,80,1386,0.05646,0.08332
1985,Couple with children,Tenant,No,0.92953,1306,1386,0.91605,0.94301
1985,Multi-generational household,Tenant,No,0.92865,44,44,0.85171,1.00559
1985,Other Combinations,Owner,No,0.95939,46,46,0.90172,1.01706
1985,Other Combinations,Tenant,No,0.89876,67,67,0.82598,0.97153
1986,Single-person household,Owner,No,0.99308,220,220,0.98210,1.00406
1986,Single-person household,Tenant,Yes,0.11933,87,854,0.09758,0.14109
1986,Single-person household,Tenant,No,0.87703,767,854,0.85499,0.89907
1986,Couple without children,Owner,No,0.99074,451,451,0.98189,0.99959
1986,Couple without children,Tenant,No,0.96042,721,721,0.94617,0.97466
1986,Single parent,Owner,No,0.97605,84,84,0.94316,1.00894
1986,Single parent,Tenant,Yes,0.20158,35,193,0.14483,0.25832
1986,Single parent,Tenant,No,0.78967,158,193,0.73202,0.84731
1986,Couple with children,Owner,No,0.97515,936,936,0.96517,0.98513
1986,Couple with children,Tenant,Yes,0.07888,87,1274,0.06407,0.09368
1986,Couple with children,Tenant,No,0.91973,1187,1274,0.90480,0.93465
1986,Multi-generational household,Tenant,No,0.93665,49,49,0.86774,1.00556
1986,Other Combinations,Owner,No,0.96132,47,47,0.90559,1.01704
1986,Other Combinations,Tenant,No,0.90542,64,64,0.83316,0.97768
1987,Single-person household,Owner,No,0.99410,223,223,0.98403,1.00417
1987,Single-person household,Tenant,Yes,0.12113,91,849,0.09917,0.14309
1987,Single-person household,Tenant,No,0.87520,758,849,0.85295,0.89744
1987,Couple without children,Owner,No,0.99221,470,470,0.98426,1.00017
1987,Couple without children,Tenant,No,0.97222,699,699,0.96002,0.98441
1987,Single parent,Owner,No,0.94483,83,83,0.89542,0.99425
