year,hhtyp,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,West,Yes,0.10566,117,1286,0.08885,0.12246
1984,Single-person household,West,No,0.89219,1169,1286,0.87523,0.90914
1984,Couple without children,West,No,0.97739,1324,1324,0.96937,0.98540
1984,Single parent,West,Yes,0.15527,51,325,0.11584,0.19471
1984,Single parent,West,No,0.84127,274,325,0.80147,0.88106
1984,Couple with children,West,Yes,0.04376,117,2633,0.03594,0.05157
1984,Couple with children,West,No,0.95553,2516,2633,0.94765,0.96340
1984,Multi-generational household,West,No,0.96525,124,124,0.93289,0.99762
1984,Other Combinations,West,No,0.95193,127,127,0.91458,0.98928
1985,Single-person household,West,Yes,0.09735,97,1137,0.08011,0.11458
1985,Single-person household,West,No,0.90043,1040,1137,0.88302,0.91784
1985,Couple without children,West,Yes,0.02797,35,1217,0.01870,0.03723
1985,Couple without children,West,No,0.96520,1182,1217,0.95490,0.97550
1985,Single parent,West,Yes,0.16531,47,292,0.12263,0.20799
1985,Single parent,West,No,0.83088,245,292,0.78781,0.87395
1985,Couple with children,West,Yes,0.04959,115,2371,0.04085,0.05833
1985,Couple with children,West,No,0.94952,2256,2371,0.94071,0.95834
1985,Multi-generational household,West,No,0.98279,113,113,0.95870,1.00688
1985,Other Combinations,West,No,0.92629,113,113,0.87790,0.97468
1986,Single-person household,West,Yes,0.09386,89,1077,0.07644,0.11129
1986,Single-person household,West,No,0.90333,988,1077,0.88567,0.92098
1986,Couple without children,West,No,0.97334,1172,1172,0.96411,0.98257
1986,Single parent,West,Yes,0.14066,38,280,0.09986,0.18146
1986,Single parent,West,No,0.85366,242,280,0.81219,0.89513
1986,Couple with children,West,Yes,0.04814,109,2233,0.03926,0.05702
1986,Couple with children,West,No,0.94892,2124,2233,0.93978,0.95805
1986,Multi-generational household,West,No,0.98002,113,113,0.95411,1.00594
1986,Other Combinations,West,No,0.93195,111,111,0.88489,0.97901
1987,Single-person household,West,Yes,0.09411,92,1074,0.07664,0.11158
1987,Single-person household,West,No,0.90186,982,1074,0.88406,0.91966
1987,Couple without children,West,No,0.98098,1169,1169,0.97315,0.98882
1987,Single parent,West,Yes,0.21112,56,278,0.16306,0.25918
1987,Single parent,West,No,0.78888,222,278,0.74082,0.83694
1987,Couple with children,West,Yes,0.06414,134,2187,0.05387,0.07441
1987,Couple with children,West,No,0.93246,2053,2187,0.92194,0.94298
1987,Multi-generational household,West,No,0.95664,116,116,0.91941,0.99386
1987,Other Combinations,West,No,0.93620,106,106,0.88945,0.98295
1988,Single-person household,West,Yes,0.09505,90,1035,0.07717,0.11292
1988,Single-person household,West,No,0.90223,945,1035,0.88412,0.92033
1988,Couple without children,West,No,0.97283,1139,1139,0.96339,0.98228
1988,Single parent,West,Yes,0.18910,46,275,0.14273,0.23547
1988,Single parent,West,No,0.81090,229,275,0.76453,0.85727
1988,Couple with children,West,Yes,0.07171,149,2085,0.06063,0.08278
1988,Couple with children,West,No,0.92577,1936,2085,0.91451,0.93702
1988,Multi-generational household,West,No,0.86354,92,92,0.79301,0.93407
1988,Other Combinations,West,No,0.94606,91,91,0.89939,0.99273
1989,Single-person household,West,Yes,0.08561,79,1037,0.06857,0.10265
1989,Single-person household,West,No,0.91145,958,1037,0.89415,0.92875
1989,Couple without children,West,No,0.97590,1129,1129,0.96695,0.98485
1989,Single parent,West,Yes,0.19155,43,256,0.14325,0.23985
1989,Single parent,West,No,0.80675,213,256,0.75829,0.85521
1989,Couple with children,West,Yes,0.06475,133,1994,0.05395,0.07555
1989,Couple with children,West,No,0.93144,1861,1994,0.92034,0.94253
1989,Multi-generational household,West,No,0.93796,103,103,0.89114,0.98477
1989,Other Combinations,West,No,0.92391,81,81,0.86581,0.98201
1990,Single-person household,West,Yes,0.07778,69,998,0.06115,0.09440
1990,Single-person household,West,No,0.91848,929,998,0.90149,0.93546
1990,Couple without children,West,No,0.97024,1151,1151,0.96042,0.98006
1990,Single parent,West,Yes,0.17735,41,256,0.13047,0.22423
1990,Single parent,West,No,0.82003,215,256,0.77288,0.86719
1990,Couple with children,West,Yes,0.06728,124,1945,0.05614,0.07841
1990,Couple with children,West,No,0.93185,1821,1945,0.92065,0.94305
1990,Multi-generational household,West,No,0.90051,106,106,0.84326,0.95776
1990,Other Combinations,West,No,0.90360,79,79,0.83810,0.96910
1991,Single-person household,West,Yes,0.08641,76,999,0.06898,0.10384
1991,Single-person household,West,No,0.90658,923,999,0.88853,0.92464
1991,Couple without children,West,No,0.96550,1163,1163,0.95501,0.97600
1991,Single parent,West,Yes,0.16958,44,269,0.12465,0.21451
1991,Single parent,West,No,0.82967,225,269,0.78466,0.87468
1991,Couple with children,West,Yes,0.07022,130,1940,0.05884,0.08159
1991,Couple with children,West,No,0.92335,1810,1940,0.91150,0.93519
1991,Multi-generational household,West,No,0.96777,105,105,0.93383,1.00172
1991,Other Combinations,West,No,0.87911,85,85,0.80939,0.94882
1992,Single-person household,West,Yes,0.07139,63,1004,0.05546,0.08732
1992,Single-person household,West,No,0.92504,941,1004,0.90874,0.94133
1992,Single-person household,East,Yes,0.51717,148,296,0.46014,0.57419
1992,Single-person household,East,No,0.48283,148,296,0.42581,0.53986
1992,Couple without children,West,Yes,0.02558,33,1221,0.01672,0.03443
1992,Couple without children,West,No,0.96764,1188,1221,0.95771,0.97757
1992,Couple without children,East,Yes,0.15492,72,465,0.12200,0.18785
1992,Couple without children,East,No,0.84359,393,465,0.81054,0.87664
1992,Single parent,West,Yes,0.14503,40,268,0.10279,0.18726
1992,Single parent,West,No,0.84274,228,268,0.79907,0.88641
1992,Single parent,East,Yes,0.43068,52,122,0.34245,0.51891
1992,Single parent,East,No,0.56932,70,122,0.48109,0.65755
1992,Couple with children,West,Yes,0.06307,123,1938,0.05224,0.07389
1992,Couple with children,West,No,0.93473,1815,1938,0.92373,0.94573
1992,Couple with children,East,Yes,0.22375,206,953,0.19728,0.25022
1992,Couple with children,East,No,0.77210,747,953,0.74546,0.79875
1992,Multi-generational household,West,No,0.96578,100,100,0.92996,1.00159
1992,Other Combinations,West,No,0.95820,98,98,0.91838,0.99803
1992,Other Combinations,East,No,0.82202,50,50,0.71492,0.92912
1993,Single-person household,West,Yes,0.07571,71,1055,0.05974,0.09168
1993,Single-person household,West,No,0.91372,984,1055,0.89677,0.93067
1993,Single-person household,East,Yes,0.51562,153,300,0.45897,0.57226
1993,Single-person household,East,No,0.48438,147,300,0.42774,0.54103
1993,Couple without children,West,No,0.97978,1219,1219,0.97187,0.98768
1993,Couple without children,East,Yes,0.14049,71,476,0.10924,0.17175
1993,Couple without children,East,No,0.85860,405,476,0.82727,0.88994
1993,Single parent,West,Yes,0.13866,32,255,0.09616,0.18116
1993,Single parent,West,No,0.85876,223,255,0.81593,0.90159
1993,Single parent,East,Yes,0.43825,56,120,0.34911,0.52740
1993,Single parent,East,No,0.54590,64,120,0.45644,0.63536
1993,Couple with children,West,Yes,0.04977,103,1894,0.03998,0.05957
1993,Couple with children,West,No,0.94754,1791,1894,0.93749,0.95758
1993,Couple with children,East,Yes,0.26607,227,893,0.23707,0.29507
1993,Couple with children,East,No,0.73063,666,893,0.70152,0.75974
1993,Multi-generational household,West,No,0.97571,108,108,0.94654,1.00488
1993,Other Combinations,West,No,0.89130,102,102,0.83060,0.95201
1993,Other Combinations,East,No,0.76988,43,43,0.64258,0.89718
1994,Single-person household,West,Yes,0.06411,62,1042,0.04923,0.07899
1994,Single-person household,West,No,0.92970,980,1042,0.91417,0.94523
1994,Single-person household,East,Yes,0.34654,108,314,0.29382,0.39926
1994,Single-person household,East,No,0.65054,206,314,0.59771,0.70336
1994,Couple without children,West,No,0.97823,1250,1250,0.97014,0.98632
1994,Couple without children,East,Yes,0.10053,52,491,0.07391,0.12716
1994,Couple without children,East,No,0.89436,439,491,0.86715,0.92158
1994,Single parent,West,Yes,0.15898,35,251,0.11365,0.20431
1994,Single parent,West,No,0.83549,216,251,0.78954,0.88145
1994,Single parent,East,Yes,0.36931,43,107,0.27743,0.46118
1994,Single parent,East,No,0.63069,64,107,0.53882,0.72257
1994,Couple with children,West,Yes,0.05103,104,1839,0.04097,0.06109
1994,Couple with children,West,No,0.94498,1735,1839,0.93455,0.95540
1994,Couple with children,East,Yes,0.18443,146,851,0.15836,0.21050
1994,Couple with children,East,No,0.81486,705,851,0.78875,0.84097
1994,Multi-generational household,West,No,0.96412,96,96,0.92672,1.00152
1994,Multi-generational household,East,No,0.84678,31,31,0.71788,0.97567
1994,Other Combinations,West,No,0.92403,102,102,0.87236,0.97570
1994,Other Combinations,East,No,0.89728,50,50,0.81227,0.98228
1995,Single-person household,West,Yes,0.06017,63,1076,0.04595,0.07438
1995,Single-person household,West,No,0.93685,1013,1076,0.92231,0.95139
1995,Single-person household,East,Yes,0.24404,77,325,0.19727,0.29081
1995,Single-person household,East,No,0.75596,248,325,0.70919,0.80273
1995,Couple without children,West,No,0.98246,1299,1299,0.97532,0.98960
1995,Couple without children,East,No,0.94011,466,466,0.91855,0.96168
1995,Single parent,West,Yes,0.14590,40,263,0.10316,0.18865
1995,Single parent,West,No,0.84743,223,263,0.80389,0.89097
1995,Single parent,East,Yes,0.38665,46,112,0.29605,0.47724
