"year","bildungsniveau","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","(Fach-)Abitur","direkter Migrationshintergrund","169.41","168.5","441","158","163","176","182","192","168.54","170.28","140","202","168","170"
"2002","(Fach-)Abitur","indirekter Migrationshintergrund","172.71","171.5","129","160","168","180","186","195","171.09","174.33","152","196","170","174"
"2002","(Fach-)Abitur","kein Migrationshintergrund","173.76","173.5","1883","162","168","180","186","196","173.35","174.17","150","205","173","174"
"2002","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2002","(noch) kein Abschluss","direkter Migrationshintergrund","166.78","164.5","258","155","160","174","180","193","165.64","167.92","140","195","164","165"
"2002","(noch) kein Abschluss","indirekter Migrationshintergrund","171.94","169.5","87","160","165","180","184","195","169.87","174.01","156","195","165","172"
"2002","(noch) kein Abschluss","kein Migrationshintergrund","172.69","171.5","559","162","166","180","185","193","171.96","173.42","146","196","172","174"
"2002","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2002","AkademikerIn","direkter Migrationshintergrund","170.42","169.5","392","160","164","176","182","189","169.54","171.3","148","199","170","172"
"2002","AkademikerIn","indirekter Migrationshintergrund","175.03","174.5","66","165","170","180","186","189","173.03","177.03","160","190","170","176"
"2002","AkademikerIn","kein Migrationshintergrund","173.81","173.5","4089","162","168","180","186","195","173.53","174.09","139","204","173","174"
"2002","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2002","Hauptschule","direkter Migrationshintergrund","167.74","167.5","1437","156","162","174","180","189","167.29","168.19","146","198","167","168"
"2002","Hauptschule","indirekter Migrationshintergrund","171.27","169.5","260","160","164","178","185","192","170.18","172.36","150","193","168","170"
"2002","Hauptschule","kein Migrationshintergrund","169.64","168.5","7196","158","163","176","182","190","169.43","169.85","142","200","169","170"
"2002","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2002","Realschule","direkter Migrationshintergrund","169.66","169.5","226","160","165","175","179","186","168.56","170.76","148","196","168","170"
"2002","Realschule","indirekter Migrationshintergrund","171.86","172.5","205","158","165","180","183","192","170.64","173.08","150","194","170","174"
"2002","Realschule","kein Migrationshintergrund","171.8","170.5","5539","160","165","178","184","193","171.56","172.04","131","208","170","172"
