year,migback,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,No migration background,male,,,,,,,,,,,,
1984,No migration background,female,,,,,,,,,,,,
1984,Direct migration background,male,,,,,,,,,,,,
1984,Direct migration background,female,,,,,,,,,,,,
1984,Indirect migration background,male,,,,,,,,,,,,
1984,Indirect migration background,female,,,,,,,,,,,,
1985,No migration background,male,,,,,,,,,,,,
1985,No migration background,female,,,,,,,,,,,,
1985,Direct migration background,male,,,,,,,,,,,,
1985,Direct migration background,female,,,,,,,,,,,,
1985,Indirect migration background,male,,,,,,,,,,,,
1985,Indirect migration background,female,,,,,,,,,,,,
1986,No migration background,male,,,,,,,,,,,,
1986,No migration background,female,,,,,,,,,,,,
1986,Direct migration background,male,,,,,,,,,,,,
1986,Direct migration background,female,,,,,,,,,,,,
1986,Indirect migration background,male,,,,,,,,,,,,
1986,Indirect migration background,female,,,,,,,,,,,,
1987,No migration background,male,,,,,,,,,,,,
1987,No migration background,female,,,,,,,,,,,,
1987,Direct migration background,male,,,,,,,,,,,,
1987,Direct migration background,female,,,,,,,,,,,,
1987,Indirect migration background,male,,,,,,,,,,,,
1987,Indirect migration background,female,,,,,,,,,,,,
1988,No migration background,male,,,,,,,,,,,,
1988,No migration background,female,,,,,,,,,,,,
1988,Direct migration background,male,,,,,,,,,,,,
1988,Direct migration background,female,,,,,,,,,,,,
1988,Indirect migration background,male,,,,,,,,,,,,
1988,Indirect migration background,female,,,,,,,,,,,,
1989,No migration background,male,,,,,,,,,,,,
1989,No migration background,female,,,,,,,,,,,,
1989,Direct migration background,male,,,,,,,,,,,,
1989,Direct migration background,female,,,,,,,,,,,,
1989,Indirect migration background,male,,,,,,,,,,,,
1989,Indirect migration background,female,,,,,,,,,,,,
1990,No migration background,male,,,,,,,,,,,,
1990,No migration background,female,,,,,,,,,,,,
1990,Direct migration background,male,,,,,,,,,,,,
1990,Direct migration background,female,,,,,,,,,,,,
1990,Indirect migration background,male,,,,,,,,,,,,
1990,Indirect migration background,female,,,,,,,,,,,,
1991,No migration background,male,,,,,,,,,,,,
1991,No migration background,female,,,,,,,,,,,,
1991,Direct migration background,male,,,,,,,,,,,,
1991,Direct migration background,female,,,,,,,,,,,,
1991,Indirect migration background,male,,,,,,,,,,,,
1991,Indirect migration background,female,,,,,,,,,,,,
1992,No migration background,male,,,,,,,,,,,,
1992,No migration background,female,,,,,,,,,,,,
1992,Direct migration background,male,,,,,,,,,,,,
1992,Direct migration background,female,,,,,,,,,,,,
1992,Indirect migration background,male,,,,,,,,,,,,
1992,Indirect migration background,female,,,,,,,,,,,,
1993,No migration background,male,,,,,,,,,,,,
1993,No migration background,female,,,,,,,,,,,,
1993,Direct migration background,male,,,,,,,,,,,,
1993,Direct migration background,female,,,,,,,,,,,,
1993,Indirect migration background,male,,,,,,,,,,,,
1993,Indirect migration background,female,,,,,,,,,,,,
1994,No migration background,male,,,,,,,,,,,,
1994,No migration background,female,,,,,,,,,,,,
1994,Direct migration background,male,,,,,,,,,,,,
1994,Direct migration background,female,,,,,,,,,,,,
1994,Indirect migration background,male,,,,,,,,,,,,
1994,Indirect migration background,female,,,,,,,,,,,,
1995,No migration background,male,,,,,,,,,,,,
1995,No migration background,female,,,,,,,,,,,,
1995,Direct migration background,male,,,,,,,,,,,,
1995,Direct migration background,female,,,,,,,,,,,,
1995,Indirect migration background,male,,,,,,,,,,,,
1995,Indirect migration background,female,,,,,,,,,,,,
1996,No migration background,male,,,,,,,,,,,,
1996,No migration background,female,,,,,,,,,,,,
1996,Direct migration background,male,,,,,,,,,,,,
1996,Direct migration background,female,,,,,,,,,,,,
1996,Indirect migration background,male,,,,,,,,,,,,
1996,Indirect migration background,female,,,,,,,,,,,,
1997,No migration background,male,,,,,,,,,,,,
1997,No migration background,female,,,,,,,,,,,,
1997,Direct migration background,male,,,,,,,,,,,,
1997,Direct migration background,female,,,,,,,,,,,,
1997,Indirect migration background,male,,,,,,,,,,,,
1997,Indirect migration background,female,,,,,,,,,,,,
1998,No migration background,male,,,,,,,,,,,,
1998,No migration background,female,,,,,,,,,,,,
1998,Direct migration background,male,,,,,,,,,,,,
1998,Direct migration background,female,,,,,,,,,,,,
1998,Indirect migration background,male,,,,,,,,,,,,
1998,Indirect migration background,female,,,,,,,,,,,,
1999,No migration background,male,,,,,,,,,,,,
1999,No migration background,female,,,,,,,,,,,,
1999,Direct migration background,male,,,,,,,,,,,,
1999,Direct migration background,female,,,,,,,,,,,,
1999,Indirect migration background,male,,,,,,,,,,,,
1999,Indirect migration background,female,,,,,,,,,,,,
2000,No migration background,male,,,,,,,,,,,,
2000,No migration background,female,,,,,,,,,,,,
2000,Direct migration background,male,,,,,,,,,,,,
2000,Direct migration background,female,,,,,,,,,,,,
2000,Indirect migration background,male,,,,,,,,,,,,
2000,Indirect migration background,female,,,,,,,,,,,,
2001,No migration background,male,,,,,,,,,,,,
2001,No migration background,female,,,,,,,,,,,,
2001,Direct migration background,male,,,,,,,,,,,,
2001,Direct migration background,female,,,,,,,,,,,,
2001,Indirect migration background,male,,,,,,,,,,,,
2001,Indirect migration background,female,,,,,,,,,,,,
2002,No migration background,male,177.7740310949184,177.70346221734957,177.84459997248723,173.0,178.0,182.0,159.5,195.5,178.0,178.0,178.0,9379.0
2002,No migration background,female,165.31126614647332,165.25090515000764,165.371627142939,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0,10025.0
2002,Direct migration background,male,174.4862837195285,174.3018619101333,174.6707055289237,170.0,175.0,179.0,156.5,192.5,175.0,175.0,176.0,1358.0
2002,Direct migration background,female,162.87211060288567,162.71166242287094,163.0325587829004,159.0,163.0,168.0,145.5,181.5,163.0,162.0,163.0,1433.0
2002,Indirect migration background,male,178.20409394568787,177.8436215765642,178.56456631481154,173.0,179.1494242733927,183.0,160.0,196.0,179.0,178.0,180.0,362.0
2002,Indirect migration background,female,166.1127586621208,165.79842133965437,166.42709598458723,160.0,167.0,170.0,150.0,185.0,167.0,166.0,169.0,402.0
2003,No migration background,male,,,,,,,,,,,,
2003,No migration background,female,,,,,,,,,,,,
2003,Direct migration background,male,,,,,,,,,,,,
2003,Direct migration background,female,,,,,,,,,,,,
2003,Indirect migration background,male,,,,,,,,,,,,
2003,Indirect migration background,female,,,,,,,,,,,,
2004,No migration background,male,177.9191044523364,177.84537403862421,177.99283486604858,173.0,178.0,183.0,158.0,198.0,178.0,178.0,178.0,8754.0
2004,No migration background,female,165.33342061425785,165.27008945070645,165.39675177780924,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0,9453.0
2004,Direct migration background,male,174.75205280714087,174.55415813143816,174.94994748284358,170.0,174.0,180.0,155.0,195.0,174.0,173.0,174.0,1212.0
2004,Direct migration background,female,162.6924982361702,162.52180904455508,162.8631874277853,158.0,163.0,167.0,144.5,180.5,163.0,162.975,164.0,1308.0
2004,Indirect migration background,male,178.4144504620809,178.0499100030256,178.77899092113623,172.9217735845596,179.0,184.0,160.0,199.0,179.0,178.0,180.0,376.0
2004,Indirect migration background,female,166.22524409095283,165.92251982742349,166.52796835448217,162.0,167.0,170.0,150.0,182.0,167.0,166.0,169.0,414.0
2005,No migration background,male,,,,,,,,,,,,
2005,No migration background,female,,,,,,,,,,,,
2005,Direct migration background,male,,,,,,,,,,,,
2005,Direct migration background,female,,,,,,,,,,,,
2005,Indirect migration background,male,,,,,,,,,,,,
2005,Indirect migration background,female,,,,,,,,,,,,
2006,No migration background,male,178.16117736962352,178.08828861349372,178.23406612575332,173.0,178.0,183.0,158.0,198.0,178.0,178.0,178.0,8954.0
2006,No migration background,female,165.37890985637594,165.31628879194952,165.44153092080236,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0,9769.0
2006,Direct migration background,male,175.04907521501374,174.8324544589482,175.26569597107928,170.0,175.0,180.0,155.0,195.0,175.0,175.0,176.0,1100.0
2006,Direct migration background,female,162.80657276677013,162.63190665479914,162.98123887874112,158.0,163.0,167.0,144.5,180.5,163.0,162.0,163.0,1273.0
2006,Indirect migration background,male,178.68657149312676,178.3012589442109,179.07188404204263,173.0,178.0,185.0,160.0,198.0,178.0,176.0,178.0,387.0
2006,Indirect migration background,female,165.84049870305697,165.54436172608249,166.13663568003145,160.0,165.1892015669698,170.0,150.0,184.0,166.0,165.0,167.0,423.0
2007,No migration background,male,,,,,,,,,,,,
2007,No migration background,female,,,,,,,,,,,,
2007,Direct migration background,male,,,,,,,,,,,,
2007,Direct migration background,female,,,,,,,,,,,,
2007,Indirect migration background,male,,,,,,,,,,,,
2007,Indirect migration background,female,,,,,,,,,,,,
2008,No migration background,male,178.3775082673188,178.29641328771757,178.45860324692003,174.0,178.0,183.0,160.5,196.5,178.0,178.0,178.0,7940.0
2008,No migration background,female,165.51003975251555,165.4436370946662,165.5764424103649,161.0,165.0,170.0,147.5,183.5,165.0,165.0,165.0,8652.0
2008,Direct migration background,male,174.9904685078132,174.75169269433246,175.22924432129395,170.0,175.0,180.0,155.0,195.0,175.0,175.0,176.0,880.0
2008,Direct migration background,female,162.76858119977248,162.57194914019075,162.96521325935421,158.0,163.0,167.0,144.5,180.5,163.0,162.0,164.0,1025.0
