"year","bildungsniveau","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2002","(Fach-)Abitur","maennlich","179.6","179.5","1142","171","175","185","189","197","179.19","180.01","158","205","180","180"
"2002","(Fach-)Abitur","weiblich","166.55","166.5","1311","158","163","170","175","181","166.2","166.9","140","190","167","168"
"2002","(noch) kein Abschluss","maennlich","176.42","176.5","424","165","171","182","186","195","175.64","177.2","146","196","176","178"
"2002","(noch) kein Abschluss","weiblich","164.72","164.5","480","155","160","169","173","180","164.09","165.35","140","191","165","165"
"2002","AkademikerIn","maennlich","178.74","178.5","2596","170","174","183","188","196","178.48","179","156","204","178","180"
"2002","AkademikerIn","weiblich","165.95","165.5","1951","158","162","170","174","180","165.67","166.23","139","190","166","167"
"2002","Hauptschule","maennlich","175.65","174.5","4286","167","170","180","185","193","175.44","175.86","150","200","175","176"
"2002","Hauptschule","weiblich","163.74","163.5","4607","156","160","168","172","178","163.56","163.92","142","190","164","164"
"2002","Realschule","maennlich","178.68","177.5","2552","170","174","183","187","196","178.41","178.95","155","208","178","179"
"2002","Realschule","weiblich","166.2","165.5","3418","158","162","170","174","180","165.99","166.41","131","196","166","167"
"2003","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2003","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2003","(noch) kein Abschluss","maennlich","","","","","","","","","","","","","",""
"2003","(noch) kein Abschluss","weiblich","","","","","","","","","","","","","",""
"2003","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2003","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2003","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2003","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2003","Realschule","maennlich","","","","","","","","","","","","","",""
"2003","Realschule","weiblich","","","","","","","","","","","","","",""
"2004","(Fach-)Abitur","maennlich","179.55","179.5","1086","171","175","184","189","197","179.1","180","100","205","180","180"
"2004","(Fach-)Abitur","weiblich","166.51","166.5","1304","158","162","171","175","182","166.15","166.87","141","190","167","168"
"2004","(noch) kein Abschluss","maennlich","177.2","177.5","423","167","171","183","187","194","176.4","178","154","203","177","180"
"2004","(noch) kein Abschluss","weiblich","164.21","164.5","483","155","160","169","173","180","163.58","164.84","140","185","165","166"
"2004","AkademikerIn","maennlich","178.6","178.5","2413","170","174","183","188","196","178.32","178.88","123","203","178","180"
"2004","AkademikerIn","weiblich","166.01","165.5","1870","158","162","170","174","180","165.72","166.3","139","187","166","167"
"2004","Hauptschule","maennlich","175.77","175.5","3878","167","170","180","185","194","175.54","176","152","204","175","176"
"2004","Hauptschule","weiblich","163.7","163.5","4154","156","160","168","172","178","163.51","163.89","140","189","164","164"
"2004","Realschule","maennlich","178.9","177.5","2383","170","174","183","188","196","178.62","179.18","139","210","178","180"
"2004","Realschule","weiblich","166.21","165.5","3213","158","162","170","174","180","165.99","166.43","132","188","166","167"
"2005","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2005","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2005","(noch) kein Abschluss","maennlich","","","","","","","","","","","","","",""
"2005","(noch) kein Abschluss","weiblich","","","","","","","","","","","","","",""
"2005","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2005","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2005","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2005","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2005","Realschule","maennlich","","","","","","","","","","","","","",""
"2005","Realschule","weiblich","","","","","","","","","","","","","",""
"2006","(Fach-)Abitur","maennlich","179.7","179.5","1061","170","175","185","189","196","179.27","180.13","155","209","179","180"
"2006","(Fach-)Abitur","weiblich","166.64","166.5","1388","158","162","171","175","182","166.29","166.99","140","190","167","168"
"2006","(noch) kein Abschluss","maennlich","176.95","177.5","304","165","171","183","188","194","176.03","177.87","157","204","178","180"
"2006","(noch) kein Abschluss","weiblich","163.92","164.5","344","154","160","169","174","180","163.14","164.7","138","183","165","166"
"2006","AkademikerIn","maennlich","178.97","178.5","2548","170","174","184","188","198","178.7","179.24","123","204","179","180"
"2006","AkademikerIn","weiblich","166.18","166.5","2021","158","162","170","175","180","165.9","166.46","139","191","166","167"
"2006","Hauptschule","maennlich","175.95","175.5","3899","167","171","180","185","193","175.73","176.17","120","204","175","176"
"2006","Hauptschule","weiblich","163.63","163.5","4182","156","160","168","172","178","163.44","163.82","120","194","164","164"
"2006","Realschule","maennlich","179.1","178.5","2411","170","175","184","188","196","178.82","179.38","158","208","178","180"
"2006","Realschule","weiblich","166.06","165.5","3322","158","162","170","174","181","165.84","166.28","131","188","166","167"
"2007","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","maennlich","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","weiblich","","","","","","","","","","","","","",""
"2007","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2007","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2007","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2007","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2007","Realschule","maennlich","","","","","","","","","","","","","",""
"2007","Realschule","weiblich","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","maennlich","179.76","179.5","964","170","175","185","190","196","179.31","180.21","159","204","180","180"
"2008","(Fach-)Abitur","weiblich","166.66","166.5","1203","158","162","171","175","183","166.28","167.04","140","190","167","168"
"2008","(noch) kein Abschluss","maennlich","176.86","177.5","251","165","170","184","187","197","175.75","177.97","120","200","178","180"
"2008","(noch) kein Abschluss","weiblich","165.21","164.5","294","155","160","170","175","183","164.37","166.05","135","187","165","168"
"2008","AkademikerIn","maennlich","179.08","178.5","2292","170","174","184","188","197","178.78","179.38","82","207","178","180"
"2008","AkademikerIn","weiblich","166.48","166.5","1896","158","162","170","175","180","166.19","166.77","127","190","167","168"
"2008","Hauptschule","maennlich","176.09","175.5","3287","167","171","180","186","195","175.84","176.34","95","204","175","176"
"2008","Hauptschule","weiblich","163.64","163.5","3505","156","160","168","172","179","163.43","163.85","142","196","164","164"
"2008","Realschule","maennlich","179.23","179.5","2154","170","175","184","188","198","178.91","179.55","84","208","178","180"
"2008","Realschule","weiblich","165.95","164.5","2941","158","162","170","174","181","165.72","166.18","131","188","165","166"
"2009","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","maennlich","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","weiblich","","","","","","","","","","","","","",""
"2009","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2009","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2009","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2009","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2009","Realschule","maennlich","","","","","","","","","","","","","",""
"2009","Realschule","weiblich","","","","","","","","","","","","","",""
"2010","(Fach-)Abitur","maennlich","179.87","179.5","847","170","176","185","190","196","179.39","180.35","159","205","180","180"
"2010","(Fach-)Abitur","weiblich","166.88","166.5","1046","158","163","171","175","183","166.48","167.28","140","188","167","168"
"2010","(noch) kein Abschluss","maennlich","177.69","178.5","216","167","172","183","189","200","176.59","178.79","157","202","178","180"
"2010","(noch) kein Abschluss","weiblich","164.77","164.5","201","155","160","170","175","182","163.73","165.81","138","189","164","167"
"2010","AkademikerIn","maennlich","178.73","177.5","2059","170","174","183","187","195","178.43","179.03","153","210","178","179"
"2010","AkademikerIn","weiblich","166.24","165.5","1766","158","162","170","174","180","165.94","166.54","130","190","166","167"
"2010","Hauptschule","maennlich","175.85","175.5","2687","167","171","180","185","195","175.57","176.13","82","200","175","176"
"2010","Hauptschule","weiblich","163.36","163.5","2887","156","159","168","171","180","163.13","163.59","142","198","164","164"
"2010","Realschule","maennlich","179.25","178.5","1873","170","175","184","188","198","178.93","179.57","157","208","178","180"
"2010","Realschule","weiblich","166.17","165.5","2574","158","162","170","175","182","165.92","166.42","101","188","165","167"
"2011","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
