year,regtyp,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1985,Urban regions,male,,,,,,,,,,,,
1985,Urban regions,female,,,,,,,,,,,,
1985,Rural regions,male,,,,,,,,,,,,
1985,Rural regions,female,,,,,,,,,,,,
1986,Urban regions,male,,,,,,,,,,,,
1986,Urban regions,female,,,,,,,,,,,,
1986,Rural regions,male,,,,,,,,,,,,
1986,Rural regions,female,,,,,,,,,,,,
1987,Urban regions,male,,,,,,,,,,,,
1987,Urban regions,female,,,,,,,,,,,,
1987,Rural regions,male,,,,,,,,,,,,
1987,Rural regions,female,,,,,,,,,,,,
1988,Urban regions,male,,,,,,,,,,,,
1988,Urban regions,female,,,,,,,,,,,,
1988,Rural regions,male,,,,,,,,,,,,
1988,Rural regions,female,,,,,,,,,,,,
1989,Urban regions,male,,,,,,,,,,,,
1989,Urban regions,female,,,,,,,,,,,,
1989,Rural regions,male,,,,,,,,,,,,
1989,Rural regions,female,,,,,,,,,,,,
1990,Urban regions,male,,,,,,,,,,,,
1990,Urban regions,female,,,,,,,,,,,,
1990,Rural regions,male,,,,,,,,,,,,
1990,Rural regions,female,,,,,,,,,,,,
1991,Urban regions,male,,,,,,,,,,,,
1991,Urban regions,female,,,,,,,,,,,,
1991,Rural regions,male,,,,,,,,,,,,
1991,Rural regions,female,,,,,,,,,,,,
1992,Urban regions,male,,,,,,,,,,,,
1992,Urban regions,female,,,,,,,,,,,,
1992,Rural regions,male,,,,,,,,,,,,
1992,Rural regions,female,,,,,,,,,,,,
1993,Urban regions,male,,,,,,,,,,,,
1993,Urban regions,female,,,,,,,,,,,,
1993,Rural regions,male,,,,,,,,,,,,
1993,Rural regions,female,,,,,,,,,,,,
1994,Urban regions,male,,,,,,,,,,,,
1994,Urban regions,female,,,,,,,,,,,,
1994,Rural regions,male,,,,,,,,,,,,
1994,Rural regions,female,,,,,,,,,,,,
1995,Urban regions,male,,,,,,,,,,,,
1995,Urban regions,female,,,,,,,,,,,,
1995,Rural regions,male,,,,,,,,,,,,
1995,Rural regions,female,,,,,,,,,,,,
1996,Urban regions,male,,,,,,,,,,,,
1996,Urban regions,female,,,,,,,,,,,,
1996,Rural regions,male,,,,,,,,,,,,
1996,Rural regions,female,,,,,,,,,,,,
1997,Urban regions,male,,,,,,,,,,,,
1997,Urban regions,female,,,,,,,,,,,,
1997,Rural regions,male,,,,,,,,,,,,
1997,Rural regions,female,,,,,,,,,,,,
1998,Urban regions,male,,,,,,,,,,,,
1998,Urban regions,female,,,,,,,,,,,,
1998,Rural regions,male,,,,,,,,,,,,
1998,Rural regions,female,,,,,,,,,,,,
1999,Urban regions,male,,,,,,,,,,,,
1999,Urban regions,female,,,,,,,,,,,,
1999,Rural regions,male,,,,,,,,,,,,
1999,Rural regions,female,,,,,,,,,,,,
2000,Urban regions,male,,,,,,,,,,,,
2000,Urban regions,female,,,,,,,,,,,,
2000,Rural regions,male,,,,,,,,,,,,
2000,Rural regions,female,,,,,,,,,,,,
2001,Urban regions,male,,,,,,,,,,,,
2001,Urban regions,female,,,,,,,,,,,,
2001,Rural regions,male,,,,,,,,,,,,
2001,Rural regions,female,,,,,,,,,,,,
2002,Urban regions,male,177.5511198364172,177.46998362387401,177.6322560489604,172.0,178.0,182.0,157.0,197.0,178.0,178.0,178.0,7336.0
2002,Urban regions,female,165.00324713253966,164.9342894112623,165.072204853817,160.0,165.0,169.0,146.5,182.5,165.0,165.0,165.0,7894.0
2002,Rural regions,male,176.9631817465534,176.85211217878074,177.07425131432606,172.0,177.0,182.0,157.0,197.0,177.0,176.0,178.0,3763.0
2002,Rural regions,female,165.05331955826816,164.9570416573162,165.1495974592201,160.0,165.0,169.0,146.5,182.5,165.0,165.0,165.0,3966.0
2003,Urban regions,male,,,,,,,,,,,,
2003,Urban regions,female,,,,,,,,,,,,
2003,Rural regions,male,,,,,,,,,,,,
2003,Rural regions,female,,,,,,,,,,,,
2004,Urban regions,male,177.77231158259264,177.6874903168973,177.85713284828796,173.0,178.0,183.0,158.0,198.0,178.0,178.0,178.0,6839.0
2004,Urban regions,female,165.05721970808264,164.98456643999143,165.12987297617386,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0,7443.0
2004,Rural regions,male,176.9877452953494,176.87159695273226,177.10389363796656,172.0,177.0,181.0,158.5,194.5,177.0,176.0,178.0,3503.0
2004,Rural regions,female,164.9340579523173,164.8339435614922,165.0341723431424,160.0,165.0,169.0,146.5,182.5,165.0,165.0,165.0,3732.0
2005,Urban regions,male,,,,,,,,,,,,
2005,Urban regions,female,,,,,,,,,,,,
2005,Rural regions,male,,,,,,,,,,,,
2005,Rural regions,female,,,,,,,,,,,,
2006,Urban regions,male,177.91579347717635,177.8311598316875,178.0004271226652,173.0,178.0,183.0,158.0,198.0,178.0,178.0,178.0,6857.0
2006,Urban regions,female,165.05497487762128,164.98287367973583,165.12707607550672,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0,7547.0
2006,Rural regions,male,177.51039991609807,177.392025488732,177.62877434346413,173.0,178.0,182.0,159.5,195.5,178.0,178.0,178.0,3584.0
2006,Rural regions,female,165.0413389820414,164.94201259303676,165.14066537104603,160.0,165.0,169.0,146.5,182.5,165.0,165.0,165.0,3918.0
2007,Urban regions,male,,,,,,,,,,,,
2007,Urban regions,female,,,,,,,,,,,,
2007,Rural regions,male,,,,,,,,,,,,
2007,Rural regions,female,,,,,,,,,,,,
2008,Urban regions,male,177.95719402023607,177.86123375960202,178.05315428087013,173.0,178.0,183.0,158.0,198.0,178.0,178.0,178.0,5984.0
2008,Urban regions,female,165.19769574196036,165.12025932542605,165.27513215849467,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0,6644.0
2008,Rural regions,male,177.94152213608444,177.81732062683108,178.0657236453378,173.0,178.0,183.0,158.0,198.0,178.0,178.0,178.0,3201.0
2008,Rural regions,female,165.10682218606695,165.00234515114553,165.21129922098837,160.0,165.0,169.0,146.5,182.5,165.0,165.0,165.0,3432.0
2009,Urban regions,male,,,,,,,,,,,,
2009,Urban regions,female,,,,,,,,,,,,
2009,Rural regions,male,,,,,,,,,,,,
2009,Rural regions,female,,,,,,,,,,,,
2010,Urban regions,male,178.09412045558625,177.9907260150937,178.1975148960788,173.0,178.0,183.0,158.0,198.0,178.0,178.0,178.0,5139.0
2010,Urban regions,female,165.21191657874866,165.12764278291135,165.29619037458596,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0,5721.0
2010,Rural regions,male,177.59876136226998,177.46483584312813,177.73268688141184,173.0,178.0,182.0,159.5,195.5,178.0,178.0,179.0,2761.0
2010,Rural regions,female,164.94659706205613,164.83353426314278,165.05965986096948,160.0,165.0,169.0,146.5,182.5,165.0,165.0,165.0,2958.0
2011,Urban regions,male,,,,,,,,,,,,
2011,Urban regions,female,,,,,,,,,,,,
2011,Rural regions,male,,,,,,,,,,,,
2011,Rural regions,female,,,,,,,,,,,,
