"year","migback","mean","median","n","lower_confidence","upper_confidence"
"2002","direkter Migrationshintergrund","168.52","167.5","2791","168.19","168.85"
"2002","indirekter Migrationshintergrund","171.98","170.5","768","171.34","172.62"
"2002","kein Migrationshintergrund","171.36","169.5","19400","171.23","171.49"
"2003","direkter Migrationshintergrund","","","","",""
"2003","indirekter Migrationshintergrund","","","","",""
"2003","kein Migrationshintergrund","","","","",""
"2004","direkter Migrationshintergrund","168.57","167.5","2520","168.22","168.92"
"2004","indirekter Migrationshintergrund","172.34","171.5","797","171.7","172.98"
"2004","kein Migrationshintergrund","171.45","170.5","18200","171.32","171.58"
"2005","direkter Migrationshintergrund","","","","",""
"2005","indirekter Migrationshintergrund","","","","",""
"2005","kein Migrationshintergrund","","","","",""
"2006","direkter Migrationshintergrund","168.62","167.5","2373","168.25","168.99"
"2006","indirekter Migrationshintergrund","172.36","171.5","816","171.71","173.01"
"2006","kein Migrationshintergrund","171.61","170.5","18717","171.48","171.74"
"2007","direkter Migrationshintergrund","","","","",""
"2007","indirekter Migrationshintergrund","","","","",""
"2007","kein Migrationshintergrund","","","","",""
"2008","direkter Migrationshintergrund","168.61","167.5","1905","168.2","169.02"
"2008","indirekter Migrationshintergrund","172.12","170.5","768","171.46","172.78"
"2008","kein Migrationshintergrund","171.78","170.5","16588","171.64","171.92"
"2009","direkter Migrationshintergrund","","","","",""
"2009","indirekter Migrationshintergrund","","","","",""
"2009","kein Migrationshintergrund","","","","",""
"2010","direkter Migrationshintergrund","168.48","167.5","1467","168.02","168.94"
"2010","indirekter Migrationshintergrund","173.11","171.5","651","172.39","173.83"
"2010","kein Migrationshintergrund","171.8","171.5","14461","171.65","171.95"
"2011","direkter Migrationshintergrund","","","","",""
"2011","indirekter Migrationshintergrund","","","","",""
"2011","kein Migrationshintergrund","","","","",""
"2012","direkter Migrationshintergrund","168.99","167.5","1935","168.58","169.4"
"2012","indirekter Migrationshintergrund","172.5","171.5","789","171.85","173.15"
"2012","kein Migrationshintergrund","171.85","171.5","17700","171.71","171.99"
"2013","direkter Migrationshintergrund","","","","",""
"2013","indirekter Migrationshintergrund","","","","",""
"2013","kein Migrationshintergrund","","","","",""
"2014","direkter Migrationshintergrund","169.36","169.5","5100","169.1","169.62"
"2014","indirekter Migrationshintergrund","172.69","171.5","1780","172.24","173.14"
"2014","kein Migrationshintergrund","172.04","171.5","20116","171.91","172.17"
"2015","direkter Migrationshintergrund","","","","",""
"2015","indirekter Migrationshintergrund","","","","",""
"2015","kein Migrationshintergrund","","","","",""
"2016","direkter Migrationshintergrund","169.41","168.5","4753","169.14","169.68"
"2016","indirekter Migrationshintergrund","172.51","170.5","1535","172.02","173"
"2016","kein Migrationshintergrund","172.25","171.5","17770","172.11","172.39"
"2017","direkter Migrationshintergrund","","","","",""
"2017","indirekter Migrationshintergrund","","","","",""
"2017","kein Migrationshintergrund","","","","",""
"2018","direkter Migrationshintergrund","169.28","168.5","7518","169.07","169.49"
"2018","indirekter Migrationshintergrund","172.02","170.5","1707","171.56","172.48"
"2018","kein Migrationshintergrund","172.44","171.5","19437","172.3","172.58"
"2019","direkter Migrationshintergrund","","","","",""
"2019","indirekter Migrationshintergrund","","","","",""
"2019","kein Migrationshintergrund","","","","",""
"2020","direkter Migrationshintergrund","169.55","169.5","5394","169.29","169.81"
"2020","indirekter Migrationshintergrund","172.02","171.5","1670","171.55","172.49"
"2020","kein Migrationshintergrund","172.58","171.5","18602","172.44","172.72"
