"year","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2002","171.01","169.5","22959","170.89","171.13"
"2003","","","","",""
"2004","171.11","169.5","21517","170.99","171.23"
"2005","","","","",""
"2006","171.24","169.5","21906","171.12","171.36"
"2007","","","","",""
"2008","171.39","169.5","19261","171.26","171.52"
"2009","","","","",""
"2010","171.44","170.5","16579","171.3","171.58"
"2011","","","","",""
"2012","171.51","170.5","20424","171.38","171.64"
"2013","","","","",""
"2014","171.69","170.5","26996","171.58","171.8"
"2015","","","","",""
"2016","171.84","171.5","24058","171.72","171.96"
"2017","","","","",""
"2018","171.91","171.5","28662","171.8","172.02"
"2019","","","","",""
"2020","172.11","171.5","25666","171.99","172.23"
