"year","age_gr","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","17-34","Laendlicher Raum","173.84","173.5","2097","163","168","180","185","195","173.46","174.22","146","204","173","174"
"2002","17-34","Staedtischer Raum","173.9","173.5","4014","162","168","180","186","196","173.61","174.19","146","208","173","173"
"2002","35-65","Laendlicher Raum","171.13","169.5","4440","160","165","178","183","191","170.87","171.39","140","200","170","171"
"2002","35-65","Staedtischer Raum","171.36","169.5","8833","160","165","178","184","193","171.17","171.55","131","203","170","171"
"2002","66 +","Laendlicher Raum","166.57","164.5","1226","156","160","172","178","185","166.11","167.03","140","196","166","168"
"2002","66 +","Staedtischer Raum","166.96","166.5","2349","156","160","173","178","186","166.62","167.3","142","198","167","168"
"2003","17-34","Laendlicher Raum","","","","","","","","","","","","","",""
"2003","17-34","Staedtischer Raum","","","","","","","","","","","","","",""
"2003","35-65","Laendlicher Raum","","","","","","","","","","","","","",""
"2003","35-65","Staedtischer Raum","","","","","","","","","","","","","",""
"2003","66 +","Laendlicher Raum","","","","","","","","","","","","","",""
"2003","66 +","Staedtischer Raum","","","","","","","","","","","","","",""
"2004","17-34","Laendlicher Raum","173.64","172.5","1902","162","167","180","186","195","173.23","174.05","140","204","172","174"
"2004","17-34","Staedtischer Raum","174.2","173.5","3679","162","168","180","186","196","173.89","174.51","100","210","173","174"
"2004","35-65","Laendlicher Raum","171.25","169.5","4075","160","165","178","183","192","170.98","171.52","141","203","170","171"
"2004","35-65","Staedtischer Raum","171.56","170.5","8125","160","165","178","184","193","171.36","171.76","123","203","171","172"
"2004","66 +","Laendlicher Raum","166.81","165.5","1290","157","161","172","178","187","166.36","167.26","140","196","167","168"
"2004","66 +","Staedtischer Raum","167.15","166.5","2446","156","160","173","178","186","166.82","167.48","140","196","168","168"
"2005","17-34","Laendlicher Raum","","","","","","","","","","","","","",""
"2005","17-34","Staedtischer Raum","","","","","","","","","","","","","",""
"2005","35-65","Laendlicher Raum","","","","","","","","","","","","","",""
"2005","35-65","Staedtischer Raum","","","","","","","","","","","","","",""
"2005","66 +","Laendlicher Raum","","","","","","","","","","","","","",""
"2005","66 +","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","17-34","Laendlicher Raum","173.82","172.5","1752","162","167","180","186","195","173.38","174.26","115","204","173","174"
"2006","17-34","Staedtischer Raum","173.86","173.5","3353","161","167","180","186","195","173.54","174.18","143","209","173","174"
"2006","35-65","Laendlicher Raum","171.65","170.5","4233","160","165","178","183","193","171.38","171.92","140","204","170","172"
"2006","35-65","Staedtischer Raum","171.84","171.5","8159","160","165","178","185","193","171.64","172.04","120","203","171","172"
"2006","66 +","Laendlicher Raum","166.93","166.5","1545","156","160","173","178","187","166.5","167.36","123","195","167","168"
"2006","66 +","Staedtischer Raum","167.35","166.5","2864","156","160","173","180","186","167.04","167.66","140","195","168","168"
"2007","17-34","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","17-34","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","35-65","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","35-65","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","66 +","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","66 +","Staedtischer Raum","","","","","","","","","","","","","",""
"2008","17-34","Laendlicher Raum","174.05","173.5","1477","162","167","180","187","196","173.56","174.54","138","204","173","174"
"2008","17-34","Staedtischer Raum","173.72","173.5","2854","160","167","180","186","196","173.37","174.07","120","208","173","174"
"2008","35-65","Laendlicher Raum","171.85","171.5","3697","160","165","178","184","194","171.56","172.14","127","204","170","172"
"2008","35-65","Staedtischer Raum","172.02","171.5","6953","160","165","179","185","194","171.8","172.24","84","203","171","172"
"2008","66 +","Laendlicher Raum","167.59","166.5","1488","157","162","174","179","188","167.16","168.02","138","196","168","168"
"2008","66 +","Staedtischer Raum","167.67","167.5","2792","156","161","174","180","188","167.34","168","82","196","168","168"
"2009","17-34","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","17-34","Staedtischer Raum","","","","","","","","","","","","","",""
"2009","35-65","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","35-65","Staedtischer Raum","","","","","","","","","","","","","",""
"2009","66 +","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","66 +","Staedtischer Raum","","","","","","","","","","","","","",""
"2010","17-34","Laendlicher Raum","174.5","174.5","1180","162","168","180","187","196","173.96","175.04","140","203","173","175"
"2010","17-34","Staedtischer Raum","174.81","174.5","2362","163","168","182","186","198","174.42","175.2","87","210","173","174"
"2010","35-65","Laendlicher Raum","171.73","170.5","3178","160","165","178","184","194","171.41","172.05","101","205","170","172"
"2010","35-65","Staedtischer Raum","172.12","171.5","5869","160","165","179","185","193","171.88","172.36","82","208","171","172"
"2010","66 +","Laendlicher Raum","167.75","166.5","1387","158","162","174","179","187","167.3","168.2","138","198","168","168"
"2010","66 +","Staedtischer Raum","167.61","167.5","2603","156","160","174","180","187","167.27","167.95","112","197","168","168"
"2011","17-34","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","17-34","Staedtischer Raum","","","","","","","","","","","","","",""
"2011","35-65","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","35-65","Staedtischer Raum","","","","","","","","","","","","","",""
"2011","66 +","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","66 +","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","17-34","Laendlicher Raum","173.86","172.5","1339","162","167","180","187","196","173.34","174.38","127","204","172","174"
"2012","17-34","Staedtischer Raum","174.38","173.5","2768","162","168","181","186","198","174.02","174.74","118","217","173","174"
"2012","35-65","Laendlicher Raum","171.96","171.5","4212","160","165","178","184","194","171.68","172.24","117","205","170","172"
"2012","35-65","Staedtischer Raum","172.42","171.5","6937","160","165","179","185","194","172.2","172.64","80","203","171","172"
"2012","66 +","Laendlicher Raum","167.87","167.5","1878","157","162","174","180","188","167.47","168.27","143","198","168","168"
"2012","66 +","Staedtischer Raum","167.69","167.5","3290","157","161","174","180","187","167.39","167.99","116","198","168","168"
"2013","17-34","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","17-34","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","35-65","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","35-65","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","66 +","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","66 +","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","17-34","Laendlicher Raum","173.66","172.5","2095","161","167","180","186","196","173.25","174.07","139","205","172","173"
"2014","17-34","Staedtischer Raum","174.12","173.5","4417","162","167","180","187","198","173.82","174.42","93","217","172","173"
"2014","35-65","Laendlicher Raum","172.24","171.5","5563","160","165","179","185","193","171.99","172.49","116","205","170","172"
"2014","35-65","Staedtischer Raum","172.55","171.5","9986","160","165","180","185","195","172.36","172.74","107","207","171","172"
"2014","66 +","Laendlicher Raum","167.97","167.5","1787","158","162","175","180","189","167.55","168.39","116","196","168","168"
"2014","66 +","Staedtischer Raum","167.82","167.5","3148","157","161","174","180","188","167.51","168.13","117","198","168","168"
"2015","17-34","Laendlicher Raum","","","","","","","","","","","","","",""
"2015","17-34","Staedtischer Raum","","","","","","","","","","","","","",""
"2015","35-65","Laendlicher Raum","","","","","","","","","","","","","",""
"2015","35-65","Staedtischer Raum","","","","","","","","","","","","","",""
"2015","66 +","Laendlicher Raum","","","","","","","","","","","","","",""
"2015","66 +","Staedtischer Raum","","","","","","","","","","","","","",""
"2016","17-34","Laendlicher Raum","173.79","172.5","1781","161","166","180","187","196","173.34","174.24","115","202","172","173"
"2016","17-34","Staedtischer Raum","174.39","173.5","3753","162","168","181","186","198","174.07","174.71","117","220","172","173"
"2016","35-65","Laendlicher Raum","172.32","171.5","4968","160","165","178","185","194","172.06","172.58","128","205","171","172"
"2016","35-65","Staedtischer Raum","172.68","171.5","8866","160","165","180","185","194","172.48","172.88","116","206","171","172"
"2016","66 +","Laendlicher Raum","167.89","167.5","1741","157","162","174","180","189","167.47","168.31","145","204","168","169"
"2016","66 +","Staedtischer Raum","168.01","167.5","2949","157","162","175","180","188","167.68","168.34","117","202","168","169"
"2017","17-34","Laendlicher Raum","","","","","","","","","","","","","",""
"2017","17-34","Staedtischer Raum","","","","","","","","","","","","","",""
"2017","35-65","Laendlicher Raum","","","","","","","","","","","","","",""
"2017","35-65","Staedtischer Raum","","","","","","","","","","","","","",""
"2017","66 +","Laendlicher Raum","","","","","","","","","","","","","",""
"2017","66 +","Staedtischer Raum","","","","","","","","","","","","","",""
"2018","17-34","Laendlicher Raum","173.71","172.5","2291","161","166","180","187","195","173.31","174.11","140","203","171","172"
"2018","17-34","Staedtischer Raum","173.98","173.5","5250","161","166","181","187","197","173.71","174.25","116","215","172","173"
"2018","35-65","Laendlicher Raum","172.64","171.5","5681","160","165","180","185","195","172.39","172.89","105","208","171","172"
"2018","35-65","Staedtischer Raum","172.94","171.5","10456","160","166","180","186","195","172.76","173.12","120","207","171","172"
"2018","66 +","Laendlicher Raum","168.18","167.5","1836","158","162","175","180","188","167.77","168.59","142","196","168","169"
"2018","66 +","Staedtischer Raum","168.02","167.5","3148","157","161","175","180","188","167.7","168.34","116","202","168","170"
"2019","17-34","Laendlicher Raum","","","","","","","","","","","","","",""
"2019","17-34","Staedtischer Raum","","","","","","","","","","","","","",""
"2019","35-65","Laendlicher Raum","","","","","","","","","","","","","",""
"2019","35-65","Staedtischer Raum","","","","","","","","","","","","","",""
"2019","66 +","Laendlicher Raum","","","","","","","","","","","","","",""
"2019","66 +","Staedtischer Raum","","","","","","","","","","","","","",""
"2020","17-34","Laendlicher Raum","174.5","173.5","1828","162","167","182","187","196","174.05","174.95","140","203","173","174"
"2020","17-34","Staedtischer Raum","174.11","173.5","4450","160","167","181","187","196","173.81","174.41","116","219","172","173"
"2020","35-65","Laendlicher Raum","172.85","172.5","5042","160","165","180","185","195","172.59","173.11","126","208","172","172"
"2020","35-65","Staedtischer Raum","173.09","172.5","9426","160","166","180","186","196","172.9","173.28","120","207","172","172"
"2020","66 +","Laendlicher Raum","168.52","167.5","1817","157","162","175","180","189","168.1","168.94","140","204","168","170"
