year,quintil_oecd,regtyp,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,1st Quintile,Urban regions,Yes,0.15341,199,1512,0.13524,0.17158
2011,1st Quintile,Urban regions,No,0.84659,1313,1512,0.82842,0.86476
2011,1st Quintile,Rural regions,Yes,0.12997,108,981,0.10892,0.15103
2011,1st Quintile,Rural regions,No,0.87003,873,981,0.84897,0.89108
2011,2nd Quintile,Urban regions,Yes,0.11505,167,1629,0.09955,0.13055
2011,2nd Quintile,Urban regions,No,0.88495,1462,1629,0.86945,0.90045
2011,2nd Quintile,Rural regions,Yes,0.11069,99,1098,0.09212,0.12926
2011,2nd Quintile,Rural regions,No,0.88931,999,1098,0.87074,0.90788
2011,3rd Quintile,Urban regions,Yes,0.10614,168,1865,0.09216,0.12012
2011,3rd Quintile,Urban regions,No,0.89386,1697,1865,0.87988,0.90784
2011,3rd Quintile,Rural regions,Yes,0.07102,99,1199,0.05648,0.08557
2011,3rd Quintile,Rural regions,No,0.92898,1100,1199,0.91443,0.94352
2011,4th Quintile,Urban regions,Yes,0.06799,159,2226,0.05753,0.07844
2011,4th Quintile,Urban regions,No,0.93201,2067,2226,0.92156,0.94247
2011,4th Quintile,Rural regions,Yes,0.10260,97,1063,0.08435,0.12085
2011,4th Quintile,Rural regions,No,0.89740,966,1063,0.87915,0.91565
2011,5th Quintile,Urban regions,Yes,0.08215,246,3037,0.07238,0.09192
2011,5th Quintile,Urban regions,No,0.91785,2791,3037,0.90808,0.92762
2011,5th Quintile,Rural regions,Yes,0.07324,79,1052,0.05749,0.08899
2011,5th Quintile,Rural regions,No,0.92676,973,1052,0.91101,0.94251
2013,1st Quintile,Urban regions,Yes,0.16078,248,1829,0.14394,0.17762
2013,1st Quintile,Urban regions,No,0.83922,1581,1829,0.82238,0.85606
2013,1st Quintile,Rural regions,Yes,0.12832,150,1271,0.10992,0.14671
2013,1st Quintile,Rural regions,No,0.87168,1121,1271,0.85329,0.89008
2013,2nd Quintile,Urban regions,Yes,0.10958,188,2041,0.09603,0.12314
2013,2nd Quintile,Urban regions,No,0.89042,1853,2041,0.87686,0.90397
2013,2nd Quintile,Rural regions,Yes,0.09745,126,1400,0.08191,0.11299
2013,2nd Quintile,Rural regions,No,0.90255,1274,1400,0.88701,0.91809
2013,3rd Quintile,Urban regions,Yes,0.12565,219,2133,0.11158,0.13972
