year,sampreg,sex,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,West,male,Yes,0.07574,506,7459,0.06973,0.08174
2011,West,male,No,0.92426,6953,7459,0.91826,0.93027
2011,West,female,Yes,0.11442,931,8381,0.10760,0.12123
2011,West,female,No,0.88558,7450,8381,0.87877,0.89240
2011,East,male,Yes,0.06000,140,2330,0.05036,0.06965
2011,East,male,No,0.94000,2190,2330,0.93035,0.94964
2011,East,female,Yes,0.12595,287,2575,0.11313,0.13877
2011,East,female,No,0.87405,2288,2575,0.86123,0.88687
2013,West,male,Yes,0.08771,515,6731,0.08096,0.09447
2013,West,male,No,0.91229,6216,6731,0.90553,0.91904
2013,West,female,Yes,0.11973,848,7683,0.11247,0.12699
2013,West,female,No,0.88027,6835,7683,0.87301,0.88753
2013,East,male,Yes,0.06554,123,2103,0.05496,0.07612
2013,East,male,No,0.93446,1980,2103,0.92388,0.94504
2013,East,female,Yes,0.12106,260,2349,0.10786,0.13425
2013,East,female,No,0.87894,2089,2349,0.86575,0.89214
2015,West,male,Yes,0.07601,631,9061,0.07055,0.08146
2015,West,male,No,0.92399,8430,9061,0.91854,0.92945
2015,West,female,Yes,0.11124,1101,10726,0.10529,0.11719
2015,West,female,No,0.88876,9625,10726,0.88281,0.89471
2015,East,male,Yes,0.06935,145,2398,0.05918,0.07952
2015,East,male,No,0.93065,2253,2398,0.92048,0.94082
2015,East,female,Yes,0.12232,307,2855,0.11030,0.13434
2015,East,female,No,0.87768,2548,2855,0.86566,0.88970
2017,West,male,Yes,0.07794,716,9685,0.07260,0.08328
2017,West,male,No,0.92206,8969,9685,0.91672,0.92740
2017,West,female,Yes,0.11609,1178,11274,0.11018,0.12200
2017,West,female,No,0.88391,10096,11274,0.87800,0.88982
2017,East,male,Yes,0.06210,161,2576,0.05278,0.07142
2017,East,male,No,0.93790,2415,2576,0.92858,0.94722
2017,East,female,Yes,0.11351,303,3014,0.10219,0.12484
2017,East,female,No,0.88649,2711,3014,0.87516,0.89781
2019,Does not apply,male,No,0.88963,32,32,0.77932,0.99994
2019,Does not apply,female,No,0.94255,34,34,0.86316,1.02195
2019,West,male,Yes,0.08634,762,9601,0.08073,0.09196
2019,West,male,No,0.91366,8839,9601,0.90804,0.91927
2019,West,female,Yes,0.11391,1091,10501,0.10783,0.11998
2019,West,female,No,0.88609,9410,10501,0.88002,0.89217
2019,East,male,Yes,0.06623,168,2642,0.05674,0.07571
2019,East,male,No,0.93377,2474,2642,0.92429,0.94326
2019,East,female,Yes,0.10880,285,2903,0.09747,0.12013
2019,East,female,No,0.89120,2618,2903,0.87987,0.90253
2021,West,male,Yes,0.09983,628,7448,0.09302,0.10664
2021,West,male,No,0.90017,6820,7448,0.89336,0.90698
2021,West,female,Yes,0.13935,975,7863,0.13169,0.14700
2021,West,female,No,0.86065,6888,7863,0.85300,0.86831
2021,East,male,Yes,0.08148,130,1841,0.06898,0.09398
2021,East,male,No,0.91852,1711,1841,0.90602,0.93102
2021,East,female,Yes,0.11477,217,2004,0.10082,0.12873
2021,East,female,No,0.88523,1787,2004,0.87127,0.89918
