"ple0011","year","bula_h","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2011","Schleswig-Holstein","kein Migrationshintergrund","49","0.0828913498822769","0.0603159328887574","0.105466766875797"
"Ja","2011","Schleswig-Holstein","direkter Migrationshintergrund","4","","",""
"Ja","2011","Schleswig-Holstein","indirekter Migrationshintergrund","2","","",""
"Ja","2011","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","Hamburg","kein Migrationshintergrund","18","","",""
"Ja","2011","Hamburg","direkter Migrationshintergrund","","","",""
"Ja","2011","Hamburg","indirekter Migrationshintergrund","1","","",""
"Ja","2011","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","Niedersachsen","kein Migrationshintergrund","134","0.0862399964231843","0.0728245375424746","0.0996554553038939"
"Ja","2011","Niedersachsen","direkter Migrationshintergrund","24","","",""
"Ja","2011","Niedersachsen","indirekter Migrationshintergrund","3","","",""
"Ja","2011","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","Bremen","kein Migrationshintergrund","5","","",""
"Ja","2011","Bremen","direkter Migrationshintergrund","1","","",""
"Ja","2011","Bremen","indirekter Migrationshintergrund","","","",""
"Ja","2011","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","Nordrhein-Westfalen","kein Migrationshintergrund","323","0.101932063565912","0.0916819131476456","0.112182213984179"
"Ja","2011","Nordrhein-Westfalen","direkter Migrationshintergrund","58","0.0859463425808468","0.0627940800160852","0.109098605145608"
"Ja","2011","Nordrhein-Westfalen","indirekter Migrationshintergrund","14","","",""
"Ja","2011","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","Hessen","kein Migrationshintergrund","109","0.111756304787131","0.093514917431175","0.129997692143086"
"Ja","2011","Hessen","direkter Migrationshintergrund","25","","",""
"Ja","2011","Hessen","indirekter Migrationshintergrund","4","","",""
"Ja","2011","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","103","0.097774354739369","0.0792544102021468","0.116294299276591"
"Ja","2011","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","11","","",""
"Ja","2011","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","5","","",""
"Ja","2011","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","Baden-Wuerttemberg","kein Migrationshintergrund","145","0.0883931073613944","0.0758035642275584","0.10098265049523"
"Ja","2011","Baden-Wuerttemberg","direkter Migrationshintergrund","37","0.0897270589269292","0.0608016178580316","0.118652499995827"
"Ja","2011","Baden-Wuerttemberg","indirekter Migrationshintergrund","7","","",""
"Ja","2011","Baden-Wuerttemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","Bayern","kein Migrationshintergrund","255","0.0966610482551375","0.08558461448982","0.107737482020455"
"Ja","2011","Bayern","direkter Migrationshintergrund","38","0.139206030750836","0.101337870365599","0.177074191136073"
"Ja","2011","Bayern","indirekter Migrationshintergrund","16","","",""
"Ja","2011","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","Saarland","kein Migrationshintergrund","","","",""
"Ja","2011","Saarland","direkter Migrationshintergrund","","","",""
"Ja","2011","Saarland","indirekter Migrationshintergrund","","","",""
"Ja","2011","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","Berlin","kein Migrationshintergrund","65","0.0979672262030531","0.0760237667229565","0.11991068568315"
"Ja","2011","Berlin","direkter Migrationshintergrund","9","","",""
"Ja","2011","Berlin","indirekter Migrationshintergrund","1","","",""
"Ja","2011","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","Brandenburg","kein Migrationshintergrund","77","0.0842647220067972","0.0656122600663359","0.102917183947258"
"Ja","2011","Brandenburg","direkter Migrationshintergrund","2","","",""
"Ja","2011","Brandenburg","indirekter Migrationshintergrund","","","",""
"Ja","2011","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","Mecklenburg-Vorpommern","kein Migrationshintergrund","51","0.11773803664767","0.0897112435391204","0.14576482975622"
"Ja","2011","Mecklenburg-Vorpommern","direkter Migrationshintergrund","2","","",""
"Ja","2011","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Ja","2011","Mecklenburg-Vorpommern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","Sachsen","kein Migrationshintergrund","103","0.083805198393506","0.0691054075218465","0.0985049892651656"
"Ja","2011","Sachsen","direkter Migrationshintergrund","3","","",""
"Ja","2011","Sachsen","indirekter Migrationshintergrund","","","",""
"Ja","2011","Sachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
