year,ple0011,proportion,n,lower_confidence,upper_confidence
2011,2.0,0.9101470233791275,28898,0.9068498317472591,0.9134442150109958
2011,1.0,0.0898529766208725,28898,0.08655578498900408,0.0931501682527409
2013,2.0,0.9074525601611364,31177,0.9042356933531956,0.9106694269690772
2013,1.0,0.09254743983886356,31177,0.08933057303092277,0.09576430664680434
2015,2.0,0.9127795527156549,27342,0.9094350385631192,0.9161240668681906
2015,1.0,0.08722044728434505,27342,0.0838759331318094,0.09056496143688071
2017,2.0,0.91118309540849,31140,0.9080233840537977,0.9143428067631822
2017,1.0,0.08881690459151004,31140,0.08565719323681777,0.09197661594620231
2019,2.0,0.9100485908649174,29565,0.9067871958274377,0.9133099859023971
2019,1.0,0.08995140913508261,29565,0.08669001409760296,0.09321280417256225
2021,2.0,0.8981370349110265,19931,0.893937792111973,0.90233627771008
2021,1.0,0.10186296508897354,19931,0.09766372228992007,0.106062207888027
