year,migback,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No migration background,Yes,0.09576,1596,17933,0.09145,0.10006
2011,No migration background,No,0.90424,16337,17933,0.89994,0.90855
2011,Direct migration background,Yes,0.10251,214,2016,0.08927,0.11576
2011,Direct migration background,No,0.89749,1802,2016,0.88424,0.91073
2011,Indirect migration background,Yes,0.05827,54,796,0.04198,0.07455
2011,Indirect migration background,No,0.94173,742,796,0.92545,0.95802
2013,No migration background,Yes,0.09973,1503,16421,0.09515,0.10431
2013,No migration background,No,0.90027,14918,16421,0.89569,0.90485
2013,Direct migration background,Yes,0.13419,194,1746,0.11820,0.15019
2013,Direct migration background,No,0.86581,1552,1746,0.84981,0.88180
2013,Indirect migration background,Yes,0.07770,49,699,0.05784,0.09756
2013,Indirect migration background,No,0.92230,650,699,0.90244,0.94216
2015,No migration background,Yes,0.09504,1709,19023,0.09087,0.09921
2015,No migration background,No,0.90496,17314,19023,0.90079,0.90913
2015,Direct migration background,Yes,0.10542,389,4473,0.09642,0.11442
2015,Direct migration background,No,0.89458,4084,4473,0.88558,0.90358
2015,Indirect migration background,Yes,0.05594,86,1544,0.04447,0.06740
2015,Indirect migration background,No,0.94406,1458,1544,0.93260,0.95553
2017,No migration background,Yes,0.09470,1789,20111,0.09065,0.09874
2017,No migration background,No,0.90530,18322,20111,0.90126,0.90935
2017,Direct migration background,Yes,0.10966,450,4816,0.10083,0.11848
2017,Direct migration background,No,0.89034,4366,4816,0.88152,0.89917
2017,Indirect migration background,Yes,0.07432,119,1622,0.06155,0.08709
2017,Indirect migration background,No,0.92568,1503,1622,0.91291,0.93845
2019,No migration background,Yes,0.09861,1809,20123,0.09449,0.10273
2019,No migration background,No,0.90139,18314,20123,0.89727,0.90551
2019,Direct migration background,Yes,0.10990,394,4030,0.10024,0.11956
2019,Direct migration background,No,0.89010,3636,4030,0.88044,0.89976
2019,Indirect migration background,Yes,0.06385,111,1573,0.05176,0.07594
2019,Indirect migration background,No,0.93615,1462,1573,0.92406,0.94824
2021,No migration background,Yes,0.11294,1405,13053,0.10751,0.11837
2021,No migration background,No,0.88706,11648,13053,0.88163,0.89249
2021,Direct migration background,Yes,0.12971,458,5184,0.12057,0.13886
2021,Direct migration background,No,0.87029,4726,5184,0.86114,0.87943
2021,Indirect migration background,Yes,0.12791,89,926,0.10639,0.14944
2021,Indirect migration background,No,0.87209,837,926,0.85056,0.89361
