,Unnamed: 0,year,age_gr,sampreg,ple0011,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2011,17-29 y.,West,Yes,0.02614,50,20728,0.02008,0.03449
1,1,2011,17-29 y.,West,No,0.97386,2272,20728,0.93309,1.01739
2,2,2011,17-29 y.,East,No,1.0,655,20728,0.9163,1.08731
3,3,2011,30-45 y.,West,Yes,0.06322,248,20728,0.05509,0.07311
4,4,2011,30-45 y.,West,No,0.93678,3525,20728,0.90803,0.97078
5,5,2011,30-45 y.,East,Yes,0.05133,54,20728,0.03523,0.07214
6,6,2011,30-45 y.,East,No,0.94867,1029,20728,0.88676,1.02228
7,7,2011,46-65 y.,West,Yes,0.11396,653,20728,0.1071,0.12173
8,8,2011,46-65 y.,West,No,0.88604,5239,20728,0.86202,0.90574
9,9,2011,46-65 y.,East,Yes,0.10725,194,20728,0.09445,0.11748
10,10,2011,46-65 y.,East,No,0.89275,1689,20728,0.84772,0.93392
11,11,2011,66 and older,West,Yes,0.14188,486,20728,0.13328,0.15041
12,12,2011,66 and older,West,No,0.85812,3367,20728,0.84028,0.88116
13,13,2011,66 and older,East,Yes,0.14397,162,20728,0.12976,0.16218
14,14,2011,66 and older,East,No,0.85603,1105,20728,0.8213,0.89275
15,15,2013,17-29 y.,West,Yes,0.02844,53,18853,0.02096,0.03534
16,16,2013,17-29 y.,West,No,0.97156,1981,18853,0.92715,1.0122
17,17,2013,17-29 y.,East,No,1.0,489,18853,0.90842,1.10299
18,18,2013,30-45 y.,West,Yes,0.0699,191,18853,0.06026,0.08224
19,19,2013,30-45 y.,West,No,0.9301,2969,18853,0.89279,0.96887
20,20,2013,30-45 y.,East,Yes,0.04198,43,18853,0.02809,0.05929
21,21,2013,30-45 y.,East,No,0.95802,870,18853,0.88365,1.03008
22,22,2013,46-65 y.,West,Yes,0.1348,691,18853,0.1263,0.14373
23,23,2013,46-65 y.,West,No,0.8652,4810,18853,0.83823,0.88378
24,24,2013,46-65 y.,East,Yes,0.11199,182,18853,0.09813,0.12761
25,25,2013,46-65 y.,East,No,0.88801,1637,18853,0.84546,0.92864
26,26,2013,66 and older,West,Yes,0.12552,428,18853,0.11611,0.1344
27,27,2013,66 and older,West,No,0.87448,3291,18853,0.85343,0.89521
28,28,2013,66 and older,East,Yes,0.13541,145,18853,0.1197,0.15017
29,29,2013,66 and older,East,No,0.86459,1073,18853,0.82451,0.9055
30,30,2015,17-29 y.,West,Yes,0.03169,111,25018,0.02568,0.03897
31,31,2015,17-29 y.,West,No,0.96831,3159,25018,0.92184,1.0153
