"ple0011","year","quintil_oecd","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2011","1 Einkommensschwächstes Quintil","Westdeutschland","289","0.134678808312749","0.120626080539351","0.148731536086148"
"Ja","2011","1 Einkommensschwächstes Quintil","Ostdeutschland","103","0.111774234396435","0.0926244469975736","0.130924021795297"
"Ja","2011","2","Westdeutschland","296","0.111407895192787","0.0998177903098008","0.122998000075772"
"Ja","2011","2","Ostdeutschland","126","0.110614061322263","0.0929703864508647","0.128257736193661"
"Ja","2011","3","Westdeutschland","232","0.0939215923940385","0.0827874020820701","0.105055782706007"
"Ja","2011","3","Ostdeutschland","81","0.0858273528103308","0.0688279796645469","0.102826725956115"
"Ja","2011","4","Westdeutschland","290","0.0815288184084616","0.0726851882965059","0.0903724485204173"
"Ja","2011","4","Ostdeutschland","79","0.0798865181206189","0.0629724935111197","0.096800542730118"
"Ja","2011","5 Einkommensstärkstes Quintil","Westdeutschland","330","0.0744807961889333","0.066746724336198","0.0822148680416686"
"Ja","2011","5 Einkommensstärkstes Quintil","Ostdeutschland","38","0.053853729928997","0.0361000115811623","0.0716074482768317"
"Nein","2011","1 Einkommensschwächstes Quintil","Westdeutschland","1978","0.865321191687251","0.851268463913852","0.879373919460649"
"Nein","2011","1 Einkommensschwächstes Quintil","Ostdeutschland","937","0.888225765603565","0.869075978204703","0.907375553002426"
"Nein","2011","2","Westdeutschland","2535","0.888592104807213","0.877001999924228","0.900182209690199"
"Nein","2011","2","Ostdeutschland","1088","0.889385938677737","0.871742263806339","0.907029613549135"
"Nein","2011","3","Westdeutschland","2405","0.906078407605961","0.894944217293993","0.91721259791793"
"Nein","2011","3","Ostdeutschland","962","0.914172647189669","0.897173274043885","0.931172020335453"
"Nein","2011","4","Westdeutschland","3388","0.918471181591539","0.909627551479583","0.927314811703494"
"Nein","2011","4","Ostdeutschland","908","0.920113481879381","0.903199457269882","0.93702750648888"
"Nein","2011","5 Einkommensstärkstes Quintil","Westdeutschland","4097","0.925519203811067","0.917785131958331","0.933253275663802"
"Nein","2011","5 Einkommensstärkstes Quintil","Ostdeutschland","583","0.946146270071003","0.928392551723168","0.963899988418838"
"Ja","2012","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
