year,age_gr,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,Yes,0.02528,67,2994,0.01966,0.03090
2011,17-29 y.,No,0.97472,2927,2994,0.96910,0.98034
2011,30-45 y.,Yes,0.06144,302,4856,0.05468,0.06819
2011,30-45 y.,No,0.93856,4554,4856,0.93181,0.94532
2011,46-65 y.,Yes,0.11247,847,7774,0.10544,0.11949
2011,46-65 y.,No,0.88753,6927,7774,0.88051,0.89456
2011,66 and older,Yes,0.14222,648,5121,0.13265,0.15179
2011,66 and older,No,0.85778,4473,5121,0.84821,0.86735
2013,17-29 y.,Yes,0.02680,66,2536,0.02051,0.03309
2013,17-29 y.,No,0.97320,2470,2536,0.96691,0.97949
2013,30-45 y.,Yes,0.06656,234,4073,0.05891,0.07422
2013,30-45 y.,No,0.93344,3839,4073,0.92578,0.94109
2013,46-65 y.,Yes,0.12988,873,7319,0.12218,0.13759
2013,46-65 y.,No,0.87012,6446,7319,0.86241,0.87782
2013,66 and older,Yes,0.12707,573,4938,0.11778,0.13636
2013,66 and older,No,0.87293,4365,4938,0.86364,0.88222
2015,17-29 y.,Yes,0.03195,133,3923,0.02644,0.03745
2015,17-29 y.,No,0.96805,3790,3923,0.96255,0.97356
2015,30-45 y.,Yes,0.06012,455,7356,0.05469,0.06555
2015,30-45 y.,No,0.93988,6901,7356,0.93445,0.94531
2015,46-65 y.,Yes,0.12066,1030,8877,0.11389,0.12744
2015,46-65 y.,No,0.87934,7847,8877,0.87256,0.88611
2015,66 and older,Yes,0.12684,566,4884,0.11750,0.13617
2015,66 and older,No,0.87316,4318,4884,0.86383,0.88250
2017,17-29 y.,Yes,0.03418,164,4359,0.02878,0.03957
2017,17-29 y.,No,0.96582,4195,4359,0.96043,0.97122
2017,30-45 y.,Yes,0.06209,438,7257,0.05654,0.06765
2017,30-45 y.,No,0.93791,6819,7257,0.93235,0.94346
2017,46-65 y.,Yes,0.12860,1209,9973,0.12203,0.13517
2017,46-65 y.,No,0.87140,8764,9973,0.86483,0.87797
2017,66 and older,Yes,0.12031,547,4960,0.11125,0.12936
2017,66 and older,No,0.87969,4413,4960,0.87064,0.88875
2019,17-29 y.,Yes,0.04320,158,3843,0.03677,0.04962
2019,17-29 y.,No,0.95680,3685,3843,0.95038,0.96323
2019,30-45 y.,Yes,0.06171,411,6288,0.05576,0.06766
2019,30-45 y.,No,0.93829,5877,6288,0.93234,0.94424
2019,46-65 y.,Yes,0.12766,1167,10420,0.12126,0.13407
2019,46-65 y.,No,0.87234,9253,10420,0.86593,0.87874
2019,66 and older,Yes,0.12527,578,5175,0.11625,0.13429
2019,66 and older,No,0.87473,4597,5175,0.86571,0.88375
2021,17-29 y.,Yes,0.06232,159,3180,0.05391,0.07072
2021,17-29 y.,No,0.93768,3021,3180,0.92928,0.94609
2021,30-45 y.,Yes,0.07587,381,5205,0.06868,0.08307
2021,30-45 y.,No,0.92413,4824,5205,0.91693,0.93132
2021,46-65 y.,Yes,0.15633,960,7214,0.14795,0.16471
2021,46-65 y.,No,0.84367,6254,7214,0.83529,0.85205
2021,66 and older,Yes,0.13359,452,3564,0.12242,0.14477
2021,66 and older,No,0.86641,3112,3564,0.85523,0.87758
