year,age_gr,migback,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,No migration background,Yes,0.02256,52,2390,0.01661,0.02852
2011,17-29 y.,No migration background,No,0.82734,2338,2390,0.81219,0.84250
2011,17-29 y.,Direct migration background,No,0.74005,210,210,0.68058,0.79951
2011,17-29 y.,Indirect migration background,No,0.79735,379,379,0.75683,0.83788
2011,30-45 y.,No migration background,Yes,0.04933,238,3955,0.04258,0.05608
2011,30-45 y.,No migration background,No,0.75664,3717,3955,0.74327,0.77002
2011,30-45 y.,Direct migration background,Yes,0.03693,37,588,0.02168,0.05219
2011,30-45 y.,Direct migration background,No,0.65601,551,588,0.61758,0.69444
2011,30-45 y.,Indirect migration background,No,0.74661,286,286,0.69611,0.79711
2011,46-65 y.,No migration background,Yes,0.10446,721,6892,0.09723,0.11168
2011,46-65 y.,No migration background,No,0.85478,6171,6892,0.84646,0.86310
2011,46-65 y.,Direct migration background,Yes,0.12389,110,793,0.10095,0.14684
2011,46-65 y.,Direct migration background,No,0.82890,683,793,0.80268,0.85513
2011,46-65 y.,Indirect migration background,No,0.78283,73,73,0.68759,0.87807
2011,66 and older,No migration background,Yes,0.14034,585,4696,0.13041,0.15028
2011,66 and older,No migration background,No,0.85885,4111,4696,0.84889,0.86881
2011,66 and older,Direct migration background,Yes,0.15778,62,420,0.12287,0.19268
2011,66 and older,Direct migration background,No,0.84147,358,420,0.80649,0.87644
2013,17-29 y.,No migration background,Yes,0.02138,54,2046,0.01511,0.02764
2013,17-29 y.,No migration background,No,0.80143,1992,2046,0.78414,0.81872
2013,17-29 y.,Direct migration background,No,0.30703,173,173,0.23809,0.37596
2013,17-29 y.,Indirect migration background,No,0.38421,305,305,0.32953,0.43889
2013,30-45 y.,No migration background,Yes,0.05083,177,3303,0.04334,0.05832
2013,30-45 y.,No migration background,No,0.75221,3126,3303,0.73748,0.76693
2013,30-45 y.,Direct migration background,Yes,0.02837,36,492,0.01368,0.04305
2013,30-45 y.,Direct migration background,No,0.30059,456,492,0.26003,0.34115
2013,30-45 y.,Indirect migration background,No,0.46229,257,257,0.40121,0.52336
2013,46-65 y.,No migration background,Yes,0.11789,747,6522,0.11006,0.12572
2013,46-65 y.,No migration background,No,0.82928,5775,6522,0.82015,0.83842
2013,46-65 y.,Direct migration background,Yes,0.10850,107,694,0.08534,0.13165
2013,46-65 y.,Direct migration background,No,0.52541,587,694,0.48823,0.56259
2013,46-65 y.,Indirect migration background,No,0.68992,84,84,0.59042,0.78943
2013,66 and older,No migration background,Yes,0.12464,525,4550,0.11504,0.13424
2013,66 and older,No migration background,No,0.87358,4025,4550,0.86392,0.88324
2013,66 and older,Direct migration background,Yes,0.14405,48,384,0.10888,0.17922
2013,66 and older,Direct migration background,No,0.79452,336,384,0.75405,0.83499
2015,17-29 y.,No migration background,Yes,0.02913,91,2550,0.02260,0.03566
2015,17-29 y.,No migration background,No,0.89166,2459,2550,0.87959,0.90372
2015,17-29 y.,Direct migration background,No,0.64803,578,578,0.60906,0.68700
2015,17-29 y.,Indirect migration background,No,0.88179,753,753,0.85872,0.90487
2015,30-45 y.,No migration background,Yes,0.05992,291,4770,0.05318,0.06665
2015,30-45 y.,No migration background,No,0.93353,4479,4770,0.92646,0.94060
2015,30-45 y.,Direct migration background,Yes,0.04589,124,1996,0.03671,0.05507
2015,30-45 y.,Direct migration background,No,0.77519,1872,1996,0.75687,0.79351
2015,30-45 y.,Indirect migration background,Yes,0.06728,40,590,0.04705,0.08752
