year,regtyp,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Urban regions,Yes,0.09626,1212,13392,0.09126,0.10125
2011,Urban regions,No,0.90374,12180,13392,0.89875,0.90874
2011,Rural regions,Yes,0.09273,652,7353,0.08610,0.09936
2011,Rural regions,No,0.90727,6701,7353,0.90064,0.91390
2013,Urban regions,Yes,0.10745,1142,12074,0.10193,0.11297
2013,Urban regions,No,0.89255,10932,12074,0.88703,0.89807
2013,Rural regions,Yes,0.09174,604,6792,0.08487,0.09860
2013,Rural regions,No,0.90826,6188,6792,0.90140,0.91513
2015,Urban regions,Yes,0.09442,1421,16200,0.08992,0.09893
2015,Urban regions,No,0.90558,14779,16200,0.90107,0.91008
2015,Rural regions,Yes,0.09463,763,8840,0.08852,0.10073
2015,Rural regions,No,0.90537,8077,8840,0.89927,0.91148
2017,Urban regions,Yes,0.09442,1562,17180,0.09004,0.09879
2017,Urban regions,No,0.90558,15618,17180,0.90121,0.90996
2017,Rural regions,Yes,0.09885,796,9369,0.09281,0.10490
2017,Rural regions,No,0.90115,8573,9369,0.89510,0.90719
2019,No answer / don't know,Yes,0.11558,76,554,0.08893,0.14222
2019,No answer / don't know,No,0.88442,478,554,0.85778,0.91107
2019,Urban regions,Yes,0.09695,1489,16391,0.09242,0.10148
2019,Urban regions,No,0.90305,14902,16391,0.89852,0.90758
2019,Rural regions,Yes,0.10025,749,8781,0.09397,0.10653
2019,Rural regions,No,0.89975,8032,8781,0.89347,0.90603
2021,Urban regions,Yes,0.11434,1308,13012,0.10887,0.11981
2021,Urban regions,No,0.88566,11704,13012,0.88019,0.89113
2021,Rural regions,Yes,0.11991,643,6150,0.11179,0.12803
2021,Rural regions,No,0.88009,5507,6150,0.87197,0.88821
