year,sex,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,male,Yes,0.07277,646,9789,0.06763,0.07792
2011,male,No,0.92723,9143,9789,0.92208,0.93237
2011,female,Yes,0.11648,1218,10956,0.11048,0.12249
2011,female,No,0.88352,9738,10956,0.87751,0.88952
2013,male,Yes,0.08335,638,8834,0.07759,0.08912
2013,male,No,0.91665,8196,8834,0.91088,0.92241
2013,female,Yes,0.11998,1108,10032,0.11362,0.12634
2013,female,No,0.88002,8924,10032,0.87366,0.88638
2015,male,Yes,0.07481,776,11459,0.06999,0.07962
2015,male,No,0.92519,10683,11459,0.92038,0.93001
2015,female,Yes,0.11321,1408,13581,0.10788,0.11854
2015,female,No,0.88679,12173,13581,0.88146,0.89212
2017,male,Yes,0.07518,877,12261,0.07051,0.07985
2017,male,No,0.92482,11384,12261,0.92015,0.92949
2017,female,Yes,0.11565,1481,14288,0.11040,0.12089
2017,female,No,0.88435,12807,14288,0.87911,0.88960
2019,male,Yes,0.08297,934,12279,0.07809,0.08785
2019,male,No,0.91703,11345,12279,0.91215,0.92191
2019,female,Yes,0.11294,1379,13441,0.10759,0.11829
2019,female,No,0.88706,12062,13441,0.88171,0.89241
2021,male,Yes,0.09672,758,9289,0.09071,0.10273
2021,male,No,0.90328,8531,9289,0.89727,0.90929
2021,female,Yes,0.13517,1192,9867,0.12842,0.14192
2021,female,No,0.86483,8675,9867,0.85808,0.87158
