year,regtyp,sampreg,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Urban regions,West,Yes,0.09659,1071,11730,0.09124,0.10193
2011,Urban regions,West,No,0.90341,10659,11730,0.89807,0.90876
2011,Urban regions,East,Yes,0.09312,141,1662,0.07914,0.10709
2011,Urban regions,East,No,0.90688,1521,1662,0.89291,0.92086
2011,Rural regions,West,Yes,0.09269,366,4110,0.08383,0.10156
2011,Rural regions,West,No,0.90731,3744,4110,0.89844,0.91617
2011,Rural regions,East,Yes,0.09278,286,3243,0.08279,0.10277
2011,Rural regions,East,No,0.90722,2957,3243,0.89723,0.91721
2013,Urban regions,West,Yes,0.10861,1009,10563,0.10268,0.11455
2013,Urban regions,West,No,0.89139,9554,10563,0.88545,0.89732
2013,Urban regions,East,Yes,0.09673,133,1511,0.08182,0.11164
2013,Urban regions,East,No,0.90327,1378,1511,0.88836,0.91818
2013,Rural regions,West,Yes,0.09178,354,3851,0.08266,0.10090
2013,Rural regions,West,No,0.90822,3497,3851,0.89910,0.91734
2013,Rural regions,East,Yes,0.09166,250,2941,0.08123,0.10209
2013,Rural regions,East,No,0.90834,2691,2941,0.89791,0.91877
2015,Urban regions,West,Yes,0.09371,1260,14361,0.08894,0.09848
2015,Urban regions,West,No,0.90629,13101,14361,0.90152,0.91106
2015,Urban regions,East,Yes,0.10127,161,1839,0.08748,0.11506
2015,Urban regions,East,No,0.89873,1678,1839,0.88494,0.91252
2015,Rural regions,West,Yes,0.09521,472,5426,0.08740,0.10302
2015,Rural regions,West,No,0.90479,4954,5426,0.89698,0.91260
2015,Rural regions,East,Yes,0.09356,291,3414,0.08379,0.10333
2015,Rural regions,East,No,0.90644,3123,3414,0.89667,0.91621
2017,Urban regions,West,Yes,0.09355,1384,15231,0.08892,0.09817
2017,Urban regions,West,No,0.90645,13847,15231,0.90183,0.91108
2017,Urban regions,East,Yes,0.10300,178,1949,0.08950,0.11650
2017,Urban regions,East,No,0.89700,1771,1949,0.88350,0.91050
2017,Rural regions,West,Yes,0.10925,510,5728,0.10117,0.11733
2017,Rural regions,West,No,0.89075,5218,5728,0.88267,0.89883
2017,Rural regions,East,Yes,0.07949,286,3641,0.07070,0.08828
2017,Rural regions,East,No,0.92051,3355,3641,0.91172,0.92930
2019,No answer / don't know,Does not apply,No,0.91299,68,68,0.84550,0.98048
2019,No answer / don't know,West,Yes,0.12378,60,404,0.09162,0.15593
2019,No answer / don't know,West,No,0.87622,344,404,0.84407,0.90838
2019,No answer / don't know,East,No,0.91499,66,66,0.84719,0.98279
2019,Urban regions,West,Yes,0.09701,1335,14493,0.09219,0.10183
2019,Urban regions,West,No,0.90299,13158,14493,0.89817,0.90781
2019,Urban regions,East,Yes,0.09630,154,1898,0.08302,0.10957
2019,Urban regions,East,No,0.90370,1744,1898,0.89043,0.91698
2019,Rural regions,West,Yes,0.10926,458,5207,0.10079,0.11774
2019,Rural regions,West,No,0.89074,4749,5207,0.88226,0.89921
2019,Rural regions,East,Yes,0.08374,291,3574,0.07465,0.09282
2019,Rural regions,East,No,0.91626,3283,3574,0.90718,0.92535
2021,Urban regions,West,Yes,0.11629,1176,11514,0.11044,0.12215
2021,Urban regions,West,No,0.88371,10338,11514,0.87785,0.88956
2021,Urban regions,East,Yes,0.09393,132,1498,0.07915,0.10871
2021,Urban regions,East,No,0.90607,1366,1498,0.89129,0.92085
2021,Rural regions,West,Yes,0.13003,427,3801,0.11934,0.14072
2021,Rural regions,West,No,0.86997,3374,3801,0.85928,0.88066
2021,Rural regions,East,Yes,0.10085,216,2349,0.08867,0.11303
2021,Rural regions,East,No,0.89915,2133,2349,0.88697,0.91133
