year,bula_h,pgisced97,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,North Rhine-Westphalia,Upper Secondary Level,Eastern Europe,0.57272,32,32,0.39858,0.74686
2012,North Rhine-Westphalia,Upper Secondary Level,Eastern Europe,0.57209,33,33,0.40066,0.74352
2013,North Rhine-Westphalia,Upper Secondary Level,Eastern Europe,0.58751,64,64,0.46594,0.70907
2013,Bavaria,Upper Secondary Level,Eastern Europe,0.56553,49,49,0.42530,0.70576
2014,North Rhine-Westphalia,Upper Secondary Level,Eastern Europe,0.53742,50,50,0.39781,0.67703
2014,Bavaria,Upper Secondary Level,Eastern Europe,0.52293,40,40,0.36617,0.67969
2015,North Rhine-Westphalia,Upper Secondary Level,Eastern Europe,0.39727,48,48,0.25738,0.53717
2015,Bavaria,Upper Secondary Level,Eastern Europe,0.54479,31,31,0.36659,0.72300
2016,North Rhine-Westphalia,Upper Secondary Level,Eastern Europe,0.42128,39,39,0.26428,0.57827
2017,North Rhine-Westphalia,Upper Secondary Level,Eastern Europe,0.37109,35,35,0.20870,0.53348
2017,North Rhine-Westphalia,Second Stage of Tertiary Education,Eastern Europe,0.28757,32,32,0.12823,0.44691
2018,North Rhine-Westphalia,Upper Secondary Level,Eastern Europe,0.36272,38,38,0.20780,0.51764
2018,North Rhine-Westphalia,Second Stage of Tertiary Education,Eastern Europe,0.40011,35,35,0.23543,0.56479
2019,North Rhine-Westphalia,Upper Secondary Level,Eastern Europe,0.41295,37,37,0.25211,0.57379
2019,North Rhine-Westphalia,Second Stage of Tertiary Education,Eastern Europe,0.35386,42,42,0.20749,0.50023
2020,North Rhine-Westphalia,Upper Secondary Level,Eastern Europe,0.29481,41,41,0.15351,0.43611
2020,North Rhine-Westphalia,Second Stage of Tertiary Education,Eastern Europe,0.38585,48,48,0.24668,0.52503
2020,Baden-Wuerttemberg,Second Stage of Tertiary Education,Eastern Europe,0.30293,31,31,0.13849,0.46737
2020,Bavaria,Second Stage of Tertiary Education,Eastern Europe,0.28113,31,31,0.12026,0.44200
2022,North Rhine-Westphalia,Second Stage of Tertiary Education,Eastern Europe,0.42218,42,42,0.27100,0.57337
