year,migback,regtyp,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Direct migration background,Urban regions,Eastern Europe,0.64181,103,103,0.54876,0.73486
2001,Direct migration background,Urban regions,Eastern Europe,0.58563,75,75,0.47339,0.69787
2002,Direct migration background,Urban regions,Eastern Europe,0.57576,82,82,0.46813,0.68339
2003,Direct migration background,Urban regions,Eastern Europe,0.60017,79,79,0.49145,0.70888
2004,Direct migration background,Urban regions,Eastern Europe,0.55710,72,72,0.44156,0.67265
2004,Indirect migration background,Urban regions,Southern Europe,0.23747,34,34,0.09228,0.38266
2005,Direct migration background,Urban regions,Eastern Europe,0.61254,81,81,0.50579,0.71930
2005,Indirect migration background,Urban regions,Southern Europe,0.30278,36,36,0.15056,0.45500
2006,Direct migration background,Urban regions,Eastern Europe,0.54627,78,78,0.43507,0.65747
2006,Indirect migration background,Urban regions,Southern Europe,0.38694,37,37,0.22783,0.54604
2007,Direct migration background,Urban regions,Eastern Europe,0.55789,88,88,0.45353,0.66225
2007,Indirect migration background,Urban regions,Southern Europe,0.27322,32,32,0.11635,0.43008
2008,Direct migration background,Urban regions,Eastern Europe,0.60628,90,90,0.50478,0.70779
2008,Indirect migration background,Urban regions,Southern Europe,0.33702,35,35,0.17813,0.49591
2009,Direct migration background,Urban regions,Eastern Europe,0.64191,85,85,0.53938,0.74444
2009,Indirect migration background,Urban regions,Southern Europe,0.38154,32,32,0.21054,0.55255
2010,Direct migration background,Urban regions,Eastern Europe,0.56811,142,142,0.48634,0.64987
2010,Direct migration background,Rural regions,Eastern Europe,0.54276,37,37,0.38003,0.70550
2010,Indirect migration background,Urban regions,Southern Europe,0.34436,54,54,0.21644,0.47229
2011,Direct migration background,Urban regions,Eastern Europe,0.62857,102,102,0.53434,0.72281
2011,Direct migration background,Rural regions,Eastern Europe,0.72273,33,33,0.56763,0.87783
2011,Indirect migration background,Urban regions,Southern Europe,0.40193,38,38,0.24395,0.55991
2012,Direct migration background,Urban regions,Eastern Europe,0.64200,161,161,0.56771,0.71629
2012,Direct migration background,Rural regions,Eastern Europe,0.73591,63,63,0.62617,0.84565
2012,Indirect migration background,Urban regions,Southern Europe,0.30061,45,45,0.16513,0.43610
2013,Direct migration background,Urban regions,Southern Europe,0.04617,35,518,0.02808,0.06426
2013,Direct migration background,Urban regions,Central Asia,0.07381,41,518,0.05127,0.09635
2013,Direct migration background,Urban regions,Western Asia,0.08187,56,518,0.05824,0.10550
2013,Direct migration background,Urban regions,Eastern Europe,0.61477,386,518,0.57282,0.65672
2013,Direct migration background,Rural regions,Eastern Europe,0.79148,169,169,0.73005,0.85291
2013,Indirect migration background,Urban regions,Southern Europe,0.28780,94,171,0.21975,0.35586
2013,Indirect migration background,Urban regions,Western Asia,0.19106,46,171,0.13196,0.25016
2013,Indirect migration background,Urban regions,Western Europe,0.26391,31,171,0.19765,0.33017
2014,Direct migration background,Urban regions,Southern Europe,0.05604,40,469,0.03520,0.07688
2014,Direct migration background,Urban regions,Central Asia,0.06734,43,469,0.04464,0.09005
2014,Direct migration background,Urban regions,Western Asia,0.07585,43,469,0.05186,0.09984
2014,Direct migration background,Urban regions,Eastern Europe,0.60366,343,469,0.55935,0.64798
2014,Direct migration background,Rural regions,Eastern Europe,0.72010,146,146,0.64703,0.79318
2014,Indirect migration background,Urban regions,Southern Europe,0.27879,88,128,0.20081,0.35678
2014,Indirect migration background,Urban regions,Western Asia,0.19245,40,128,0.12388,0.26101
2015,Direct migration background,Urban regions,Southern Europe,0.05012,38,435,0.02959,0.07065
2015,Direct migration background,Urban regions,Central Asia,0.03927,34,435,0.02099,0.05754
2015,Direct migration background,Urban regions,Western Asia,0.12801,52,435,0.09658,0.15945
2015,Direct migration background,Urban regions,Eastern Europe,0.56056,311,435,0.51386,0.60725
2015,Direct migration background,Rural regions,Eastern Europe,0.60205,135,135,0.51917,0.68492
2015,Indirect migration background,Urban regions,Southern Europe,0.26371,78,116,0.18317,0.34424
2015,Indirect migration background,Urban regions,Western Asia,0.22175,38,116,0.14582,0.29767
2016,Direct migration background,Urban regions,Southern Europe,0.03810,34,352,0.01807,0.05813
2016,Direct migration background,Urban regions,Western Asia,0.10426,43,352,0.07229,0.13623
2016,Direct migration background,Urban regions,Eastern Europe,0.54634,275,352,0.49426,0.59843
2016,Direct migration background,Rural regions,Eastern Europe,0.55911,119,119,0.46952,0.64869
2016,Indirect migration background,Urban regions,Southern Europe,0.30715,73,106,0.21892,0.39539
2016,Indirect migration background,Urban regions,Western Asia,0.16755,33,106,0.09612,0.23899
2017,Direct migration background,Urban regions,Southern Europe,0.06718,40,373,0.04174,0.09262
2017,Direct migration background,Urban regions,Western Asia,0.08059,44,373,0.05293,0.10826
2017,Direct migration background,Urban regions,Eastern Europe,0.55143,289,373,0.50089,0.60197
2017,Direct migration background,Rural regions,Eastern Europe,0.65054,129,129,0.56794,0.73314
2017,Indirect migration background,Urban regions,Southern Europe,0.36668,88,135,0.28508,0.44827
2017,Indirect migration background,Urban regions,Western Asia,0.17398,47,135,0.10980,0.23817
2018,Direct migration background,Urban regions,Southern Europe,0.04049,35,370,0.02038,0.06060
2018,Direct migration background,Urban regions,Western Asia,0.05507,40,370,0.03180,0.07835
2018,Direct migration background,Urban regions,Eastern Europe,0.58212,295,370,0.53180,0.63245
2018,Direct migration background,Rural regions,Eastern Europe,0.70051,127,127,0.62053,0.78049
2018,Indirect migration background,Urban regions,Southern Europe,0.30736,79,135,0.22924,0.38549
2018,Indirect migration background,Urban regions,Western Asia,0.21127,56,135,0.14216,0.28039
2019,Direct migration background,Urban regions,Southern Europe,0.04509,43,363,0.02372,0.06647
2019,Direct migration background,Urban regions,Western Asia,0.07508,41,363,0.04793,0.10222
2019,Direct migration background,Urban regions,Eastern Europe,0.55494,279,363,0.50374,0.60613
2019,Direct migration background,Rural regions,Eastern Europe,0.75746,112,112,0.67772,0.83719
2019,Indirect migration background,Urban regions,Southern Europe,0.36955,91,158,0.29404,0.44505
2019,Indirect migration background,Urban regions,Western Asia,0.15456,36,158,0.09802,0.21111
2019,Indirect migration background,Urban regions,Western Europe,0.17010,31,158,0.11133,0.22888
2020,Direct migration background,Urban regions,Southern Europe,0.15678,70,461,0.12355,0.19001
2020,Direct migration background,Urban regions,Western Asia,0.07742,54,461,0.05299,0.10184
2020,Direct migration background,Urban regions,Eastern Europe,0.40086,296,461,0.35607,0.44564
2020,Direct migration background,Urban regions,Latin America and the Caribbean,0.12536,41,461,0.09510,0.15562
2020,Direct migration background,Rural regions,Eastern Europe,0.50658,128,128,0.41963,0.59353
2020,Indirect migration background,Urban regions,Southern Europe,0.29388,94,167,0.22458,0.36318
2020,Indirect migration background,Urban regions,Western Asia,0.18297,40,167,0.12416,0.24179
2020,Indirect migration background,Urban regions,Western Europe,0.14577,33,167,0.09209,0.19945
2021,Direct migration background,Urban regions,Southern Europe,0.15461,55,291,0.11300,0.19622
2021,Direct migration background,Urban regions,Western Asia,0.09967,41,291,0.06519,0.13415
2021,Direct migration background,Urban regions,Eastern Europe,0.42246,195,291,0.36561,0.47931
2021,Direct migration background,Rural regions,Eastern Europe,0.45102,73,73,0.33608,0.56596
2021,Indirect migration background,Urban regions,Southern Europe,0.43013,54,54,0.29684,0.56343
2022,Direct migration background,Urban regions,Southern Europe,0.12550,81,510,0.09672,0.15428
2022,Direct migration background,Urban regions,Western Asia,0.08829,133,510,0.06364,0.11294
2022,Direct migration background,Urban regions,Eastern Europe,0.39674,238,510,0.35424,0.43924
2022,Direct migration background,Urban regions,Latin America and the Caribbean,0.09336,58,510,0.06809,0.11864
2022,Direct migration background,Rural regions,Western Asia,0.06891,34,113,0.02200,0.11582
2022,Direct migration background,Rural regions,Eastern Europe,0.40351,79,113,0.31265,0.49437
2022,Indirect migration background,Urban regions,Southern Europe,0.42999,74,108,0.33618,0.52380
2022,Indirect migration background,Urban regions,Western Europe,0.13312,34,108,0.06875,0.19749
