year,migback,quintil_oecd,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Direct migration background,2nd Quintile,Eastern Europe,0.06487,37,37,-0.01559,0.14532
2003,Direct migration background,2nd Quintile,Eastern Europe,0.06000,31,31,-0.02498,0.14499
2005,Direct migration background,1st Quintile,Eastern Europe,0.05240,34,34,-0.02363,0.12843
2008,Direct migration background,3rd Quintile,Eastern Europe,0.08178,33,33,-0.01316,0.17673
2012,Direct migration background,1st Quintile,Eastern Europe,0.07126,57,57,0.00388,0.13864
2012,Direct migration background,2nd Quintile,Eastern Europe,0.04107,52,52,-0.01340,0.09553
2012,Direct migration background,3rd Quintile,Eastern Europe,0.06223,41,41,-0.01263,0.13710
2013,Direct migration background,1st Quintile,Eastern Europe,0.04886,66,66,-0.00355,0.10127
2013,Direct migration background,2nd Quintile,Eastern Europe,0.03759,55,55,-0.01314,0.08833
2013,Direct migration background,3rd Quintile,Eastern Europe,0.04325,37,37,-0.02320,0.10970
2014,Direct migration background,1st Quintile,Eastern Europe,0.04824,172,172,0.01612,0.08036
2014,Direct migration background,2nd Quintile,Eastern Europe,0.04041,129,129,0.00630,0.07453
2014,Direct migration background,3rd Quintile,Eastern Europe,0.04549,93,93,0.00291,0.08806
2014,Direct migration background,4th Quintile,Eastern Europe,0.08788,62,62,0.01683,0.15893
2014,Direct migration background,5th Quintile,Eastern Europe,0.04009,33,33,-0.02788,0.10806
2014,Indirect migration background,3rd Quintile,Southern Europe,0.03483,33,33,-0.02870,0.09836
2015,Direct migration background,1st Quintile,Eastern Europe,0.04230,134,134,0.00809,0.07651
2015,Direct migration background,2nd Quintile,Eastern Europe,0.05583,106,106,0.01191,0.09975
2015,Direct migration background,3rd Quintile,Eastern Europe,0.06272,89,89,0.01206,0.11338
2015,Direct migration background,4th Quintile,Eastern Europe,0.04986,57,57,-0.00715,0.10686
2015,Direct migration background,5th Quintile,Eastern Europe,0.04247,31,31,-0.02969,0.11464
2016,Direct migration background,1st Quintile,Eastern Europe,0.04259,103,103,0.00340,0.08178
2016,Direct migration background,2nd Quintile,Eastern Europe,0.03920,112,112,0.00310,0.07531
2016,Direct migration background,3rd Quintile,Eastern Europe,0.05523,84,84,0.00608,0.10437
2016,Direct migration background,4th Quintile,Eastern Europe,0.04697,57,57,-0.00844,0.10239
2016,Direct migration background,5th Quintile,Eastern Europe,0.05253,38,38,-0.01936,0.12441
2017,Direct migration background,1st Quintile,Eastern Europe,0.04367,111,111,0.00548,0.08185
2017,Direct migration background,2nd Quintile,Eastern Europe,0.03845,99,99,0.00038,0.07651
2017,Direct migration background,3rd Quintile,Eastern Europe,0.06093,76,76,0.00679,0.11507
2017,Direct migration background,4th Quintile,Eastern Europe,0.03188,48,48,-0.01835,0.08211
2017,Direct migration background,5th Quintile,Eastern Europe,0.06291,42,42,-0.01141,0.13723
2018,Direct migration background,1st Quintile,Eastern Europe,0.03237,101,101,-0.00232,0.06705
2018,Direct migration background,2nd Quintile,Eastern Europe,0.03668,98,98,-0.00073,0.07408
2018,Direct migration background,3rd Quintile,Eastern Europe,0.06140,86,86,0.01037,0.11244
2018,Direct migration background,4th Quintile,Eastern Europe,0.07919,68,68,0.01453,0.14385
2018,Direct migration background,5th Quintile,Eastern Europe,0.06503,43,43,-0.00954,0.13961
2019,Direct migration background,1st Quintile,Eastern Europe,0.02632,89,89,-0.00713,0.05977
2019,Direct migration background,2nd Quintile,Eastern Europe,0.05986,119,119,0.01706,0.10266
2019,Direct migration background,3rd Quintile,Eastern Europe,0.06135,61,61,0.00063,0.12207
2019,Direct migration background,4th Quintile,Eastern Europe,0.07789,51,51,0.00360,0.15217
2019,Direct migration background,5th Quintile,Eastern Europe,0.07718,59,59,0.00849,0.14586
2020,Direct migration background,1st Quintile,Western Asia,0.00834,36,140,-0.00678,0.02345
2020,Direct migration background,1st Quintile,Eastern Europe,0.01421,104,140,-0.00546,0.03389
2020,Direct migration background,2nd Quintile,Eastern Europe,0.01904,100,100,-0.00788,0.04596
2020,Direct migration background,3rd Quintile,Eastern Europe,0.02944,66,66,-0.01166,0.07053
2020,Direct migration background,4th Quintile,Eastern Europe,0.04149,67,67,-0.00662,0.08961
2020,Direct migration background,5th Quintile,Eastern Europe,0.03170,55,55,-0.01503,0.07843
2021,Direct migration background,1st Quintile,Eastern Europe,0.01949,68,68,-0.01361,0.05260
2021,Direct migration background,2nd Quintile,Eastern Europe,0.03559,71,71,-0.00781,0.07899
2021,Direct migration background,3rd Quintile,Eastern Europe,0.03632,48,48,-0.01717,0.08981
2021,Direct migration background,4th Quintile,Eastern Europe,0.02566,38,38,-0.02529,0.07662
2021,Direct migration background,5th Quintile,Eastern Europe,0.03636,43,43,-0.02025,0.09297
2022,Direct migration background,1st Quintile,Western Asia,0.01218,90,160,-0.00487,0.02923
2022,Direct migration background,1st Quintile,Eastern Europe,0.03484,70,160,0.00634,0.06335
2022,Direct migration background,2nd Quintile,Eastern Europe,0.03280,51,51,-0.01657,0.08217
2022,Direct migration background,3rd Quintile,Eastern Europe,0.02167,35,35,-0.02727,0.07062
2022,Direct migration background,4th Quintile,Eastern Europe,0.05284,37,37,-0.02024,0.12592
2022,Direct migration background,5th Quintile,Eastern Europe,0.02121,34,34,-0.02795,0.07037
