year,regtyp,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Urban regions,Southern Europe,0.10655,36,139,0.05507,0.15803
2000,Urban regions,Eastern Europe,0.45564,103,139,0.37254,0.53873
2001,Urban regions,Southern Europe,0.12627,34,112,0.06448,0.18806
2001,Urban regions,Eastern Europe,0.39486,78,112,0.30393,0.48580
2002,Urban regions,Southern Europe,0.10387,42,128,0.05081,0.15694
2002,Urban regions,Eastern Europe,0.44136,86,128,0.35500,0.52772
2003,Urban regions,Southern Europe,0.09514,49,130,0.04451,0.14577
2003,Urban regions,Eastern Europe,0.43429,81,130,0.34876,0.51983
2004,Urban regions,Southern Europe,0.09112,51,123,0.04005,0.14219
2004,Urban regions,Eastern Europe,0.38710,72,123,0.30066,0.47353
2005,Urban regions,Southern Europe,0.11145,54,135,0.05817,0.16474
2005,Urban regions,Eastern Europe,0.44564,81,135,0.36148,0.52979
2006,Urban regions,Southern Europe,0.18424,58,136,0.11884,0.24963
2006,Urban regions,Eastern Europe,0.38642,78,136,0.30428,0.46856
2007,Urban regions,Southern Europe,0.14001,49,139,0.08211,0.19790
2007,Urban regions,Eastern Europe,0.40398,90,139,0.32211,0.48585
2008,Urban regions,Southern Europe,0.14501,50,142,0.08689,0.20313
2008,Urban regions,Eastern Europe,0.42878,92,142,0.34709,0.51047
2009,Urban regions,Southern Europe,0.15615,49,135,0.09469,0.21762
2009,Urban regions,Eastern Europe,0.43369,86,135,0.34978,0.51760
2010,Urban regions,Southern Europe,0.16175,81,320,0.12134,0.20216
2010,Urban regions,Western Asia,0.06930,48,320,0.04143,0.09717
2010,Urban regions,Eastern Europe,0.37850,149,320,0.32527,0.43172
2010,Urban regions,Western Europe,0.14534,42,320,0.10667,0.18402
2010,Rural regions,Eastern Europe,0.44686,40,40,0.29082,0.60289
2011,Urban regions,Southern Europe,0.17408,59,195,0.12073,0.22744
2011,Urban regions,Eastern Europe,0.42361,105,195,0.35408,0.49315
2011,Urban regions,Western Europe,0.13768,31,195,0.08920,0.18617
2011,Rural regions,Eastern Europe,0.57923,35,35,0.41329,0.74518
2012,Urban regions,Southern Europe,0.14299,74,327,0.10499,0.18099
2012,Urban regions,Western Asia,0.08367,45,327,0.05361,0.11373
2012,Urban regions,Eastern Europe,0.46107,168,327,0.40696,0.51518
2012,Urban regions,Western Europe,0.10628,40,327,0.07282,0.13974
2012,Rural regions,Eastern Europe,0.62194,67,67,0.50495,0.73893
2013,Urban regions,Southern Europe,0.12124,139,740,0.09770,0.14477
2013,Urban regions,Central Asia,0.05001,41,740,0.03430,0.06573
2013,Urban regions,Western Asia,0.10680,102,740,0.08453,0.12907
2013,Urban regions,Eastern Europe,0.44229,405,740,0.40648,0.47810
2013,Urban regions,Western Europe,0.11261,53,740,0.08982,0.13540
2013,Rural regions,Eastern Europe,0.63449,176,176,0.56314,0.70584
2014,Urban regions,Southern Europe,0.13305,138,670,0.10732,0.15879
2014,Urban regions,Central Asia,0.04429,44,670,0.02870,0.05988
2014,Urban regions,Western Asia,0.10708,84,670,0.08365,0.13051
2014,Urban regions,Eastern Europe,0.41015,357,670,0.37287,0.44742
2014,Urban regions,Western Europe,0.11092,47,670,0.08713,0.13472
2014,Rural regions,Eastern Europe,0.55459,148,148,0.47425,0.63494
2015,Urban regions,Southern Europe,0.12529,124,612,0.09904,0.15154
2015,Urban regions,Central Asia,0.02513,34,612,0.01272,0.03754
2015,Urban regions,Western Asia,0.14999,90,612,0.12168,0.17831
2015,Urban regions,Eastern Europe,0.39559,330,612,0.35682,0.43436
2015,Urban regions,Western Europe,0.07998,34,612,0.05847,0.10148
2015,Rural regions,Southern Europe,0.20376,35,173,0.14356,0.26395
2015,Rural regions,Eastern Europe,0.44280,138,173,0.36857,0.51703
2016,Urban regions,Southern Europe,0.14205,117,521,0.11204,0.17205
2016,Urban regions,Western Asia,0.11782,76,521,0.09011,0.14553
2016,Urban regions,Eastern Europe,0.37519,294,521,0.33358,0.41681
2016,Urban regions,Western Europe,0.08184,34,521,0.05828,0.10540
2016,Rural regions,Eastern Europe,0.46666,123,123,0.37814,0.55519
2017,Urban regions,Southern Europe,0.17958,138,577,0.14823,0.21093
2017,Urban regions,Western Asia,0.10686,91,577,0.08163,0.13209
2017,Urban regions,Eastern Europe,0.35170,306,577,0.31270,0.39069
2017,Urban regions,Western Europe,0.09120,42,577,0.06769,0.11471
2017,Rural regions,Eastern Europe,0.54502,132,132,0.45974,0.63029
2018,Urban regions,Southern Europe,0.15005,128,617,0.12184,0.17825
2018,Urban regions,Western Asia,0.10562,96,617,0.08135,0.12989
2018,Urban regions,Eastern Europe,0.35443,316,617,0.31665,0.39220
2018,Urban regions,Western Europe,0.09531,44,617,0.07212,0.11850
2018,Urban regions,Latin America and the Caribbean,0.05865,33,617,0.04009,0.07720
2018,Rural regions,Eastern Europe,0.52957,133,133,0.44442,0.61472
2019,Urban regions,Southern Asia,0.05697,36,649,0.03912,0.07482
2019,Urban regions,Southern Europe,0.17189,147,649,0.14284,0.20093
2019,Urban regions,Western Asia,0.09576,77,649,0.07310,0.11841
2019,Urban regions,Eastern Europe,0.34091,299,649,0.30442,0.37741
